ICompilationUnit.java; org.eclipse.jdt.core
IJavaElementDelta.java; org.eclipse.jdt.core
IJavaModelStatusConstants.java; org.eclipse.jdt.core
CompletionContext.java; org.eclipse.jdt.core
Flags.java; org.eclipse.jdt.core
CategorizedProblem.java; org.eclipse.jdt.core.compiler
IBinding.java; org.eclipse.jdt.core.dom
ICodeSnippetRequestor.java; org.eclipse.jdt.core.eval
CodeFormatter.java; org.eclipse.jdt.core.formatter
IDOMNode.java; org.eclipse.jdt.core.jdom
ClassFileBytesDisassembler.java; org.eclipse.jdt.core.util
IVerificationTypeInfo.java; org.eclipse.jdt.core.util
CompletionScanner.java; org.eclipse.jdt.internal.codeassist.complete
CompletionOnSingleNameReference.java; org.eclipse.jdt.internal.codeassist.complete
AssistOptions.java; org.eclipse.jdt.internal.codeassist.impl
Opcodes.java; org.eclipse.jdt.internal.compiler.codegen
FlowInfo.java; org.eclipse.jdt.internal.compiler.flow
UnconditionalFlowInfo.java; org.eclipse.jdt.internal.compiler.flow
InitializationFlowContext.java; org.eclipse.jdt.internal.compiler.flow
CompilerStats.java; org.eclipse.jdt.internal.compiler.impl
ProblemHandler.java; org.eclipse.jdt.internal.compiler.problem
SuffixConstants.java; org.eclipse.jdt.internal.compiler.util
SimpleLookupTable.java; org.eclipse.jdt.internal.compiler.util
RewriteEvent.java; org.eclipse.jdt.internal.core.dom.rewrite
HierarchyType.java; org.eclipse.jdt.internal.core.hierarchy
RecordedParsingInformation.java; org.eclipse.jdt.internal.core.util
EvaluationConstants.java; org.eclipse.jdt.internal.eval
ICodeFormatterConstants.java; org.eclipse.jdt.internal.formatter
DefaultCodeFormatterOptions.java; org.eclipse.jdt.internal.formatter
Alignment.java; org.eclipse.jdt.internal.formatter.align
ICommentAttributes.java; org.eclipse.jdt.internal.formatter.comment
