JavaCore.java; org.eclipse.jdt.core
JDTCompilerAdapter.java; org.eclipse.jdt.core
ASTParser.java; org.eclipse.jdt.core.dom
TypeBinding.java; org.eclipse.jdt.core.dom
CompletionEngine.java; org.eclipse.jdt.internal.codeassist
CompletionScanner.java; org.eclipse.jdt.internal.codeassist.complete
CompletionParser.java; org.eclipse.jdt.internal.codeassist.complete
AssistParser.java; org.eclipse.jdt.internal.codeassist.impl
ClassFile.java; org.eclipse.jdt.internal.compiler
DocumentElementParser.java; org.eclipse.jdt.internal.compiler
OperatorExpression.java; org.eclipse.jdt.internal.compiler.ast
TypeDeclaration.java; org.eclipse.jdt.internal.compiler.ast
JavaModelManager.java; org.eclipse.jdt.internal.core
DeltaProcessingState.java; org.eclipse.jdt.internal.core
SetClasspathOperation.java; org.eclipse.jdt.internal.core
JavaModelStatus.java; org.eclipse.jdt.internal.core
BinaryMethod.java; org.eclipse.jdt.internal.core
BinaryIndexer.java; org.eclipse.jdt.internal.core.search.indexing
JobManager.java; org.eclipse.jdt.internal.core.search.processing
PublicScanner.java; org.eclipse.jdt.internal.core.util
VariablesEvaluator.java; org.eclipse.jdt.internal.eval
Scribe2.java; org.eclipse.jdt.internal.formatter
DefaultCodeFormatterOptions.java; org.eclipse.jdt.internal.formatter
Scribe.java; org.eclipse.jdt.internal.formatter
