validateElementAndAttributes; XMLValidator.java; org.apache.xerces.validators.common;764
traverseElementDecl; TraverseSchema.java; org.apache.xerces.validators.schema;714
traverseSimpleTypeDecl; TraverseSchema.java; org.apache.xerces.validators.schema;465
traverseAttributeDecl; TraverseSchema.java; org.apache.xerces.validators.schema;440
scanContent; UTF8Reader.java; org.apache.xerces.readers;439
matchCharacterIterator; RegularExpression.java; org.apache.xerces.utils.regex;421
matchString; RegularExpression.java; org.apache.xerces.utils.regex;420
matchCharArray; RegularExpression.java; org.apache.xerces.utils.regex;416
buildDFA; DFAContentModel.java; org.apache.xerces.validators.common;397
attlistDecl; DOMParser.java; org.apache.xerces.parsers;363
traverseSimpleContentDecl; TraverseSchema.java; org.apache.xerces.validators.schema;328
AbstractNumericFacetValidator; AbstractNumericFacetValidator.java; org.apache.xerces.validators.datatype;322
parseExpression; XPath.java; org.apache.xerces.validators.schema.identity;316
elementDecl; DOMParser.java; org.apache.xerces.parsers;278
scanEntityDecl; XMLDTDScanner.java; org.apache.xerces.framework;268
doTraverseSchema; TraverseSchema.java; org.apache.xerces.validators.schema;262
scanAttlistDecl; XMLDTDScanner.java; org.apache.xerces.framework;248
checkContent; XMLValidator.java; org.apache.xerces.validators.common;245
dispatchEvent; NodeImpl.java; org.apache.xerces.dom;239
importNode; DocumentImpl.java; org.apache.xerces.dom;238
internalInsertBefore; ParentNode.java; org.apache.xerces.dom;235
whatCanGoHere; SimpleContentModel.java; org.apache.xerces.validators.common;233
AbstractStringValidator; AbstractStringValidator.java; org.apache.xerces.validators.datatype;231
scanContent; AbstractCharReader.java; org.apache.xerces.readers;230
internalInsertBefore; AttrImpl.java; org.apache.xerces.dom;224
processComplexContent; TraverseSchema.java; org.apache.xerces.validators.schema;218
checkParticleDerivationOK; TraverseSchema.java; org.apache.xerces.validators.schema;218
traverseComplexTypeDecl; TraverseSchema.java; org.apache.xerces.validators.schema;217
validateDTDattribute; XMLValidator.java; org.apache.xerces.validators.common;210
scanContent; StreamingCharReader.java; org.apache.xerces.readers;209
recognizeMarkup; UTF8Reader.java; org.apache.xerces.readers;209
scanMatchingName; UTF8Reader.java; org.apache.xerces.readers;209
validateContent; SimpleContentModel.java; org.apache.xerces.validators.common;208
getRange; Token.java; org.apache.xerces.utils.regex;207
scanXMLDeclOrTextDecl; XMLDocumentScanner.java; org.apache.xerces.framework;206
callEndElement; XMLValidator.java; org.apache.xerces.validators.common;194
setFeature; XMLParser.java; org.apache.xerces.framework;192
scanDecls; XMLDTDScanner.java; org.apache.xerces.framework;191
initialize; URI.java; org.apache.xerces.utils;191
lookingAtValidChar; UTF8Reader.java; org.apache.xerces.readers;183
scanContent; UCSReader.java; org.apache.xerces.readers;182
startElement; XPathMatcher.java; org.apache.xerces.validators.schema.identity;180
bindNamespacesToElementAndAttributes; XMLValidator.java; org.apache.xerces.validators.common;176
fillCurrentChunk; CharReader.java; org.apache.xerces.readers;176
matches; RegularExpression.java; org.apache.xerces.utils.regex;176
traverseGroupDecl; TraverseSchema.java; org.apache.xerces.validators.schema;174
matches; RegularExpression.java; org.apache.xerces.utils.regex;171
validateContent; DFAContentModel.java; org.apache.xerces.validators.common;171
fillCurrentChunk; UTF8CharReader.java; org.apache.xerces.readers;171
matches; RegularExpression.java; org.apache.xerces.utils.regex;170
startElement; HTMLSerializer.java; org.apache.xml.serialize;169
getNodeObject; DeferredDocumentImpl.java; org.apache.xerces.dom;168
toString; XMLContentSpec.java; org.apache.xerces.framework;164
compile; RegularExpression.java; org.apache.xerces.utils.regex;157
startElement; DOMParser.java; org.apache.xerces.parsers;156
traverseRedefine; TraverseSchema.java; org.apache.xerces.validators.schema;156
getFeature; XMLParser.java; org.apache.xerces.framework;156
validate; GeneralAttrCheck.java; org.apache.xerces.validators.schema;156
createChildren; DOMParser.java; org.apache.xerces.parsers;154
processAttributes; TraverseSchema.java; org.apache.xerces.validators.schema;153
createChildModel; Grammar.java; org.apache.xerces.validators.common;153
serializeNode; BaseMarkupSerializer.java; org.apache.xml.serialize;152
startElement; XMLSerializer.java; org.apache.xml.serialize;150
serializeElement; HTMLSerializer.java; org.apache.xml.serialize;149
internalRemoveChild; ParentNode.java; org.apache.xerces.dom;148
appendContentSpec; XMLContentSpec.java; org.apache.xerces.framework;147
parseCharacterClass_old; RegexParser.java; org.apache.xerces.utils.regex;147
addDTDDefaultAttributes; XMLValidator.java; org.apache.xerces.validators.common;146
scanContent; StringReader.java; org.apache.xerces.readers;145
expandRegistryToFullSchemaSet; DatatypeValidatorFactoryImpl.java; org.apache.xerces.validators.datatype;144
scanExpectedName; UTF8Reader.java; org.apache.xerces.readers;144
toString; UTF8DataChunk.java; org.apache.xerces.utils;143
scanEntityValue; UTF8Reader.java; org.apache.xerces.readers;143
checkAttributes; GeneralAttrCheck.java; org.apache.xerces.validators.schema;141
validateRedefineNameChange; TraverseSchema.java; org.apache.xerces.validators.schema;140
whatCanGoHere; DFAContentModel.java; org.apache.xerces.validators.common;140
handlePartialMultiByteChar; UTF8CharReader.java; org.apache.xerces.readers;140
callStartElement; XMLValidator.java; org.apache.xerces.validators.common;139
getElementNameFor; TraverseSchema.java; org.apache.xerces.validators.schema;139
traverseComplexContentDecl; TraverseSchema.java; org.apache.xerces.validators.schema;138
validateContentSpecial; SimpleContentModel.java; org.apache.xerces.validators.common;138
parseCharacterClass; ParserForXMLSchema.java; org.apache.xerces.utils.regex;137
scanTextDecl; XMLDTDScanner.java; org.apache.xerces.framework;136
scanAttValue; XMLDocumentScanner.java; org.apache.xerces.framework;136
isEquivalentTo; SubstitutionGroupComparator.java; org.apache.xerces.validators.schema;136
