traverseElementDecl; TraverseSchema.java; org.apache.xerces.validators.schema;579
validateElementAndAttributes; XMLValidator.java; org.apache.xerces.validators.common;553
scanContent; UTF8Reader.java; org.apache.xerces.readers;439
matchCharacterIterator; RegularExpression.java; org.apache.xerces.utils.regex;419
matchString; RegularExpression.java; org.apache.xerces.utils.regex;419
matchCharArray; RegularExpression.java; org.apache.xerces.utils.regex;414
buildDFA; DFAContentModel.java; org.apache.xerces.validators.common;394
attlistDecl; DOMParser.java; org.apache.xerces.parsers;359
traverseAttributeDecl; TraverseSchema.java; org.apache.xerces.validators.schema;339
traverseSimpleContentDecl; TraverseSchema.java; org.apache.xerces.validators.schema;281
elementDecl; DOMParser.java; org.apache.xerces.parsers;278
scanEntityDecl; XMLDTDScanner.java; org.apache.xerces.framework;268
traverseSimpleTypeDecl; TraverseSchema.java; org.apache.xerces.validators.schema;268
scanAttlistDecl; XMLDTDScanner.java; org.apache.xerces.framework;248
dispatchEvent; NodeImpl.java; org.apache.xerces.dom;239
internalInsertBefore; ParentNode.java; org.apache.xerces.dom;235
whatCanGoHere; SimpleContentModel.java; org.apache.xerces.validators.common;233
scanContent; AbstractCharReader.java; org.apache.xerces.readers;230
importNode; DocumentImpl.java; org.apache.xerces.dom;229
internalInsertBefore; AttrImpl.java; org.apache.xerces.dom;224
validateDTDattribute; XMLValidator.java; org.apache.xerces.validators.common;221
normalizeDuration; TimeDurationDatatypeValidator.java; org.apache.xerces.validators.datatype;213
scanContent; StreamingCharReader.java; org.apache.xerces.readers;209
scanMatchingName; UTF8Reader.java; org.apache.xerces.readers;209
recognizeMarkup; UTF8Reader.java; org.apache.xerces.readers;209
scanXMLDeclOrTextDecl; XMLDocumentScanner.java; org.apache.xerces.framework;206
validateContent; SimpleContentModel.java; org.apache.xerces.validators.common;206
scanDecls; XMLDTDScanner.java; org.apache.xerces.framework;190
RecurringDurationDatatypeValidator; RecurringDurationDatatypeValidator.java; org.apache.xerces.validators.datatype;187
initialize; URI.java; org.apache.xerces.utils;186
setFeature; XMLParser.java; org.apache.xerces.framework;183
lookingAtValidChar; UTF8Reader.java; org.apache.xerces.readers;183
scanContent; UCSReader.java; org.apache.xerces.readers;182
bindNamespacesToElementAndAttributes; XMLValidator.java; org.apache.xerces.validators.common;178
callEndElement; XMLValidator.java; org.apache.xerces.validators.common;177
fillCurrentChunk; CharReader.java; org.apache.xerces.readers;176
expandRegistryToFullSchemaSet; DatatypeValidatorFactoryImpl.java; org.apache.xerces.validators.datatype;175
parseExpression; XPath.java; org.apache.xerces.validators.schema.identity;175
fillCurrentChunk; UTF8CharReader.java; org.apache.xerces.readers;171
matches; RegularExpression.java; org.apache.xerces.utils.regex;171
matches; RegularExpression.java; org.apache.xerces.utils.regex;170
matches; RegularExpression.java; org.apache.xerces.utils.regex;170
getNodeObject; DeferredDocumentImpl.java; org.apache.xerces.dom;168
getRange; Token.java; org.apache.xerces.utils.regex;168
validateContent; DFAContentModel.java; org.apache.xerces.validators.common;168
checkContent; XMLValidator.java; org.apache.xerces.validators.common;168
processComplexContent; TraverseSchema.java; org.apache.xerces.validators.schema;165
