validateElementAndAttributes; XMLValidator.java; org.apache.xerces.validators.common;809
traverseElementDecl; TraverseSchema.java; org.apache.xerces.validators.schema;736
traverseSimpleTypeDecl; TraverseSchema.java; org.apache.xerces.validators.schema;457
scanContent; UTF8Reader.java; org.apache.xerces.readers;439
traverseAttributeDecl; TraverseSchema.java; org.apache.xerces.validators.schema;439
matchCharacterIterator; RegularExpression.java; org.apache.xerces.utils.regex;421
matchString; RegularExpression.java; org.apache.xerces.utils.regex;420
matchCharArray; RegularExpression.java; org.apache.xerces.utils.regex;416
buildDFA; DFAContentModel.java; org.apache.xerces.validators.common;397
attlistDecl; DOMParser.java; org.apache.xerces.parsers;363
traverseSimpleContentDecl; TraverseSchema.java; org.apache.xerces.validators.schema;337
AbstractNumericFacetValidator; AbstractNumericFacetValidator.java; org.apache.xerces.validators.datatype;322
parseExpression; XPath.java; org.apache.xerces.validators.schema.identity;316
elementDecl; DOMParser.java; org.apache.xerces.parsers;278
scanEntityDecl; XMLDTDScanner.java; org.apache.xerces.framework;268
doTraverseSchema; TraverseSchema.java; org.apache.xerces.validators.schema;256
checkContent; XMLValidator.java; org.apache.xerces.validators.common;252
scanAttlistDecl; XMLDTDScanner.java; org.apache.xerces.framework;248
processComplexContent; TraverseSchema.java; org.apache.xerces.validators.schema;235
whatCanGoHere; SimpleContentModel.java; org.apache.xerces.validators.common;233
AbstractStringValidator; AbstractStringValidator.java; org.apache.xerces.validators.datatype;231
scanContent; AbstractCharReader.java; org.apache.xerces.readers;230
checkParticleDerivationOK; TraverseSchema.java; org.apache.xerces.validators.schema;218
traverseComplexTypeDecl; TraverseSchema.java; org.apache.xerces.validators.schema;217
validateDTDattribute; XMLValidator.java; org.apache.xerces.validators.common;216
scanContent; StreamingCharReader.java; org.apache.xerces.readers;209
recognizeMarkup; UTF8Reader.java; org.apache.xerces.readers;209
scanMatchingName; UTF8Reader.java; org.apache.xerces.readers;209
validateContent; SimpleContentModel.java; org.apache.xerces.validators.common;208
getRange; Token.java; org.apache.xerces.utils.regex;207
importNode; CoreDocumentImpl.java; org.apache.xerces.dom;207
scanXMLDeclOrTextDecl; XMLDocumentScanner.java; org.apache.xerces.framework;206
dispatchEvent; DocumentImpl.java; org.apache.xerces.dom;198
setFeature; XMLParser.java; org.apache.xerces.framework;197
callEndElement; XMLValidator.java; org.apache.xerces.validators.common;195
initialize; URI.java; org.apache.xerces.utils;193
scanDecls; XMLDTDScanner.java; org.apache.xerces.framework;191
lookingAtValidChar; UTF8Reader.java; org.apache.xerces.readers;183
scanContent; UCSReader.java; org.apache.xerces.readers;182
bindNamespacesToElementAndAttributes; XMLValidator.java; org.apache.xerces.validators.common;181
startElement; XPathMatcher.java; org.apache.xerces.validators.schema.identity;180
fillCurrentChunk; CharReader.java; org.apache.xerces.readers;176
matches; RegularExpression.java; org.apache.xerces.utils.regex;176
traverseGroupDecl; TraverseSchema.java; org.apache.xerces.validators.schema;174
internalInsertBefore; ParentNode.java; org.apache.xerces.dom;173
startElement; HTMLSerializer.java; org.apache.xml.serialize;172
fillCurrentChunk; UTF8CharReader.java; org.apache.xerces.readers;171
matches; RegularExpression.java; org.apache.xerces.utils.regex;171
validateContent; DFAContentModel.java; org.apache.xerces.validators.common;171
matches; RegularExpression.java; org.apache.xerces.utils.regex;170
getNodeObject; DeferredDocumentImpl.java; org.apache.xerces.dom;168
validate; GeneralAttrCheck.java; org.apache.xerces.validators.schema;166
getFeature; XMLParser.java; org.apache.xerces.framework;166
toString; XMLContentSpec.java; org.apache.xerces.framework;164
internalInsertBefore; AttrImpl.java; org.apache.xerces.dom;162
compile; RegularExpression.java; org.apache.xerces.utils.regex;157
startElement; DOMParser.java; org.apache.xerces.parsers;156
traverseRedefine; TraverseSchema.java; org.apache.xerces.validators.schema;156
callStartElement; XMLValidator.java; org.apache.xerces.validators.common;156
createChildren; DOMParser.java; org.apache.xerces.parsers;154
processAttributes; TraverseSchema.java; org.apache.xerces.validators.schema;154
createChildModel; Grammar.java; org.apache.xerces.validators.common;153
serializeElement; HTMLSerializer.java; org.apache.xml.serialize;152
serializeNode; BaseMarkupSerializer.java; org.apache.xml.serialize;152
startElement; XMLSerializer.java; org.apache.xml.serialize;150
resolveSchemaGrammar; XMLValidator.java; org.apache.xerces.validators.common;150
appendContentSpec; XMLContentSpec.java; org.apache.xerces.framework;147
parseCharacterClass_old; RegexParser.java; org.apache.xerces.utils.regex;147
addDTDDefaultAttributes; XMLValidator.java; org.apache.xerces.validators.common;146
expandRegistryToFullSchemaSet; DatatypeValidatorFactoryImpl.java; org.apache.xerces.validators.datatype;146
scanContent; StringReader.java; org.apache.xerces.readers;145
scanExpectedName; UTF8Reader.java; org.apache.xerces.readers;144
toString; UTF8DataChunk.java; org.apache.xerces.utils;143
scanEntityValue; UTF8Reader.java; org.apache.xerces.readers;143
checkAttributes; GeneralAttrCheck.java; org.apache.xerces.validators.schema;143
traverseInclude; TraverseSchema.java; org.apache.xerces.validators.schema;141
traverseComplexContentDecl; TraverseSchema.java; org.apache.xerces.validators.schema;140
handlePartialMultiByteChar; UTF8CharReader.java; org.apache.xerces.readers;140
whatCanGoHere; DFAContentModel.java; org.apache.xerces.validators.common;140
validateRedefineNameChange; TraverseSchema.java; org.apache.xerces.validators.schema;140
getElementNameFor; TraverseSchema.java; org.apache.xerces.validators.schema;139
validateContentSpecial; SimpleContentModel.java; org.apache.xerces.validators.common;138
parseCharacterClass; ParserForXMLSchema.java; org.apache.xerces.utils.regex;137
scanTextDecl; XMLDTDScanner.java; org.apache.xerces.framework;136
isEquivalentTo; SubstitutionGroupComparator.java; org.apache.xerces.validators.schema;136
scanAttValue; XMLDocumentScanner.java; org.apache.xerces.framework;136
openRedefinedSchema; TraverseSchema.java; org.apache.xerces.validators.schema;135
checkContentEnum; ListDatatypeValidator.java; org.apache.xerces.validators.datatype;130
scanDefaultAttValue; XMLDTDScanner.java; org.apache.xerces.framework;129
handleOccurrences; TraverseSchema.java; org.apache.xerces.validators.schema;128
analyzeFirstCharacter; Token.java; org.apache.xerces.utils.regex;126
next; RegexParser.java; org.apache.xerces.utils.regex;125
startReadingFromExternalEntity; DefaultEntityHandler.java; org.apache.xerces.readers;122
scanComplexEntityValue; XMLDTDScanner.java; org.apache.xerces.framework;122
traverseAttributeGroupDecl; TraverseSchema.java; org.apache.xerces.validators.schema;121
parseCharacterClass; RegexParser.java; org.apache.xerces.utils.regex;121
parse; DurationDatatypeValidator.java; org.apache.xerces.validators.datatype;121
scanName; UTF8Reader.java; org.apache.xerces.readers;121
startElement; HTMLSerializer.java; org.apache.xml.serialize;121
addDefaultAttributes; XMLValidator.java; org.apache.xerces.validators.common;120
traverseIncludedSchema; TraverseSchema.java; org.apache.xerces.validators.schema;119
whatCanGoHere; AllContentModel.java; org.apache.xerces.validators.common;118
createChildren; DOMParser.java; org.apache.xerces.parsers;115
print; DeferredDocumentImpl.java; org.apache.xerces.dom;115
scanElementDecl; XMLDTDScanner.java; org.apache.xerces.framework;114
setFeature; DOMParser.java; org.apache.xerces.parsers;114
endOfInput; XMLDTDScanner.java; org.apache.xerces.framework;113
addSymbolToCache; SymbolCache.java; org.apache.xerces.utils;113
normalizeDefaultAttValue; XMLDTDScanner.java; org.apache.xerces.framework;113
setDeclHandler; SAXParser.java; org.apache.xerces.parsers;112
dumpTree; DFAContentModel.java; org.apache.xerces.validators.common;112
serializeElement; XMLSerializer.java; org.apache.xml.serialize;112
validateContent; AllContentModel.java; org.apache.xerces.validators.common;112
compareBoundaryPoints; RangeImpl.java; org.apache.xerces.dom;112
validateContentSpecial; AllContentModel.java; org.apache.xerces.validators.common;112
validateContentSpecial; DFAContentModel.java; org.apache.xerces.validators.common;110
scanQName; AbstractCharReader.java; org.apache.xerces.readers;108
traverseContents; RangeImpl.java; org.apache.xerces.dom;108
scanQName; UTF8Reader.java; org.apache.xerces.readers;107
find; FactoryFinder.java; javax.xml.parsers;106
validateContent; MixedContentModel.java; org.apache.xerces.validators.common;105
