SelectionOnImportReference.java; org.eclipse.jdt.internal.codeassist.select
SelectionOnNameOfMemberValuePair.java; org.eclipse.jdt.internal.codeassist.select
SubTypeSearchJob.java; org.eclipse.jdt.internal.core.search
TypeNameRequestorWrapper.java; org.eclipse.jdt.internal.core.search
AssistImportDeclaration.java; org.eclipse.jdt.internal.codeassist.impl
CompletionOnMethodTypeParameter.java; org.eclipse.jdt.internal.codeassist.complete
RemoveFromIndex.java; org.eclipse.jdt.internal.core.search.indexing
LongLiteralMinValue.java; org.eclipse.jdt.internal.compiler.ast
AnnotationMethodInfoWithAnnotations.java; org.eclipse.jdt.internal.compiler.classfmt
ClassFilePool.java; org.eclipse.jdt.internal.compiler
SiblingEnumeration.java; org.eclipse.jdt.internal.core.jdom
AssistInitializer.java; org.eclipse.jdt.internal.codeassist.impl
ImageBuilderInternalException.java; org.eclipse.jdt.internal.core.builder
ResourceCompilationUnit.java; org.eclipse.jdt.internal.core.util
CompletionOnStringLiteral.java; org.eclipse.jdt.internal.codeassist.complete
