ICodeSnippetRequestor.java; org.eclipse.jdt.core.eval
IDOMNode.java; org.eclipse.jdt.core.jdom
CompletionScanner.java; org.eclipse.jdt.internal.codeassist.complete
InvalidCursorLocation.java; org.eclipse.jdt.internal.codeassist.complete
SelectionParser.java; org.eclipse.jdt.internal.codeassist.select
CompilationResult.java; org.eclipse.jdt.internal.compiler
HierarchyType.java; org.eclipse.jdt.internal.compiler
Opcodes.java; org.eclipse.jdt.internal.compiler.codegen
InitializationFlowContext.java; org.eclipse.jdt.internal.compiler.flow
CompilerOptions.java; org.eclipse.jdt.internal.compiler.impl
Constant.java; org.eclipse.jdt.internal.compiler.impl
AbortCompilation.java; org.eclipse.jdt.internal.compiler.problem
INode.java; org.eclipse.jdt.internal.core.builder.impl
EvaluationConstants.java; org.eclipse.jdt.internal.eval
FormatterOptions.java; org.eclipse.jdt.internal.formatter.impl
