MapTaskRunner.java: org.apache.hadoop.mapred Task.java: org.apache.hadoop.mapred 1->2: 0  2->1: 24
DatanodeInfo.java: org.apache.hadoop.dfs DFSck.java: org.apache.hadoop.dfs 1->2: 34  2->1: 12
DFSFileInfo.java: org.apache.hadoop.dfs DfsPath.java: org.apache.hadoop.dfs 1->2: 17  2->1: 4
JFile.java: org.apache.hadoop.record.compiler Rcc.java: org.apache.hadoop.record.compiler.generated 1->2: 14  2->1: 6
FileSystem.java: org.apache.hadoop.fs TestSequenceFileInputFormat.java: org.apache.hadoop.mapred 1->2: 26  2->1: 0
RecordReader.java: org.apache.hadoop.mapred MapTask.java: org.apache.hadoop.mapred 1->2: 15  2->1: 1
StreamInputFormat.java: org.apache.hadoop.streaming JobConf.java: org.apache.hadoop.mapred 1->2: 0  2->1: 31
Path.java: org.apache.hadoop.fs TestDFSIO.java: org.apache.hadoop.fs 1->2: 139  2->1: 0
ClusterTestDFS.java: org.apache.hadoop.dfs TestFileSystem.java: org.apache.hadoop.fs 1->2: 7  2->1: 10
UTF8.java: org.apache.hadoop.io DistributedFSCheck.java: org.apache.hadoop.fs 1->2: 117  2->1: 0
JobInProgress.java: org.apache.hadoop.mapred Task.java: org.apache.hadoop.mapred 1->2: 0  2->1: 283
RandomWriter.java: org.apache.hadoop.examples FileSystem.java: org.apache.hadoop.fs 1->2: 0  2->1: 47
UTF8.java: org.apache.hadoop.io WritableComparator.java: org.apache.hadoop.io 1->2: 9  2->1: 46
Configuration.java: org.apache.hadoop.conf TestMapRed.java: org.apache.hadoop.record.test 1->2: 117  2->1: 1
TaskInProgress.java: org.apache.hadoop.mapred MapTask.java: org.apache.hadoop.mapred 1->2: 2  2->1: 27
AbstractMetricsContext.java: org.apache.hadoop.metrics.spi MetricsRecordImpl.java: org.apache.hadoop.metrics.spi 1->2: 11  2->1: 56
ParseException.java: org.apache.hadoop.record.compiler.generated Rcc.java: org.apache.hadoop.record.compiler.generated 1->2: 74  2->1: 2
Server.java: org.apache.hadoop.ipc TestRPC.java: org.apache.hadoop.ipc 1->2: 24  2->1: 0
TaskTracker.java: org.apache.hadoop.mapred Progress.java: org.apache.hadoop.util 1->2: 13  2->1: 138
JobConf.java: org.apache.hadoop.mapred TestFileSystem.java: org.apache.hadoop.fs 1->2: 93  2->1: 0
FileSystem.java: org.apache.hadoop.fs DistributedFSCheck.java: org.apache.hadoop.fs 1->2: 139  2->1: 0
JobClient.java: org.apache.hadoop.mapred RunningJob.java: org.apache.hadoop.mapred 1->2: 2  2->1: 39
Utils.java: org.apache.hadoop.record BinaryInputArchive.java: org.apache.hadoop.record 1->2: 20  2->1: 4
JobProfile.java: org.apache.hadoop.mapred JobStatus.java: org.apache.hadoop.mapred 1->2: 10  2->1: 8
FSDataInputStream.java: org.apache.hadoop.fs Seekable.java: org.apache.hadoop.fs 1->2: 3  2->1: 15
Path.java: org.apache.hadoop.fs TextOutputFormat.java: org.apache.hadoop.mapred 1->2: 22  2->1: 0
StreamBaseRecordReader.java: org.apache.hadoop.streaming RecordReader.java: org.apache.hadoop.record 1->2: 0  2->1: 16
NameNode.java: org.apache.hadoop.dfs ClusterTestDFSNamespaceLogging.java: org.apache.hadoop.dfs 1->2: 77  2->1: 6
ExampleDriver.java: org.apache.hadoop.examples ProgramDriver.java: org.apache.hadoop.util 1->2: 15  2->1: 9
Path.java: org.apache.hadoop.fs MapFileOutputFormat.java: org.apache.hadoop.mapred 1->2: 57  2->1: 0
Writable.java: org.apache.hadoop.io TestFileSystem.java: org.apache.hadoop.fs 1->2: 14  2->1: 0
JobClient.java: org.apache.hadoop.mapred TestMapRed.java: org.apache.hadoop.record.test 1->2: 22  2->1: 2
FileSystem.java: org.apache.hadoop.fs MapFile.java: org.apache.hadoop.io 1->2: 137  2->1: 18
Configuration.java: org.apache.hadoop.conf SequenceFile.java: org.apache.hadoop.io 1->2: 319  2->1: 0
LongWritable.java: org.apache.hadoop.io MapFile.java: org.apache.hadoop.io 1->2: 90  2->1: 0
Configuration.java: org.apache.hadoop.conf LocalJobRunner.java: org.apache.hadoop.mapred 1->2: 101  2->1: 0
JobTracker.java: org.apache.hadoop.mapred StatusHttpServer.java: org.apache.hadoop.mapred 1->2: 0  2->1: 25
StreamUtil.java: org.apache.hadoop.streaming TaskRunner.java: org.apache.hadoop.mapred 1->2: 10  2->1: 6
Configuration.java: org.apache.hadoop.conf MapFileOutputFormat.java: org.apache.hadoop.mapred 1->2: 54  2->1: 0
