mergeJoins; SemanticAnalyzer.java; ql.src.java.org.apache.hadoop.hive.ql.parse; QBJoinTree.java;34; 
execute; DDLTask.java; ql.src.java.org.apache.hadoop.hive.ql.exec; DDLWork.java;33; 
genMapRedTasks; SemanticAnalyzer.java; ql.src.java.org.apache.hadoop.hive.ql.parse; MetricsMBeanImpl.java;31; 
copyMSD; ObjectStore.java; metastore.src.java.org.apache.hadoop.hive.metastore; MStorageDescriptor.java;27; 
genJoinTree; SemanticAnalyzer.java; ql.src.java.org.apache.hadoop.hive.ql.parse; QBJoinTree.java;27; 
analyzeInternal; DDLSemanticAnalyzer.java; ql.src.java.org.apache.hadoop.hive.ql.parse; Context.java;26; 
getIndexBuilderMapRedTask; BitmapIndexHandler.java; ql.src.java.org.apache.hadoop.hive.ql.index.bitmap; JobCloseFeedBack.java;25; 
doPhase1; SemanticAnalyzer.java; ql.src.java.org.apache.hadoop.hive.ql.parse; QBParseInfo.java;25; 
getColumns; HiveDatabaseMetaData.java; jdbc.src.java.org.apache.hadoop.hive.jdbc; HiveInterruptUtils.java;23; 
convertMapJoin; MapJoinProcessor.java; ql.src.java.org.apache.hadoop.hive.ql.optimizer; MetricsMBeanImpl.java;23; 
analyzeInternal; ImportSemanticAnalyzer.java; ql.src.java.org.apache.hadoop.hive.ql.parse; MStorageDescriptor.java;22; 
