jEdit.java: org.gjt.sp.jedit AbbrevsOptionPane.java: org.gjt.sp.jedit.options 1->2: 35  2->1: 48
View.java: org.gjt.sp.jedit VFSBrowser.java: org.gjt.sp.jedit.browser 1->2: 71  2->1: 12
BeanShell.java: org.gjt.sp.jedit View.java: org.gjt.sp.jedit 1->2: 13  2->1: 45
TextAreaExtension.java: org.gjt.sp.jedit.textarea ExtensionManager.java: org.gjt.sp.jedit.textarea 1->2: 16  2->1: 10
Macros.java: org.gjt.sp.jedit View.java: org.gjt.sp.jedit 1->2: 39  2->1: 44
EnhancedDialog.java: org.gjt.sp.jedit.gui ContextOptionPane.java: org.gjt.sp.jedit.options 1->2: 19  2->1: 7
jEdit.java: org.gjt.sp.jedit WorkThread.java: org.gjt.sp.util 1->2: 11  2->1: 23
jEdit.java: org.gjt.sp.jedit FloatingWindowContainer.java: org.gjt.sp.jedit.gui 1->2: 4  2->1: 140
GUIUtilities.java: org.gjt.sp.jedit ToolBarOptionPane.java: org.gjt.sp.jedit.options 1->2: 6  2->1: 32
Mode.java: org.gjt.sp.jedit BufferOptions.java: org.gjt.sp.jedit.gui 1->2: 68  2->1: 13
MiscUtilities.java: org.gjt.sp.jedit Buffer.java: org.gjt.sp.jedit 1->2: 37  2->1: 60
PluginListHandler.java: org.gjt.sp.jedit.pluginmgr PluginList.java: org.gjt.sp.jedit.pluginmgr 1->2: 4  2->1: 26
BeanShell.java: org.gjt.sp.jedit Log.java: org.gjt.sp.util 1->2: 1  2->1: 33
SearchAndReplace.java: org.gjt.sp.jedit.search RESearchMatcher.java: org.gjt.sp.jedit.search 1->2: 39  2->1: 6
Buffer.java: org.gjt.sp.jedit BrowserCommandsMenu.java: org.gjt.sp.jedit.browser 1->2: 55  2->1: 2
BufferIORequest.java: org.gjt.sp.jedit.io VFS.java: org.gjt.sp.jedit.io 1->2: 54  2->1: 127
Buffer.java: org.gjt.sp.jedit CloseDialog.java: org.gjt.sp.jedit.gui 1->2: 62  2->1: 115
JARClassLoader.java: org.gjt.sp.jedit jEdit.java: org.gjt.sp.jedit 1->2: 21  2->1: 112
EditPane.java: org.gjt.sp.jedit StatusBar.java: org.gjt.sp.jedit.gui 1->2: 13  2->1: 9
EditServer.java: org.gjt.sp.jedit Buffer.java: org.gjt.sp.jedit 1->2: 13  2->1: 18
Buffer.java: org.gjt.sp.jedit SegmentBuffer.java: org.gjt.sp.util 1->2: 3  2->1: 20
GUIUtilities.java: org.gjt.sp.jedit VFS.java: org.gjt.sp.jedit.io 1->2: 33  2->1: 61
jEdit.java: org.gjt.sp.jedit ContentManager.java: org.gjt.sp.jedit.buffer 1->2: 5  2->1: 70
GUIUtilities.java: org.gjt.sp.jedit Buffer.java: org.gjt.sp.jedit 1->2: 56  2->1: 118
BrowserIORequest.java: org.gjt.sp.jedit.browser WorkThread.java: org.gjt.sp.util 1->2: 6  2->1: 21
BufferPrinter.java: org.gjt.sp.jedit.print BufferPrintable.java: org.gjt.sp.jedit.print 1->2: 14  2->1: 12
Buffer.java: org.gjt.sp.jedit ReadWriteLock.java: org.gjt.sp.util 1->2: 17  2->1: 62
Buffer.java: org.gjt.sp.jedit VFS.java: org.gjt.sp.jedit.io 1->2: 73  2->1: 204
GUIUtilities.java: org.gjt.sp.jedit VFSBrowser.java: org.gjt.sp.jedit.browser 1->2: 49  2->1: 3
View.java: org.gjt.sp.jedit VariableGridLayout.java: org.gjt.sp.jedit.gui 1->2: 0  2->1: 18
Registers.java: org.gjt.sp.jedit jEdit.java: org.gjt.sp.jedit 1->2: 63  2->1: 19
View.java: org.gjt.sp.jedit SearchDialog.java: org.gjt.sp.jedit.search 1->2: 30  2->1: 26
Buffer.java: org.gjt.sp.jedit CompleteWord.java: org.gjt.sp.jedit.gui 1->2: 45  2->1: 0
Abbrevs.java: org.gjt.sp.jedit jEdit.java: org.gjt.sp.jedit 1->2: 122  2->1: 47
MiscUtilities.java: org.gjt.sp.jedit ToolBarOptionPane.java: org.gjt.sp.jedit.options 1->2: 13  2->1: 6
View.java: org.gjt.sp.jedit BufferIORequest.java: org.gjt.sp.jedit.io 1->2: 12  2->1: 18
MiscUtilities.java: org.gjt.sp.jedit Log.java: org.gjt.sp.util 1->2: 0  2->1: 43
Buffer.java: org.gjt.sp.jedit BufferIORequest.java: org.gjt.sp.jedit.io 1->2: 227  2->1: 322
InputHandler.java: org.gjt.sp.jedit.gui JEditTextArea.java: org.gjt.sp.jedit.textarea 1->2: 17  2->1: 14
GUIUtilities.java: org.gjt.sp.jedit FloatingWindowContainer.java: org.gjt.sp.jedit.gui 1->2: 10  2->1: 38
BufferHistory.java: org.gjt.sp.jedit Log.java: org.gjt.sp.util 1->2: 1  2->1: 24
EditBus.java: org.gjt.sp.jedit SearchAndReplace.java: org.gjt.sp.jedit.search 1->2: 30  2->1: 0
EditBus.java: org.gjt.sp.jedit jEdit.java: org.gjt.sp.jedit 1->2: 42  2->1: 11
jEdit.java: org.gjt.sp.jedit BufferPrinter.java: org.gjt.sp.jedit.print 1->2: 20  2->1: 30
VFSManager.java: org.gjt.sp.jedit.io FileVFS.java: org.gjt.sp.jedit.io 1->2: 64  2->1: 5
Buffer.java: org.gjt.sp.jedit IndentFoldHandler.java: org.gjt.sp.jedit.buffer 1->2: 8  2->1: 13
jEdit.java: org.gjt.sp.jedit BrowserView.java: org.gjt.sp.jedit.browser 1->2: 25  2->1: 5
jEdit.java: org.gjt.sp.jedit InstallPluginsDialog.java: org.gjt.sp.jedit.pluginmgr 1->2: 139  2->1: 19
FoldVisibilityManager.java: org.gjt.sp.jedit.textarea JEditTextArea.java: org.gjt.sp.jedit.textarea 1->2: 111  2->1: 87
VFSBrowser.java: org.gjt.sp.jedit.browser FavoritesVFS.java: org.gjt.sp.jedit.io 1->2: 8  2->1: 24
BufferIORequest.java: org.gjt.sp.jedit.io IntegerArray.java: org.gjt.sp.util 1->2: 0  2->1: 53
Gutter.java: org.gjt.sp.jedit.textarea TextAreaExtension.java: org.gjt.sp.jedit.textarea 1->2: 12  2->1: 20
AbstractOptionPane.java: org.gjt.sp.jedit GutterOptionPane.java: org.gjt.sp.jedit.options 1->2: 22  2->1: 4
jEdit.java: org.gjt.sp.jedit VFSUpdate.java: org.gjt.sp.jedit.msg 1->2: 3  2->1: 15
jEdit.java: org.gjt.sp.jedit EditingOptionPane.java: org.gjt.sp.jedit.options 1->2: 157  2->1: 0
jEdit.java: org.gjt.sp.jedit BufferPrintable.java: org.gjt.sp.jedit.print 1->2: 21  2->1: 30
jEdit.java: org.gjt.sp.jedit LogViewer.java: org.gjt.sp.jedit.gui 1->2: 20  2->1: 0
Autosave.java: org.gjt.sp.jedit jEdit.java: org.gjt.sp.jedit 1->2: 9  2->1: 14
Buffer.java: org.gjt.sp.jedit HyperSearchResults.java: org.gjt.sp.jedit.search 1->2: 37  2->1: 2
jEdit.java: org.gjt.sp.jedit StatusBar.java: org.gjt.sp.jedit.gui 1->2: 79  2->1: 0
