genFileSinkPlan; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;391
genMapRedTasks; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;375
alterTable; DDLTask.java; org.apache.hadoop.hive.ql.exec;332
deserialize; BinarySortableSerDe.java; org.apache.hadoop.hive.serde2.binarysortable;295
processSkewJoin; GenMRSkewJoinProcessor.java; org.apache.hadoop.hive.ql.optimizer.physical;286
serialize; LazyBinarySerDe.java; org.apache.hadoop.hive.serde2.lazybinary;280
execute; ExecDriver.java; org.apache.hadoop.hive.ql.exec;270
execute; Driver.java; org.apache.hadoop.hive.ql;251
doPhase1; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;244
setTaskPlan; GenMapRedUtils.java; org.apache.hadoop.hive.ql.optimizer;239
genSelectPlan; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;236
convertMapJoin; MapJoinProcessor.java; org.apache.hadoop.hive.ql.optimizer;231
execute; MapRedTask.java; org.apache.hadoop.hive.ql.exec;231
analyzeCreateTable; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;222
archive; DDLTask.java; org.apache.hadoop.hive.ql.exec;217
unarchive; DDLTask.java; org.apache.hadoop.hive.ql.exec;215
execute; DDLTask.java; org.apache.hadoop.hive.ql.exec;215
grantPrivileges; ObjectStore.java; org.apache.hadoop.hive.metastore;210
initializeOp; GroupByOperator.java; org.apache.hadoop.hive.ql.exec;206
parseJoinCondition; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;206
genTablePlan; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;205
progress; HadoopJobExecHelper.java; org.apache.hadoop.hive.ql.exec;200
analyzeInternal; ImportSemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;196
getMetaData; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;193
revokePrivileges; ObjectStore.java; org.apache.hadoop.hive.metastore;190
analyzeInternal; DDLSemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;188
execute; MoveTask.java; org.apache.hadoop.hive.ql.exec;178
createIndex; Hive.java; org.apache.hadoop.hive.ql.metadata;178
serialize; BinarySortableSerDe.java; org.apache.hadoop.hive.serde2.binarysortable;177
aggregateStats; StatsTask.java; org.apache.hadoop.hive.ql.exec;175
alterTable; HiveAlterHandler.java; org.apache.hadoop.hive.metastore;169
