execute; ExecDriver.java; org.apache.hadoop.hive.ql.exec;170
jjStopStringLiteralDfa_0; thrift_grammarTokenManager.java; org.apache.hadoop.hive.serde2.dynamic_type;167
run; Driver.java; org.apache.hadoop.hive.ql;148
doPhase1; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;145
processCmd; CliDriver.java; org.apache.hadoop.hive.cli;143
describeTable; DDLTask.java; org.apache.hadoop.hive.ql.exec;127
execute; QTestGenTask.java; org.apache.hadoop.hive.ant;121
createTable; DDLTask.java; org.apache.hadoop.hive.ql.exec;119
analyzeCreateTable; DDLSemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;117
genMapRedTasks; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;116
genTablePlan; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;115
parseJoinCondition; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;112
initialize; GroupByOperator.java; org.apache.hadoop.hive.ql.exec;111
Namespace; thrift_grammar.java; org.apache.hadoop.hive.serde2.dynamic_type;111
