JavaCore.java; org.eclipse.jdt.core
JDTCompilerAdapter.java; org.eclipse.jdt.core
TypeBinding.java; org.eclipse.jdt.core.dom
ASTParser.java; org.eclipse.jdt.core.dom
CompletionEngine.java; org.eclipse.jdt.internal.codeassist
CompletionScanner.java; org.eclipse.jdt.internal.codeassist.complete
CompletionParser.java; org.eclipse.jdt.internal.codeassist.complete
AssistParser.java; org.eclipse.jdt.internal.codeassist.impl
ClassFile.java; org.eclipse.jdt.internal.compiler
TypeDeclaration.java; org.eclipse.jdt.internal.compiler.ast
OperatorExpression.java; org.eclipse.jdt.internal.compiler.ast
Label.java; org.eclipse.jdt.internal.compiler.codegen
DiagnoseParser.java; org.eclipse.jdt.internal.compiler.parser.diagnose
DeltaProcessingState.java; org.eclipse.jdt.internal.core
JavaModelStatus.java; org.eclipse.jdt.internal.core
JavaModelManager.java; org.eclipse.jdt.internal.core
SetClasspathOperation.java; org.eclipse.jdt.internal.core
BinaryIndexer.java; org.eclipse.jdt.internal.core.search.indexing
JobManager.java; org.eclipse.jdt.internal.core.search.processing
PublicScanner.java; org.eclipse.jdt.internal.core.util
VariablesEvaluator.java; org.eclipse.jdt.internal.eval
DefaultCodeFormatterOptions.java; org.eclipse.jdt.internal.formatter
Scribe.java; org.eclipse.jdt.internal.formatter
