Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\AntClassLoader.java",2,2,3,1,21,0,10,10,,,,,2,2,6,64,,64,62,13,64,,1,12,10,41,,1566,,,,104,,,,741,,,214,447,727,,,,,,,328,499,200,,,299,,,,,,,,12,12,14,9,,,4,,,,0.98,181,181,196,100
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\AntTypeDefinition.java",2,2,3,1,14,0,8,6,,,,,1,0,0,22,,22,22,7,22,,0,3,0,19,,388,,,,28,,,,202,,,54,125,158,,,,,,,75,116,46,,,70,,,,,,,,7,7,10,7,,,2,,,,0.78,51,51,69,37
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\BuildEvent.java",1,1,1,1,12,0,3,8,,,,,1,0,1,11,,11,11,6,11,,0,0,0,11,,203,,,,15,,,,54,,,21,23,134,,,,,,,30,42,21,,,21,,,,,,,,1,1,1,1,,,0,,,,2.48,11,11,11,11
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\BuildException.java",1,1,1,1,10,0,3,6,,,,,1,0,1,11,,11,11,1,11,,0,0,0,11,,154,,,,15,,,,42,,,15,17,97,,,,,,,18,30,15,,,15,,,,,,,,1,1,1,1,,,0,,,,2.31,11,11,11,11
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\BuildListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,7,7,0,7,,7,0,0,0,,110,,,,10,,,,11,,,10,0,89,,,,,,,9,10,10,,,0,,,,,,,,0,0,0,0,,,0,,,,8.09,0,0,0,0
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\BuildLogger.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,72,,,,7,,,,8,,,7,0,57,,,,,,,6,7,7,,,0,,,,,,,,0,0,0,0,,,0,,,,7.13,0,0,0,0
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\ComponentHelper.java",2,2,2,1,18,0,11,6,,,,,2,4,7,53,,53,49,12,53,,4,16,1,32,,1148,,,,81,,,,661,,,192,442,409,,,,,,,373,495,196,,,299,,,,,,,,17,17,17,4,,,3,,,,0.62,132,132,141,71
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\DefaultLogger.java",1,1,2,1,14,0,7,6,,,,,1,2,2,20,,20,18,5,20,,1,0,7,12,,380,,,,36,,,,177,,,63,105,168,,,,,,,90,127,61,,,66,,,,,,,,11,11,13,7,,,6,,,,0.95,38,38,42,29
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\DemuxInputStream.java",1,1,1,1,10,0,4,6,,,,,1,0,1,3,,3,3,1,3,,0,0,0,3,,74,,,,9,,,,20,,,10,7,45,,,,,,,10,15,10,,,5,,,,,,,,2,2,2,1,,,1,,,,2.25,4,4,4,3
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\DemuxOutputStream.java",2,2,2,1,16,0,8,7,,,,,2,0,4,10,,10,10,5,10,,0,3,2,5,,248,,,,24,,,,106,,,41,64,118,,,,,,,60,82,41,,,41,,,,,,,,5,5,9,1,,,2,,,,1.11,20,20,25,10
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\Diagnostics.java",2,2,2,1,16,0,11,4,,,,,2,34,8,36,,36,2,0,36,,0,29,0,7,,714,,,,64,,,,450,,,131,311,201,,,,,,,263,335,131,,,204,,,,,,,,10,10,11,3,,,4,,,,0.45,88,88,89,38
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\DirectoryScanner.java",2,2,3,1,20,0,11,8,,,,,1,11,7,69,,69,58,30,69,,3,20,12,34,,1892,,,,147,,,,877,,,238,556,874,,,,,,,390,581,207,,,374,,,,,,,,26,26,36,9,,,7,,,,1.00,196,196,232,113
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\DynamicAttribute.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,38,,,,4,,,,5,,,4,0,29,,,,,,,2,3,3,,,0,,,,,,,,0,0,0,0,,,0,,,,5.80,0,0,0,0
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\DynamicAttributeNS.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,41,,,,3,,,,6,,,5,0,32,,,,,,,2,3,3,,,0,,,,,,,,0,0,0,0,,,0,,,,5.33,0,0,0,0
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\DynamicConfigurator.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,29,,,,3,,,,4,,,3,0,22,,,,,,,1,2,2,,,0,,,,,,,,0,0,0,0,,,0,,,,5.50,0,0,0,0
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\DynamicConfiguratorNS.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,27,,,,1,,,,4,,,3,0,22,,,,,,,1,2,2,,,0,,,,,,,,0,0,0,0,,,0,,,,5.50,0,0,0,0
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\DynamicElement.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,36,,,,3,,,,4,,,3,0,29,,,,,,,2,3,3,,,0,,,,,,,,0,0,0,0,,,0,,,,7.25,0,0,0,0
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\DynamicElementNS.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,37,,,,1,,,,5,,,4,0,31,,,,,,,2,3,3,,,0,,,,,,,,0,0,0,0,,,0,,,,6.20,0,0,0,0
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\Executor.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,48,,,,5,,,,6,,,5,0,37,,,,,,,3,4,4,,,0,,,,,,,,0,0,0,0,,,0,,,,6.17,0,0,0,0
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\ExitException.java",1,1,1,1,8,0,3,4,,,,,1,0,1,3,,3,3,1,3,,0,0,0,3,,61,,,,6,,,,16,,,7,6,39,,,,,,,8,12,7,,,5,,,,,,,,1,1,1,1,,,0,,,,2.44,3,3,3,3
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\ExitStatusException.java",1,1,1,1,8,0,3,4,,,,,1,0,1,4,,4,4,1,4,,0,0,0,4,,69,,,,7,,,,20,,,8,8,42,,,,,,,10,15,8,,,7,,,,,,,,1,1,1,1,,,0,,,,2.10,4,4,4,4
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\ExtensionPoint.java",1,1,1,1,6,0,3,3,,,,,1,0,1,2,,2,2,0,2,,0,0,0,2,,48,,,,6,,,,11,,,6,3,31,,,,,,,4,7,5,,,2,,,,,,,,1,1,1,1,,,0,,,,2.82,2,2,2,2
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\FileScanner.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,14,14,0,14,,14,0,0,0,,158,,,,15,,,,18,,,17,0,125,,,,,,,16,17,17,,,0,,,,,,,,0,0,0,0,,,0,,,,6.94,0,0,0,0
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\IntrospectionHelper.java",2,2,3,1,20,0,12,7,,,,,20,5,8,78,,80,75,21,80,,18,18,2,42,,1734,,,,104,,,,955,,,245,613,681,,,,,,,376,585,224,,,361,,,,,,,,21,21,49,16,,,5,,,,0.71,229,229,274,137
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\Location.java",1,1,1,1,12,0,5,6,,,,,1,0,2,10,,10,10,3,10,,0,1,0,9,,177,,,,20,,,,65,,,21,30,92,,,,,,,30,47,21,,,26,,,,,,,,4,4,4,4,,,2,,,,1.42,16,16,17,13
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\MagicNames.java",1,1,1,1,2,0,2,0,,,,,1,0,32,1,,1,1,0,1,,0,1,0,0,,252,,,,36,,,,43,,,41,32,173,,,,,,,34,36,36,,,0,,,,,,,,1,1,1,1,,,0,,,,4.02,1,1,1,1
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\Main.java",4,4,5,1,33,1,22,8,,,,,1,12,6,31,,31,19,15,31,,0,23,3,5,,1230,,,,115,,,,759,,,177,565,360,,,,,,,408,549,170,,,379,,,,,,,,45,45,61,5,,,5,,,,0.47,151,151,172,39
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\NoBannerLogger.java",1,1,1,1,11,0,5,5,,,,,1,0,0,5,,5,5,1,5,,0,0,1,4,,100,,,,12,,,,30,,,9,12,58,,,,,,,10,19,9,,,10,,,,,,,,3,3,5,1,,,1,,,,1.93,7,7,9,5
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\PathTokenizer.java",5,5,7,1,34,1,20,13,,,,,1,0,0,3,,3,3,4,3,,0,0,0,3,,165,,,,13,,,,71,,,17,44,81,,,,,,,29,45,17,,,28,,,,,,,,11,11,19,1,,,6,,,,1.14,15,15,23,3
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\Project.java",1,1,1,1,16,0,6,9,,,,,3,5,15,129,,129,124,19,129,,1,6,11,111,,2476,,,,171,,,,958,,,309,529,1351,,,,,,,445,667,290,,,377,,,,,,,,14,14,14,4,,,5,,,,1.41,233,233,237,139
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\ProjectComponent.java",1,1,1,1,10,0,3,6,,,,,1,0,0,10,,10,10,3,10,,0,0,0,10,,169,,,,14,,,,44,,,16,17,111,,,,,,,17,30,16,,,14,,,,,,,,3,3,3,1,,,2,,,,2.52,12,12,12,10
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\ProjectHelper.java",1,1,1,1,13,0,4,8,,,,,5,21,14,35,,35,14,3,35,,0,1,3,31,,609,,,,55,,,,209,,,87,100,345,,,,,,,88,140,76,,,64,,,,,,,,5,5,5,3,,,3,,,,1.65,52,52,55,41
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\ProjectHelperRepository.java",2,2,2,1,15,0,11,4,,,,,2,1,6,16,,16,15,3,16,,1,6,0,9,,340,,,,31,,,,215,,,63,126,95,,,,,,,85,131,56,,,75,,,,,,,,6,6,6,3,,,3,,,,0.44,43,43,45,24
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\PropertyHelper.java",2,2,2,1,18,0,7,10,,,,,8,8,4,50,,53,45,10,53,,4,2,6,41,,1216,,,,86,,,,446,,,124,244,684,,,,,,,185,298,124,,,174,,,,,,,,8,8,11,5,,,3,,,,1.53,109,109,126,73
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\RuntimeConfigurable.java",2,2,2,1,15,0,7,7,,,,,1,0,2,24,,24,24,10,24,,2,0,0,22,,485,,,,51,,,,210,,,65,114,226,,,,,,,97,147,66,,,81,,,,,,,,16,16,16,7,,,6,,,,1.08,61,61,64,30
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\SubBuildListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,58,,,,4,,,,5,,,4,0,49,,,,,,,3,4,4,,,0,,,,,,,,0,0,0,0,,,0,,,,9.80,0,0,0,0
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\Target.java",1,1,1,1,13,0,6,7,,,,,1,1,0,29,,29,28,8,29,,2,2,0,25,,481,,,,43,,,,201,,,68,108,239,,,,,,,91,137,67,,,70,,,,,,,,6,6,8,3,,,4,,,,1.19,51,51,54,31
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\Task.java",1,1,1,1,12,0,5,6,,,,,1,0,0,29,,29,29,6,29,,1,2,7,19,,482,,,,39,,,,175,,,51,89,268,,,,,,,79,121,47,,,74,,,,,,,,6,6,6,1,,,3,,,,1.53,43,43,43,29
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\TaskAdapter.java",2,2,2,1,19,0,10,9,,,,,1,1,0,7,,7,6,1,7,,0,0,0,7,,181,,,,14,,,,78,,,23,48,89,,,,,,,31,47,19,,,28,,,,,,,,9,9,9,1,,,3,,,,1.14,19,19,19,7
File,"D:\Christiano\Documentos\dissertação\metrics_extraction_utilities\softwares\ant\src\main\org\apache\tools\ant\TaskConfigurationChecker.java",1,1,1,1,11,0,6,4,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,113,,,,9,,,,35,,,13,17,70,,,,,,,21,28,14,,,14,,,,,,,,3,3,3,1,,,2,,,,2.00,7,7,7,4
