Java.java; org.apache.tools.ant.taskdefs; CommandlineJava.java; org.apache.tools.ant.types; 1->2;18;  2->1;56
Javac.java; org.apache.tools.ant.taskdefs; Path.java; org.apache.tools.ant.types; 1->2;0;  2->1;137
Project.java; org.apache.tools.ant; XMLCatalog.java; org.apache.tools.ant.types; 1->2;342;  2->1;13
Project.java; org.apache.tools.ant; RecorderEntry.java; org.apache.tools.ant.taskdefs; 1->2;85;  2->1;83
Project.java; org.apache.tools.ant; ProjectComponent.java; org.apache.tools.ant; 1->2;46;  2->1;159
CommandlineJava.java; org.apache.tools.ant.types; Commandline.java; org.apache.tools.ant.types; 1->2;35;  2->1;147
JDependTask.java; org.apache.tools.ant.taskdefs.optional.jdepend; CommandlineJava.java; org.apache.tools.ant.types; 1->2;18;  2->1;33
Project.java; org.apache.tools.ant; BorlandDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb; 1->2;89;  2->1;1
Project.java; org.apache.tools.ant; Target.java; org.apache.tools.ant; 1->2;37;  2->1;72
ProjectComponent.java; org.apache.tools.ant; Javadoc.java;org.apache.tools.ant.taskdefs; 1->2;56;  2->1;0
Target.java; org.apache.tools.ant;Task.java; org.apache.tools.ant; 1->2;28;  2->1;53
