validateElementAndAttributes; XMLValidator.java; org.apache.xerces.validators.common;821
traverseElementDecl; TraverseSchema.java; org.apache.xerces.validators.schema;737
traverseSimpleTypeDecl; TraverseSchema.java; org.apache.xerces.validators.schema;457
traverseAttributeDecl; TraverseSchema.java; org.apache.xerces.validators.schema;441
scanContent; UTF8Reader.java; org.apache.xerces.readers;439
matchCharacterIterator; RegularExpression.java; org.apache.xerces.utils.regex;421
matchString; RegularExpression.java; org.apache.xerces.utils.regex;420
matchCharArray; RegularExpression.java; org.apache.xerces.utils.regex;416
buildDFA; DFAContentModel.java; org.apache.xerces.validators.common;397
attlistDecl; DOMParser.java; org.apache.xerces.parsers;363
traverseSimpleContentDecl; TraverseSchema.java; org.apache.xerces.validators.schema;337
AbstractNumericFacetValidator; AbstractNumericFacetValidator.java; org.apache.xerces.validators.datatype;322
parseExpression; XPath.java; org.apache.xerces.validators.schema.identity;316
elementDecl; DOMParser.java; org.apache.xerces.parsers;278
scanEntityDecl; XMLDTDScanner.java; org.apache.xerces.framework;268
doTraverseSchema; TraverseSchema.java; org.apache.xerces.validators.schema;262
scanAttlistDecl; XMLDTDScanner.java; org.apache.xerces.framework;248
checkContent; XMLValidator.java; org.apache.xerces.validators.common;245
dispatchEvent; NodeImpl.java; org.apache.xerces.dom;239
importNode; DocumentImpl.java; org.apache.xerces.dom;238
processComplexContent; TraverseSchema.java; org.apache.xerces.validators.schema;235
internalInsertBefore; ParentNode.java; org.apache.xerces.dom;235
whatCanGoHere; SimpleContentModel.java; org.apache.xerces.validators.common;233
AbstractStringValidator; AbstractStringValidator.java; org.apache.xerces.validators.datatype;231
scanContent; AbstractCharReader.java; org.apache.xerces.readers;230
internalInsertBefore; AttrImpl.java; org.apache.xerces.dom;224
checkParticleDerivationOK; TraverseSchema.java; org.apache.xerces.validators.schema;218
traverseComplexTypeDecl; TraverseSchema.java; org.apache.xerces.validators.schema;217
validateDTDattribute; XMLValidator.java; org.apache.xerces.validators.common;216
scanMatchingName; UTF8Reader.java; org.apache.xerces.readers;209
scanContent; StreamingCharReader.java; org.apache.xerces.readers;209
recognizeMarkup; UTF8Reader.java; org.apache.xerces.readers;209
validateContent; SimpleContentModel.java; org.apache.xerces.validators.common;208
getRange; Token.java; org.apache.xerces.utils.regex;207
scanXMLDeclOrTextDecl; XMLDocumentScanner.java; org.apache.xerces.framework;206
