Server.java: org.hsqldb DatabaseManager.java: org.hsqldb.util 1->2: 23  2->1: 56
Row.java: org.hsqldb TextCache.java: org.hsqldb.persist 1->2: 68  2->1: 13
Table.java: org.hsqldb DatabaseInformationMain.java: org.hsqldb 1->2: 876  2->1: 37
DatabaseCommandInterpreter.java: org.hsqldb Tokenizer.java: org.hsqldb 1->2: 0  2->1: 348
Database.java: org.hsqldb Server.java: org.hsqldb 1->2: 158  2->1: 31
Table.java: org.hsqldb DatabaseScript.java: org.hsqldb 1->2: 153  2->1: 1
Database.java: org.hsqldb UserManager.java: org.hsqldb 1->2: 11  2->1: 50
Expression.java: org.hsqldb Index.java: org.hsqldb 1->2: 114  2->1: 115
Index.java: org.hsqldb Constraint.java: org.hsqldb 1->2: 127  2->1: 44
DatabaseInformationFull.java: org.hsqldb HsqlArrayList.java: org.hsqldb.lib 1->2: 0  2->1: 812
SchemaManager.java: org.hsqldb HsqlArrayList.java: org.hsqldb.lib 1->2: 0  2->1: 225
Trace.java: org.hsqldb Logger.java: org.hsqldb.persist 1->2: 41  2->1: 0
Result.java: org.hsqldb ZaurusDatabaseManager.java: org.hsqldb.util 1->2: 307  2->1: 38
Column.java: org.hsqldb DatabaseScript.java: org.hsqldb 1->2: 84  2->1: 0
Index.java: org.hsqldb Iterator.java: org.hsqldb.lib 1->2: 3  2->1: 36
Table.java: org.hsqldb Session.java: org.hsqldb 1->2: 73  2->1: 257
Node.java: org.hsqldb Table.java: org.hsqldb 1->2: 126  2->1: 20
TransactionManager.java: org.hsqldb Session.java: org.hsqldb 1->2: 35  2->1: 63
Table.java: org.hsqldb Trace.java: org.hsqldb 1->2: 11  2->1: 670
FileUtil.java: org.hsqldb.lib LockFile.java: org.hsqldb.persist 1->2: 80  2->1: 7
DatabaseManager.java: org.hsqldb.util Tree.java: org.hsqldb.util 1->2: 0  2->1: 137
Collection.java: org.hsqldb.lib HashMap.java: org.hsqldb.lib 1->2: 43  2->1: 2
HashSet.java: org.hsqldb.lib Collection.java: org.hsqldb.lib 1->2: 11  2->1: 26
View.java: org.hsqldb jdbcDatabaseMetaData.java: org.hsqldb.jdbc 1->2: 26  2->1: 12
DIProcedureInfo.java: org.hsqldb DINameSpace.java: org.hsqldb 1->2: 10  2->1: 31
HashMap.java: org.hsqldb.lib SqltoolRB.java: org.hsqldb.util 1->2: 37  2->1: 0
jdbcCallableStatement.java: org.hsqldb.jdbc Util.java: org.hsqldb.jdbc 1->2: 0  2->1: 95
Constraint.java: org.hsqldb DatabaseScript.java: org.hsqldb 1->2: 144  2->1: 0
Index.java: org.hsqldb Column.java: org.hsqldb 1->2: 52  2->1: 75
DatabaseInformationFull.java: org.hsqldb HashMap.java: org.hsqldb.lib 1->2: 0  2->1: 298
Table.java: org.hsqldb Row.java: org.hsqldb 1->2: 22  2->1: 520
DatabaseInformationMain.java: org.hsqldb HsqlException.java: org.hsqldb 1->2: 0  2->1: 216
HsqlException.java: org.hsqldb BaseMemoryNode.java: org.hsqldb 1->2: 40  2->1: 0
Expression.java: org.hsqldb DatabaseInformationFull.java: org.hsqldb 1->2: 406  2->1: 0
HsqlTimer.java: org.hsqldb.lib LockFile.java: org.hsqldb.persist 1->2: 36  2->1: 3
NumberSequence.java: org.hsqldb DatabaseScript.java: org.hsqldb 1->2: 36  2->1: 0
HsqlTimer.java: org.hsqldb.lib ScriptWriterBase.java: org.hsqldb.scriptio 1->2: 10  2->1: 177
TestSelf.java: org.hsqldb.test TestSubselect.java: org.hsqldb.test 1->2: 39  2->1: 0
Expression.java: org.hsqldb CompiledStatement.java: org.hsqldb 1->2: 547  2->1: 10
DataAccessPointException.java: org.hsqldb.util TransferSQLText.java: org.hsqldb.util 1->2: 99  2->1: 0
Transfer.java: org.hsqldb.util DatabaseManager.java: org.hsqldb.util 1->2: 34  2->1: 31
Expression.java: org.hsqldb Column.java: org.hsqldb 1->2: 385  2->1: 377
Grantee.java: org.hsqldb Set.java: org.hsqldb.lib 1->2: 0  2->1: 79
DINameSpace.java: org.hsqldb Set.java: org.hsqldb.lib 1->2: 0  2->1: 63
jdbcDataSource.java: org.hsqldb.jdbc TestSelf.java: org.hsqldb.test 1->2: 35  2->1: 0
HsqlException.java: org.hsqldb GranteeManager.java: org.hsqldb 1->2: 51  2->1: 6
GranteeManager.java: org.hsqldb UserManager.java: org.hsqldb 1->2: 68  2->1: 51
DatabaseInformationFull.java: org.hsqldb UserManager.java: org.hsqldb 1->2: 0  2->1: 229
Server.java: org.hsqldb TestJDBCSavepoints.java: org.hsqldb.test 1->2: 29  2->1: 7
Session.java: org.hsqldb SchemaManager.java: org.hsqldb 1->2: 114  2->1: 13
Grantee.java: org.hsqldb HashSet.java: org.hsqldb.lib 1->2: 0  2->1: 127
Expression.java: org.hsqldb NumberSequence.java: org.hsqldb 1->2: 9  2->1: 114
TextCache.java: org.hsqldb.persist HsqlDatabaseProperties.java: org.hsqldb.persist 1->2: 79  2->1: 28
StringConverter.java: org.hsqldb.lib HsqlByteArrayOutputStream.java: org.hsqldb.lib 1->2: 43  2->1: 118
Table.java: org.hsqldb TestDatabaseMetaData.java: org.hsqldb.test 1->2: 45  2->1: 15
DatabaseManagerSwing.java: org.hsqldb.util ConnectionDialogSwing.java: org.hsqldb.util 1->2: 35  2->1: 47
SessionInterface.java: org.hsqldb HsqlException.java: org.hsqldb 1->2: 0  2->1: 48
Trace.java: org.hsqldb TestViewAsterisks.java: org.hsqldb.test 1->2: 226  2->1: 30
HsqlException.java: org.hsqldb Function.java: org.hsqldb 1->2: 76  2->1: 0
IntValueHashMap.java: org.hsqldb.lib Collection.java: org.hsqldb.lib 1->2: 2  2->1: 32
Storage.java: org.hsqldb.lib DataFileCache.java: org.hsqldb.persist 1->2: 104  2->1: 3
CompiledStatement.java: org.hsqldb CompiledStatementManager.java: org.hsqldb 1->2: 262  2->1: 3
TestUtil.java: org.hsqldb.test TestSelf.java: org.hsqldb.test 1->2: 103  2->1: 45
ArrayUtil.java: org.hsqldb.lib StringConverter.java: org.hsqldb.lib 1->2: 2  2->1: 58
Types.java: org.hsqldb Result.java: org.hsqldb 1->2: 18  2->1: 28
HsqlLinkedList.java: org.hsqldb.lib HsqlArrayList.java: org.hsqldb.lib 1->2: 21  2->1: 50
Session.java: org.hsqldb CompiledStatementManager.java: org.hsqldb 1->2: 22  2->1: 39
DatabaseInformationMain.java: org.hsqldb DatabaseInformation.java: org.hsqldb 1->2: 48  2->1: 25
Trace.java: org.hsqldb UserManager.java: org.hsqldb 1->2: 66  2->1: 26
Binary.java: org.hsqldb.types SqlFile.java: org.hsqldb.util 1->2: 150  2->1: 0
HsqlException.java: org.hsqldb RowInputBase.java: org.hsqldb.rowio 1->2: 56  2->1: 0
