DefaultPathPolicy.java; org.apache.lucene.facet.index.categorypolicy
SuggestWordFrequencyComparator.java; org.apache.lucene.search.spell
SinusoidalProjector.java; org.apache.lucene.spatial.tier.projections
InstantiatedAllTermDocs.java; org.apache.lucene.store.instantiated
ResultSortUtils.java; org.apache.lucene.facet.util
NumericFieldConfigListener.java; org.apache.lucene.queryParser.standard.config
SerialMergeScheduler.java; org.apache.lucene.index
BaseCharFilter.java; org.apache.lucene.analysis
IndexFormatTooOldException.java; org.apache.lucene.index
ResetSystemSoftTask.java; org.apache.lucene.benchmark.byTask.tasks
