JDBCEntityMetaData.java; org.jboss.ejb.plugins.cmp.jdbc.metadata; 1618;
JDBCCMRFieldBridge2.java; org.jboss.ejb.plugins.cmp.jdbc2.bridge; 1786;
JBossCacheManager.java; org.jboss.web.tomcat.service.session; 1820;
JDBCEJBQLCompiler.java; org.jboss.ejb.plugins.cmp.jdbc; 1946;
Container.java; org.jboss.ejb; 1603;
MBeanServerImpl.java; org.jboss.mx.server; 1729;
EntityTable.java; org.jboss.ejb.plugins.cmp.jdbc2.schema; 1891;
PersistenceManager.java; org.jboss.mq.pm.jdbc2; 1965;
EJBQLToSQL92Compiler.java; org.jboss.ejb.plugins.cmp.jdbc; 1629;
JDBCCMRFieldBridge.java; org.jboss.ejb.plugins.cmp.jdbc.bridge; 2392;
TransactionImpl.java; org.jboss.tm; 2286;
