URLTest.java: org.apache.manifoldcf.crawler.connectors.rss.tests WebURL.java: org.apache.manifoldcf.crawler.connectors.webcrawler 1->2: 0  2->1: 95
IOutputConnectorManager.java: org.apache.manifoldcf.agents.interfaces ManifoldCF.java: org.apache.manifoldcf.agents.system 1->2: 18  2->1: 0
TransactionHandle.java: org.apache.manifoldcf.core.database Database.java: org.apache.manifoldcf.core.database 1->2: 15  2->1: 1
NullConnector.java: org.apache.manifoldcf.agents.output.nullconnector APISanityPostgresqlIT.java: org.apache.manifoldcf.filesystem_tests 1->2: 38  2->1: 0
OpenSearchServerSpecs.java: org.apache.manifoldcf.agents.output.opensearchserver JSONObject.java: org.json 1->2: 0  2->1: 53
Database.java: org.apache.manifoldcf.core.database BaseHSQLDBext.java: org.apache.manifoldcf.core.tests 1->2: 12  2->1: 3
Database.java: org.apache.manifoldcf.core.database Logging.java: org.apache.manifoldcf.core.system 1->2: 0  2->1: 16
RSSConnector.java: org.apache.manifoldcf.crawler.connectors.rss BigCrawlHSQLDBTest.java: org.apache.manifoldcf.rss_loadtests 1->2: 20  2->1: 0
GTSConnector.java: org.apache.manifoldcf.agents.output.gts SpecificationNode.java: org.apache.manifoldcf.core.interfaces 1->2: 0  2->1: 39
ManifoldCF.java: org.apache.manifoldcf.core.system Base.java: org.apache.manifoldcf.filesystem_tests 1->2: 16  2->1: 3
IThreadContext.java: org.apache.manifoldcf.core.interfaces BigCrawlHSQLDBTest.java: org.apache.manifoldcf.rss_loadtests 1->2: 24  2->1: 0
CmisAuthorityConnector.java: org.apache.manifoldcf.crawler.connectors.cmis IPostParameters.java: org.apache.manifoldcf.core.interfaces 1->2: 0  2->1: 12
IThrottledConnection.java: org.apache.manifoldcf.crawler.connectors.rss DataCache.java: org.apache.manifoldcf.crawler.connectors.webcrawler 1->2: 12  2->1: 1
MatchMap.java: org.apache.manifoldcf.crawler.connectors.sharedrive MeridioConnector.java: org.apache.manifoldcf.crawler.connectors.meridio 1->2: 115  2->1: 0
BasePostgresql.java: org.apache.manifoldcf.filesystem_loadtests HopcountPostgresqlIT.java: org.apache.manifoldcf.filesystem_tests 1->2: 10  2->1: 0
RSSConnector.java: org.apache.manifoldcf.crawler.connectors.rss Logging.java: org.apache.manifoldcf.core.system 1->2: 0  2->1: 111
DBInterfacePostgreSQL.java: org.apache.manifoldcf.core.database IndexDescription.java: org.apache.manifoldcf.core.interfaces 1->2: 1  2->1: 24
JDBCConnector.java: org.apache.manifoldcf.crawler.connectors.jdbc ServiceInterruption.java: org.apache.manifoldcf.agents.interfaces 1->2: 0  2->1: 15
