InstanceChangeEvent.java; org.argouml.model;
ModelMemento.java; org.argouml.model;
DiagramHelper.java; org.argouml.application.helpers;
ResourceBundleHelper.java; org.argouml.application.helpers;
ModuleHelper.java; org.argouml.application.helpers;
AbstractCognitiveTranslator.java; org.argouml.cognitive;
Wizard.java; org.argouml.cognitive.ui;
Profile.java; org.argouml.uml;
ProfileJava.java; org.argouml.uml;
CrClassMustBeAbstract.java; org.argouml.uml.cognitive.critics;
FigGraphEdge.java; org.argouml.uml.diagram.ui;
Generator2.java; org.argouml.uml.generator;
AbstractSection.java; org.argouml.uml.generator;
StateBodyNotation.java; org.argouml.uml.notation;
NodeInstanceNotation.java; org.argouml.uml.notation;
CallStateNotation.java; org.argouml.uml.notation;
MessageNotation.java; org.argouml.uml.notation;
ClassifierRoleNotation.java; org.argouml.uml.notation;
ActionStateNotation.java; org.argouml.uml.notation;
AssociationRoleNotation.java; org.argouml.uml.notation;
ObjectNotation.java; org.argouml.uml.notation;
TransitionNotation.java; org.argouml.uml.notation;
ObjectFlowStateTypeNotation.java; org.argouml.uml.notation;
ComponentInstanceNotation.java; org.argouml.uml.notation;
ExtensionPointNotation.java; org.argouml.uml.notation;
ObjectFlowStateStateNotation.java; org.argouml.uml.notation;
FileImportSupport.java; org.argouml.uml.reveng;
UMLList2.java; org.argouml.uml.ui;
UMLEditableComboBox.java; org.argouml.uml.ui;
