JDBCCMRFieldBridge.java; org.jboss.ejb.plugins.cmp.jdbc.bridge; 2392;
JDBCCMRFieldBridge2.java; org.jboss.ejb.plugins.cmp.jdbc2.bridge; 1786;
NamingContext.java; org.jnp.interfaces; 1676;
TransactionImpl.java; org.jboss.tm; 2286;
JMSContainerInvoker.java; org.jboss.ejb.plugins.jms; 1704;
PersistenceManager.java; org.jboss.mq.pm.jdbc2; 1998;
MBeanServerImpl.java; org.jboss.mx.server; 1729;
EntityTable.java; org.jboss.ejb.plugins.cmp.jdbc2.schema; 1892;
JBossCacheManager.java; org.jboss.web.tomcat.service.session; 1856;
EJBQLToSQL92Compiler.java; org.jboss.ejb.plugins.cmp.jdbc; 1638;
JDBCEntityMetaData.java; org.jboss.ejb.plugins.cmp.jdbc.metadata; 1618;
JDBCEJBQLCompiler.java; org.jboss.ejb.plugins.cmp.jdbc; 1950;
