GUIUtilities.java: org.gjt.sp.jedit jEdit.java: org.gjt.sp.jedit 1->2: 265  2->1: 426
jEdit.java: org.gjt.sp.jedit VFSFile.java: org.gjt.sp.jedit.io 1->2: 75  2->1: 46
SimpleNode.java: org.gjt.sp.jedit.bsh Token.java: org.gjt.sp.jedit.syntax 1->2: 4  2->1: 17
Roster.java: org.gjt.sp.jedit.pluginmgr PluginManagerProgress.java: org.gjt.sp.jedit.pluginmgr 1->2: 13  2->1: 10
StyleEditor.java: org.gjt.sp.jedit.gui SyntaxHiliteOptionPane.java: org.gjt.sp.jedit.options 1->2: 20  2->1: 0
VariableGridLayout.java: org.gjt.sp.jedit.gui SearchDialog.java: org.gjt.sp.jedit.search 1->2: 16  2->1: 0
jEdit.java: org.gjt.sp.jedit EditingOptionPane.java: org.gjt.sp.jedit.options 1->2: 319  2->1: 0
BSHSwitchStatement.java: org.gjt.sp.jedit.bsh Interpreter.java: org.gjt.sp.jedit.bsh 1->2: 52  2->1: 33
Buffer.java: org.gjt.sp.jedit IntegerArray.java: org.gjt.sp.util 1->2: 0  2->1: 236
CallStack.java: org.gjt.sp.jedit.bsh JThis.java: org.gjt.sp.jedit.bsh 1->2: 27  2->1: 2
JEditBuffer.java: org.gjt.sp.jedit.buffer BracketIndentRule.java: org.gjt.sp.jedit.indent 1->2: 11  2->1: 8
CompletionPopup.java: org.gjt.sp.jedit.gui ActionBar.java: org.gjt.sp.jedit.gui 1->2: 29  2->1: 3
XThis.java: org.gjt.sp.jedit.bsh Interpreter.java: org.gjt.sp.jedit.bsh 1->2: 7  2->1: 49
Reflect.java: org.gjt.sp.jedit.bsh EvalError.java: org.gjt.sp.jedit.bsh 1->2: 0  2->1: 30
BSHBinaryExpression.java: org.gjt.sp.jedit.bsh Parser.java: org.gjt.sp.jedit.bsh 1->2: 44  2->1: 8
DockablePanel.java: org.gjt.sp.jedit.gui DockableWindowManagerImpl.java: org.gjt.sp.jedit.gui 1->2: 15  2->1: 13
jEdit.java: org.gjt.sp.jedit DockingFrameworkProvider.java: org.gjt.sp.jedit.gui 1->2: 6  2->1: 18
FilteredTableModel.java: org.gjt.sp.jedit.gui InstallPanel.java: org.gjt.sp.jedit.pluginmgr 1->2: 51  2->1: 2
GUIUtilities.java: org.gjt.sp.jedit TextArea.java: org.gjt.sp.jedit.textarea 1->2: 51  2->1: 78
SimpleNode.java: org.gjt.sp.jedit.bsh BSHTernaryExpression.java: org.gjt.sp.jedit.bsh 1->2: 23  2->1: 3
Capabilities.java: org.gjt.sp.jedit.bsh BshClassManager.java: org.gjt.sp.jedit.bsh 1->2: 8  2->1: 11
InterpreterError.java: org.gjt.sp.jedit.bsh ClassGeneratorUtil.java: org.gjt.sp.jedit.bsh 1->2: 30  2->1: 0
FileCellRenderer.java: org.gjt.sp.jedit.browser VFSDirectoryEntryTableModel.java: org.gjt.sp.jedit.browser 1->2: 0  2->1: 23
JEditActionContext.java: org.gjt.sp.jedit VFSBrowser.java: org.gjt.sp.jedit.browser 1->2: 5  2->1: 11
jEdit.java: org.gjt.sp.jedit AddAbbrevDialog.java: org.gjt.sp.jedit.gui 1->2: 22  2->1: 0
Reflect.java: org.gjt.sp.jedit.bsh Primitive.java: org.gjt.sp.jedit.bsh 1->2: 2  2->1: 113
JEditBeanShellAction.java: org.gjt.sp.jedit StandaloneTextArea.java: org.gjt.sp.jedit.textarea 1->2: 25  2->1: 0
BSHMethodDeclaration.java: org.gjt.sp.jedit.bsh BshMethod.java: org.gjt.sp.jedit.bsh 1->2: 9  2->1: 15
Reflect.java: org.gjt.sp.jedit.bsh CallStack.java: org.gjt.sp.jedit.bsh 1->2: 1  2->1: 152
PluginJAR.java: org.gjt.sp.jedit DockableWindowFactory.java: org.gjt.sp.jedit.gui 1->2: 38  2->1: 13
EditPane.java: org.gjt.sp.jedit EditPaneUpdate.java: org.gjt.sp.jedit.msg 1->2: 21  2->1: 24
MiscUtilities.java: org.gjt.sp.jedit JEditHistoryModelSaver.java: org.gjt.sp.jedit.gui 1->2: 26  2->1: 13
