normalizeNode; DOMNormalizer.java; org.apache.xerces.dom; Node.java;52; 
validate; XSAttributeChecker.java; org.apache.xerces.impl.xs.traversers; XMLContentSpec.java;36; 
getContentSpecAsString; DTDGrammar.java; org.apache.xerces.impl.dtd; AbstractDateTimeDV.java;34; 
endGeneralEntity; AbstractDOMParser.java; org.apache.xerces.parsers; Node.java;29; 
serializeElement; XMLSerializer.java; org.apache.xml.serialize; Node.java;27; 
compile; RegularExpression.java; org.apache.xerces.impl.xpath.regex; Op.java;26; 
appendContentSpec; DTDGrammar.java; org.apache.xerces.impl.dtd; AbstractDateTimeDV.java;24; 
setParameter; DOMConfigurationImpl.java; org.apache.xerces.dom; XMLContentSpec.java;23; 
serializeElement; HTMLSerializer.java; org.apache.xml.serialize; XMLSerializer.java;23; 
getRange; Token.java; org.apache.xerces.impl.xpath.regex; XSAttributeChecker.java;22; 
matchCharacterIterator; RegularExpression.java; org.apache.xerces.impl.xpath.regex; HTMLOptionElementImpl.java;21; 
getParameter; DOMConfigurationImpl.java; org.apache.xerces.dom; XMLContentSpec.java;21; 
createBuiltInTypes; SchemaDVFactoryImpl.java; org.apache.xerces.impl.dv.xs; XSSimpleTypeDecl.java;21; 
dumpTree; XSDFACM.java; org.apache.xerces.impl.xs.models; DeferredDocumentImpl.java;21; 
