Main.java: org.apache.ivy DefaultModuleDescriptor.java: org.apache.ivy.core.module.descriptor 1->2: 2  2->1: 26
ChainResolver.java: org.apache.ivy.plugins.resolver HasLatestStrategy.java: org.apache.ivy.plugins.resolver.util 1->2: 3  2->1: 21
DependencyArtifactDescriptor.java: org.apache.ivy.core.module.descriptor PomModuleDescriptorParserTest.java: org.apache.ivy.plugins.parser.m2 1->2: 33  2->1: 0
ArtifactOrigin.java: org.apache.ivy.core.cache DefaultRepositoryCacheManagerTest.java: org.apache.ivy.core.cache 1->2: 47  2->1: 0
IvyReport.java: org.apache.ivy.ant ModuleId.java: org.apache.ivy.core.module.id 1->2: 2  2->1: 13
IvyBuildNumber.java: org.apache.ivy.ant SearchEngine.java: org.apache.ivy.core.search 1->2: 35  2->1: 12
IvySettings.java: org.apache.ivy.core.settings ArtifactLockStrategyTest.java: org.apache.ivy.plugins.lock 1->2: 42  2->1: 0
Configuration.java: org.apache.ivy.core.module.descriptor ResolveEngine.java: org.apache.ivy.core.resolve 1->2: 45  2->1: 0
LogTrigger.java: org.apache.ivy.plugins.trigger Message.java: org.apache.ivy.util 1->2: 16  2->1: 10
IvyPublish.java: org.apache.ivy.ant ModuleRevisionId.java: org.apache.ivy.core.module.id 1->2: 15  2->1: 36
ModuleRevisionId.java: org.apache.ivy.core.module.id XmlReportParserTest.java: org.apache.ivy.plugins.report 1->2: 25  2->1: 0
IvySettings.java: org.apache.ivy.core.settings ChainVersionMatcher.java: org.apache.ivy.plugins.version 1->2: 14  2->1: 105
ResolveEngine.java: org.apache.ivy.core.resolve ResolveEngineSettings.java: org.apache.ivy.core.resolve 1->2: 2  2->1: 27
PublishEngine.java: org.apache.ivy.core.publish PublishEventsTest.java: org.apache.ivy.core.publish 1->2: 300  2->1: 0
IvyContext.java: org.apache.ivy.core IvySettings.java: org.apache.ivy.core.settings 1->2: 350  2->1: 9
IvyRepResolver.java: org.apache.ivy.plugins.resolver IBiblioResolver.java: org.apache.ivy.plugins.resolver 1->2: 36  2->1: 23
URLLister.java: org.apache.ivy.plugins.resolver.util ResolverHelper.java: org.apache.ivy.plugins.resolver.util 1->2: 16  2->1: 2
IvyArtifactProperty.java: org.apache.ivy.ant XmlReportParser.java: org.apache.ivy.plugins.report 1->2: 40  2->1: 8
DefaultDependencyArtifactDescriptor.java: org.apache.ivy.core.module.descriptor PomModuleDescriptorBuilder.java: org.apache.ivy.plugins.parser.m2 1->2: 25  2->1: 0
IvyPostResolveTask.java: org.apache.ivy.ant ResolveOptions.java: org.apache.ivy.core.resolve 1->2: 22  2->1: 56
PomModuleDescriptorParser.java: org.apache.ivy.plugins.parser.m2 XmlModuleDescriptorWriter.java: org.apache.ivy.plugins.parser.xml 1->2: 8  2->1: 6
IvyListModules.java: org.apache.ivy.ant IvyPatternHelper.java: org.apache.ivy.core 1->2: 8  2->1: 48
DependencyDescriptor.java: org.apache.ivy.core.module.descriptor XmlModuleDescriptorWriter.java: org.apache.ivy.plugins.parser.xml 1->2: 28  2->1: 0
DefaultArtifact.java: org.apache.ivy.core.module.descriptor AbstractArtifact.java: org.apache.ivy.core.module.descriptor 1->2: 27  2->1: 5
ArtifactId.java: org.apache.ivy.core.module.id MatcherHelper.java: org.apache.ivy.plugins.matcher 1->2: 20  2->1: 0
AbstractLockStrategy.java: org.apache.ivy.plugins.lock XmlSettingsParserTest.java: org.apache.ivy.core.settings 1->2: 35  2->1: 0
RepositoryCacheManager.java: org.apache.ivy.core.cache AbstractResolver.java: org.apache.ivy.plugins.resolver 1->2: 47  2->1: 15
ModuleId.java: org.apache.ivy.core.module.id MatcherHelper.java: org.apache.ivy.plugins.matcher 1->2: 24  2->1: 4
DependencyDescriptor.java: org.apache.ivy.core.module.descriptor BasicResolver.java: org.apache.ivy.plugins.resolver 1->2: 29  2->1: 31
Configuration.java: org.apache.ivy.core.module.descriptor IvyNode.java: org.apache.ivy.core.resolve 1->2: 175  2->1: 16
IvyNode.java: org.apache.ivy.core.resolve MatcherHelper.java: org.apache.ivy.plugins.matcher 1->2: 2  2->1: 14
