expandRegistryToFullSchemaSet; DatatypeValidatorFactoryImpl.java; org.apache.xerces.validators.datatype; Hash2intTable.java;40; 
elementDecl; DOMParser.java; org.apache.xerces.parsers; AbstractCharReader.java;38; 
compile; RegularExpression.java; org.apache.xerces.utils.regex; Op.java;35; 
attlistDecl; DOMParser.java; org.apache.xerces.parsers; AbstractCharReader.java;34; 
traverseElementDecl; TraverseSchema.java; org.apache.xerces.validators.schema; XMLContentSpec.java;33; 
scanDecls; XMLDTDScanner.java; org.apache.xerces.framework; AbstractCharReader.java;32; 
traverseAttributeDecl; TraverseSchema.java; org.apache.xerces.validators.schema; XMLContentSpec.java;32; 
unparsedEntityDecl; DOMParser.java; org.apache.xerces.parsers; AbstractCharReader.java;31; 
dumpTree; DFAContentModel.java; org.apache.xerces.validators.common; DeferredDocumentImpl.java;29; 
scanEntityDecl; XMLDTDScanner.java; org.apache.xerces.framework; DefaultEntityHandler.java;28; 
