JDTCompilerAdapter.java; org.eclipse.jdt.core
JavaCore.java; org.eclipse.jdt.core
CompletionParser.java; org.eclipse.jdt.internal.codeassist.complete
CompletionScanner.java; org.eclipse.jdt.internal.codeassist.complete
AssistParser.java; org.eclipse.jdt.internal.codeassist.impl
ClassFile.java; org.eclipse.jdt.internal.compiler
OperatorExpression.java; org.eclipse.jdt.internal.compiler.ast
Label.java; org.eclipse.jdt.internal.compiler.codegen
CompilerOptions.java; org.eclipse.jdt.internal.compiler.impl
JavaModelStatus.java; org.eclipse.jdt.internal.core
PotentialMatch.java; org.eclipse.jdt.internal.core.search.matching
MatchingOpenable.java; org.eclipse.jdt.internal.core.search.matching
PublicScanner.java; org.eclipse.jdt.internal.core.util
VariablesEvaluator.java; org.eclipse.jdt.internal.eval
CodeFormatter.java; org.eclipse.jdt.internal.formatter
SplitLine.java; org.eclipse.jdt.internal.formatter.impl
