GenericClusteringException.java; org.jboss.ha.framework.interfaces
ClusteredHTTPSessionBeanCmp11.java; org.jboss.ha.httpsession.beanimpl.ejb
CorrectiveActionContextConstants.java; org.jbossmx.cluster.watchdog.mbean.watchdog
TreeNodeFactory.java; org.jboss.console.plugins.helpers
AttrResultInfo.java; org.jboss.console.plugins.helpers.jmx
RemoteMBeanInvocation.java; org.jboss.console.remote
PrimitiveAnalysis.java; org.jboss.iiop.rmi
Status.java; javax.transaction
XAException.java; javax.transaction.xa
XAResource.java; javax.transaction.xa
HttpServletResponse.java; javax.servlet.http
HttpServletRequest.java; javax.servlet.http
PageContext.java; javax.servlet.jsp
Tag.java; javax.servlet.jsp.tagext
Version.java; org.mortbay.http
OutputObserver.java; org.mortbay.util
Query.java; javax.management
RoleStatus.java; javax.management.relation
TimeStatistic.java; javax.management.j2ee.statistics
StateManageable.java; org.jboss.management.j2ee
TransactionRequest.java; org.jboss.mq
AcknowledgementRequest.java; org.jboss.mq
parserval.java; org.jboss.mq.selectors
PoolParameters.java; org.jboss.pool
JMSCacheInvalidationBridgeMBean.java; org.jboss.cache.invalidation.bridges
EJBQLTypes.java; org.jboss.ejb.plugins.cmp.ejbql
MetaData.java; org.jboss.metadata
SubDeployer.java; org.jboss.deployment
ServiceMBean.java; org.jboss.system
OpResultInfo.java; org.jboss.jmx.adaptor.control
