XMLInputSource.java: org.apache.xerces.xni.parser InputSource.java: org.xml.sax 1->2: 66  2->1: 55
XMLSchemaValidator.java: org.apache.xerces.impl.xs XMLComponent.java: org.apache.xerces.xni.parser 1->2: 9  2->1: 42
XSDAbstractParticleTraverser.java: org.apache.xerces.impl.xs.traversers XSAttributeChecker.java: org.apache.xerces.impl.xs.traversers 1->2: 0  2->1: 23
NamespaceSupport.java: org.xml.sax.helpers ParserAdapter.java: org.xml.sax.helpers 1->2: 17  2->1: 7
InvalidDatatypeValueException.java: org.apache.xerces.impl.dv XSSimpleTypeDecl.java: org.apache.xerces.impl.dv.xs 1->2: 56  2->1: 0
NonValidatingConfiguration.java: org.apache.xerces.parsers XMLDocumentScanner.java: org.apache.xerces.xni.parser 1->2: 5  2->1: 9
ParentNode.java: org.apache.xerces.dom NodeList.java: org.w3c.dom 1->2: 4  2->1: 39
Attr.java: org.w3c.dom Element.java: org.w3c.dom 1->2: 26  2->1: 12
SchemaGrammar.java: org.apache.xerces.impl.xs SimpleLocator.java: org.apache.xerces.impl.xs.util 1->2: 0  2->1: 44
Selector.java: org.apache.xerces.impl.xs.identity Field.java: org.apache.xerces.impl.xs.identity 1->2: 7  2->1: 27
XSNamedMapImpl.java: org.apache.xerces.impl.xs.util SymbolHash.java: org.apache.xerces.util 1->2: 0  2->1: 36
XSDSimpleTypeTraverser.java: org.apache.xerces.impl.xs.traversers DOMUtil.java: org.apache.xerces.util 1->2: 0  2->1: 62
XSAttributeGroupDecl.java: org.apache.xerces.impl.xs XSDAbstractTraverser.java: org.apache.xerces.impl.xs.traversers 1->2: 22  2->1: 3
XSDHandler.java: org.apache.xerces.impl.xs.traversers SimpleLocator.java: org.apache.xerces.impl.xs.util 1->2: 0  2->1: 30
XSSimpleTypeDecl.java: org.apache.xerces.impl.dv.xs XSTypeDefinition.java: org.apache.xerces.impl.xs.psvi 1->2: 6  2->1: 11
HTMLFormElementImpl.java: org.apache.html.dom ElementImpl.java: org.apache.xerces.dom 1->2: 21  2->1: 21
DurationDV.java: org.apache.xerces.impl.dv.xs SchemaDateTimeException.java: org.apache.xerces.impl.dv.xs 1->2: 0  2->1: 21
XSAttributeUseImpl.java: org.apache.xerces.impl.xs XSDAttributeTraverser.java: org.apache.xerces.impl.xs.traversers 1->2: 16  2->1: 0
DOMNormalizer.java: org.apache.xerces.dom XMLAttributes.java: org.apache.xerces.xni 1->2: 3  2->1: 83
DocumentImpl.java: org.apache.xerces.dom EventTarget.java: org.w3c.dom.events 1->2: 8  2->1: 26
SchemaGrammar.java: org.apache.xerces.impl.xs XSWildcardDecl.java: org.apache.xerces.impl.xs 1->2: 0  2->1: 50
NonValidatingConfiguration.java: org.apache.xerces.parsers XNIException.java: org.apache.xerces.xni 1->2: 0  2->1: 64
XMLDTDScannerImpl.java: org.apache.xerces.impl XMLDTDLoader.java: org.apache.xerces.impl.dtd 1->2: 26  2->1: 12
XMLDTDScannerImpl.java: org.apache.xerces.impl XMLInputSource.java: org.apache.xerces.xni.parser 1->2: 4  2->1: 13
DeferredDocumentImpl.java: org.apache.xerces.dom DeferredNotationImpl.java: org.apache.xerces.dom 1->2: 33  2->1: 8
XMLSerializer.java: org.apache.xml.serialize BaseMarkupSerializer.java: org.apache.xml.serialize 1->2: 225  2->1: 338
SAXParser.java: org.apache.xerces.parsers CachingParserPool.java: org.apache.xerces.parsers 1->2: 23  2->1: 0
Constants.java: org.apache.xerces.impl AbstractDOMParser.java: org.apache.xerces.parsers 1->2: 69  2->1: 5
DOMNormalizer.java: org.apache.xerces.dom XNIException.java: org.apache.xerces.xni 1->2: 0  2->1: 144
Locator.java: org.xml.sax ParserAdapter.java: org.xml.sax.helpers 1->2: 2  2->1: 21
NotationImpl.java: org.apache.xerces.dom AbstractDOMParser.java: org.apache.xerces.parsers 1->2: 40  2->1: 0
XSSimpleType.java: org.apache.xerces.impl.dv BaseDVFactory.java: org.apache.xerces.impl.dv.xs 1->2: 51  2->1: 0
HTMLAnchorElementImpl.java: org.apache.html.dom ElementImpl.java: org.apache.xerces.dom 1->2: 13  2->1: 33
DocumentFragmentImpl.java: org.apache.xerces.dom CoreDocumentImpl.java: org.apache.xerces.dom 1->2: 27  2->1: 8
XMLConfigurationException.java: org.apache.xerces.xni.parser XMLParserConfiguration.java: org.apache.xerces.xni.parser 1->2: 24  2->1: 1
HTMLObjectElementImpl.java: org.apache.html.dom HTMLObjectElement.java: org.w3c.dom.html 1->2: 38  2->1: 40
XSComplexTypeDecl.java: org.apache.xerces.impl.xs XSDAbstractTraverser.java: org.apache.xerces.impl.xs.traversers 1->2: 21  2->1: 3
CoreDOMImplementationImpl.java: org.apache.xerces.dom DTDConfiguration.java: org.apache.xerces.parsers 1->2: 3  2->1: 11
HTMLStyleElementImpl.java: org.apache.html.dom ElementImpl.java: org.apache.xerces.dom 1->2: 0  2->1: 14
AttributesImpl.java: org.xml.sax.helpers ParserAdapter.java: org.xml.sax.helpers 1->2: 69  2->1: 4
ASModelImpl.java: org.apache.xerces.dom ASObject.java: org.apache.xerces.dom3.as 1->2: 12  2->1: 35
SecuritySupport12.java: javax.xml.parsers SecuritySupport.java: org.xml.sax.helpers 1->2: 7  2->1: 7
