Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractArtifact.java",1,1,1,1,5,0,5,0,,,,,1,0,0,9,,9,9,0,9,,0,0,0,9,,83,12,49,14,25,22,,,,19,31,14,17,,,,,,3,3,8,1,,,1,,,,0.45,12,12,17,9
File,"AbstractCircularDependencyStrategy.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,0,0,1,2,,34,4,13,6,3,17,,,,5,9,6,3,,,,,,1,1,1,1,,,0,,,,1.31,3,3,3,3
File,"AbstractConflictManager.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,2,6,,0,0,0,6,,54,10,27,15,5,17,,,,12,19,14,5,,,,,,1,1,1,1,,,0,,,,0.63,6,6,6,6
File,"AbstractDependencyResolverTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,30,5,8,5,1,17,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,2.13,1,1,1,1
File,"AbstractIncludeExcludeRule.java",1,1,1,1,4,0,4,0,,,,,1,0,0,9,,9,9,3,9,,0,1,0,8,,94,15,53,23,21,26,,,,30,41,22,19,,,,,,2,2,2,1,,,1,,,,0.49,10,10,10,9
File,"AbstractLatestStrategy.java",1,1,1,1,5,0,4,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,52,7,26,12,9,19,,,,14,20,13,7,,,,,,3,3,4,3,,,2,,,,0.73,6,6,7,6
File,"AbstractLockStrategy.java",1,1,1,1,2,0,2,0,,,,,1,0,0,6,,6,6,2,6,,0,0,2,4,,44,5,22,10,6,17,,,,8,15,10,5,,,,,,1,1,1,1,,,0,,,,0.77,6,6,6,6
File,"AbstractLogCircularDependencyStrategy.java",1,1,1,1,6,0,6,0,,,,,1,0,0,3,,4,4,1,4,,0,0,3,1,,56,9,30,17,11,18,,,,17,23,16,7,,,,,,2,2,2,1,,,1,,,,0.60,5,5,5,3
File,"AbstractMessageLogger.java",1,1,1,1,3,0,3,0,,,,,1,0,0,17,,19,19,4,19,,0,0,2,17,,171,27,73,27,30,71,,,,33,53,27,26,,,,,,2,2,2,1,,,1,,,,0.97,19,19,19,17
File,"AbstractModuleDescriptorParser.java",2,2,2,1,8,0,7,0,,,,,2,0,1,31,,31,31,7,31,,0,5,17,9,,366,57,273,102,139,40,,,,141,207,102,105,,,,,,16,16,16,7,,,7,,,,0.15,68,68,70,37
