validateConfiguration: SimpleAuthority.java: examples.simple_authentication.src.org.apache.cassandra.auth Diff:28
getTimestampedSnapshotName: Table.java: src.java.org.apache.cassandra.db Diff:6
serializedSize: KeyCacheKey.java: src.java.org.apache.cassandra.cache Diff:1
getColumnFamily: SimpleSliceReader.java: src.java.org.apache.cassandra.db.columniterator Diff:6
setMaxHintsInProgress: StorageProxy.java: src.java.org.apache.cassandra.service Diff:300
estimatedKeys: SSTableReader.java: src.java.org.apache.cassandra.io.sstable Diff:73
storeTableInstance: Schema.java: src.java.org.apache.cassandra.config Diff:1
serializeColumn: SSTableExport.java: src.java.org.apache.cassandra.tools Diff:22
toString: DeleteStatement.java: src.java.org.apache.cassandra.cql3.statements Diff:44
getNextComparator: AbstractCompositeType.java: src.java.org.apache.cassandra.db.marshal Diff:9
multiget_count: CassandraServer.java: src.java.org.apache.cassandra.thrift Diff:63
confirmReplication: StorageService.java: src.java.org.apache.cassandra.service Diff:456
size: ArrayBackedSortedColumns.java: src.java.org.apache.cassandra.db Diff:20
announceMigration: DropIndexStatement.java: src.java.org.apache.cassandra.cql3.statements Diff:8
isEmpty: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:209
reset: DynamicEndpointSnitch.java: src.java.org.apache.cassandra.locator Diff:3
getFlushQueueSize: DatabaseDescriptor.java: src.java.org.apache.cassandra.config Diff:74
columnAliasesFromStrings: CFMetaData.java: src.java.org.apache.cassandra.config Diff:144
maybeGenerateRetryCommand: SliceFromReadCommand.java: src.java.org.apache.cassandra.db Diff:4
getLocalToken: StorageService.java: src.java.org.apache.cassandra.service Diff:308
isLatencyForSnitch: TruncateResponseHandler.java: src.java.org.apache.cassandra.service Diff:1
getTotalWriteLatencyMicros: StorageProxy.java: src.java.org.apache.cassandra.service Diff:283
ksFromAvro: Avro.java: src.java.org.apache.cassandra.config Diff:16
getIndexOperator: CliUtils.java: src.java.org.apache.cassandra.cli Diff:8
getBloomFilterFalsePositives: DataTracker.java: src.java.org.apache.cassandra.db Diff:21
getMutationMap: WordCountSetup.java: examples.hadoop_word_count.src Diff:19
validate: BatchStatement.java: src.java.org.apache.cassandra.cql3.statements Diff:14
getActiveCompactions: CompactionManager.java: src.java.org.apache.cassandra.db.compaction Diff:144
executeAddKeySpace: CliClient.java: src.java.org.apache.cassandra.cli Diff:3
removeToken: SystemTable.java: src.java.org.apache.cassandra.db Diff:57
headerSize: SSTableIdentityIterator.java: src.java.org.apache.cassandra.io.sstable Diff:12
processStatementInteractive: CliMain.java: src.java.org.apache.cassandra.cli Diff:24
getStreamDestinations: StreamingService.java: src.java.org.apache.cassandra.streaming Diff:10
put: Memtable.java: src.java.org.apache.cassandra.db Diff:2
getThroughCache: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:117
afterExecute: DebuggableScheduledThreadPoolExecutor.java: src.java.org.apache.cassandra.concurrent Diff:1
doVerb: SnapshotVerbHandler.java: src.java.org.apache.cassandra.service Diff:13
hashCode: CompressionParameters.java: src.java.org.apache.cassandra.io.compress Diff:31
updateCfDefAttributes: CliClient.java: src.java.org.apache.cassandra.cli Diff:23
getPath: SSTableIdentityIterator.java: src.java.org.apache.cassandra.io.sstable Diff:4
componentsFor: SSTable.java: src.java.org.apache.cassandra.io.sstable Diff:19
createEndpointSnitch: DatabaseDescriptor.java: src.java.org.apache.cassandra.config Diff:52
bootstrap: BootStrapper.java: src.java.org.apache.cassandra.dht Diff:9
processWithSyncBatch: BatchCommitLogExecutorService.java: src.java.org.apache.cassandra.db.commitlog Diff:9
size: CounterColumn.java: src.java.org.apache.cassandra.db Diff:2
localCopy: DeletedColumn.java: src.java.org.apache.cassandra.db Diff:5
double_: ColumnDefinition.java: src.java.org.apache.cassandra.config Diff:5
compact: Util.java: test.unit.org.apache.cassandra Diff:43
getTotalCommitlogSpaceInMB: DatabaseDescriptor.java: src.java.org.apache.cassandra.config Diff:74
loadHelp: CliClient.java: src.java.org.apache.cassandra.cli Diff:1
getSliceRange: Reader.java: tools.stress.src.org.apache.cassandra.stress.operations Diff:20
performSSTableRewrite: CompactionManager.java: src.java.org.apache.cassandra.db.compaction Diff:21
stringifyFileSize: FileUtils.java: src.java.org.apache.cassandra.io.util Diff:3
reverseIterator: ThreadSafeSortedColumns.java: src.java.org.apache.cassandra.db Diff:12
validateOptions: KeysIndex.java: src.java.org.apache.cassandra.db.index.keys Diff:27
getMemtable: DataTracker.java: src.java.org.apache.cassandra.db Diff:1
