MatchingTask.java: org.apache.tools.ant.taskdefs XSLTProcess.java: org.apache.tools.ant.taskdefs 1->2: 31  2->1: 172
FTP.java: org.apache.tools.ant.taskdefs.optional.net Service.java: org.apache.tools.ant.types.spi 1->2: 0  2->1: 24
DescriptorHandler.java: org.apache.tools.ant.taskdefs.optional.ejb BorlandDeploymentTool.java: org.apache.tools.ant.taskdefs.optional.ejb 1->2: 11  2->1: 10
Extension.java: org.apache.tools.ant.taskdefs.optional.extension DeweyDecimal.java: org.apache.tools.ant.util 1->2: 2  2->1: 99
BuildException.java: org.apache.tools.ant Truncate.java: org.apache.tools.ant.taskdefs 1->2: 48  2->1: 0
Task.java: org.apache.tools.ant AbstractCvsTask.java: org.apache.tools.ant.taskdefs 1->2: 64  2->1: 2
BuildException.java: org.apache.tools.ant PlainMailer.java: org.apache.tools.ant.taskdefs.email 1->2: 37  2->1: 0
Resource.java: org.apache.tools.ant.types Date.java: org.apache.tools.ant.types.resources.selectors 1->2: 65  2->1: 0
Rmic.java: org.apache.tools.ant.taskdefs FacadeTaskHelper.java: org.apache.tools.ant.util.facade 1->2: 4  2->1: 14
Ant.java: org.apache.tools.ant.taskdefs ScriptSelector.java: org.apache.tools.ant.types.optional 1->2: 14  2->1: 20
Patch.java: org.apache.tools.ant.taskdefs Ant.java: org.apache.tools.ant.taskdefs 1->2: 9  2->1: 16
CopyPath.java: org.apache.tools.ant.taskdefs Path.java: org.apache.tools.ant.types 1->2: 58  2->1: 44
EjbJar.java: org.apache.tools.ant.taskdefs.optional.ejb EJBDeploymentTool.java: org.apache.tools.ant.taskdefs.optional.ejb 1->2: 2  2->1: 26
MSVSSCHECKIN.java: org.apache.tools.ant.taskdefs.optional.vss Commandline.java: org.apache.tools.ant.types 1->2: 0  2->1: 28
Project.java: org.apache.tools.ant Translate.java: org.apache.tools.ant.taskdefs.optional.i18n 1->2: 75  2->1: 20
ProjectHelper2.java: org.apache.tools.ant.helper FileUtils.java: org.apache.tools.ant.util 1->2: 2  2->1: 26
Java.java: org.apache.tools.ant.taskdefs Get.java: org.apache.tools.ant.taskdefs 1->2: 63  2->1: 36
Get.java: org.apache.tools.ant.taskdefs ZipEntry.java: org.apache.tools.zip 1->2: 12  2->1: 5
Jar.java: org.apache.tools.ant.taskdefs FileUtils.java: org.apache.tools.ant.util 1->2: 5  2->1: 70
XmlLogger.java: org.apache.tools.ant Project.java: org.apache.tools.ant 1->2: 8  2->1: 130
jlink.java: org.apache.tools.ant.taskdefs.optional.jlink ZipOutputStream.java: org.apache.tools.zip 1->2: 10  2->1: 51
Project.java: org.apache.tools.ant StringResource.java: org.apache.tools.ant.types.resources 1->2: 28  2->1: 25
Checksum.java: org.apache.tools.ant.taskdefs Files.java: org.apache.tools.ant.types.resources 1->2: 19  2->1: 18
Copy.java: org.apache.tools.ant.taskdefs Mapper.java: org.apache.tools.ant.types 1->2: 48  2->1: 53
BuildException.java: org.apache.tools.ant Zip.java: org.apache.tools.ant.taskdefs 1->2: 262  2->1: 0
Path.java: org.apache.tools.ant.types ClasspathUtils.java: org.apache.tools.ant.util 1->2: 113  2->1: 0
Resource.java: org.apache.tools.ant.types URLResource.java: org.apache.tools.ant.types.resources 1->2: 273  2->1: 38
Reference.java: org.apache.tools.ant.types ResourceDecorator.java: org.apache.tools.ant.types.resources 1->2: 26  2->1: 11
Project.java: org.apache.tools.ant Script.java: org.apache.tools.ant.taskdefs.optional 1->2: 5  2->1: 20
BuildException.java: org.apache.tools.ant BaseSelector.java: org.apache.tools.ant.types.selectors 1->2: 24  2->1: 0
Get.java: org.apache.tools.ant.taskdefs BaseResourceCollectionWrapper.java: org.apache.tools.ant.types.resources 1->2: 7  2->1: 15
Get.java: org.apache.tools.ant.taskdefs Path.java: org.apache.tools.ant.types 1->2: 102  2->1: 32
MatchingTask.java: org.apache.tools.ant.taskdefs Not.java: org.apache.tools.ant.types.resources.selectors 1->2: 2  2->1: 92
Name.java: org.apache.tools.ant.types.resources.selectors SelectorUtils.java: org.apache.tools.ant.types.selectors 1->2: 30  2->1: 12
JJDoc.java: org.apache.tools.ant.taskdefs.optional.javacc Commandline.java: org.apache.tools.ant.types 1->2: 2  2->1: 23
ANTLR.java: org.apache.tools.ant.taskdefs.optional Commandline.java: org.apache.tools.ant.types 1->2: 8  2->1: 53
Mapper.java: org.apache.tools.ant.types PropertySet.java: org.apache.tools.ant.types 1->2: 72  2->1: 20
BuildException.java: org.apache.tools.ant Commandline.java: org.apache.tools.ant.types 1->2: 42  2->1: 4
ArchiveResource.java: org.apache.tools.ant.types.resources ZipResource.java: org.apache.tools.ant.types.resources 1->2: 17  2->1: 6
Ant.java: org.apache.tools.ant.taskdefs Compare.java: org.apache.tools.ant.types.resources.selectors 1->2: 3  2->1: 27
Specification.java: org.apache.tools.ant.taskdefs.optional.extension LibraryDisplayer.java: org.apache.tools.ant.taskdefs.optional.extension 1->2: 40  2->1: 1
Project.java: org.apache.tools.ant ScriptDef.java: org.apache.tools.ant.taskdefs.optional.script 1->2: 49  2->1: 58
BuildException.java: org.apache.tools.ant CCMCheck.java: org.apache.tools.ant.taskdefs.optional.ccm 1->2: 50  2->1: 0
BaseResourceCollectionContainer.java: org.apache.tools.ant.types.resources Resources.java: org.apache.tools.ant.types.resources 1->2: 32  2->1: 38
Ant.java: org.apache.tools.ant.taskdefs Permissions.java: org.apache.tools.ant.types 1->2: 8  2->1: 11
Jar.java: org.apache.tools.ant.taskdefs Manifest.java: org.apache.tools.ant.taskdefs 1->2: 6  2->1: 510
Native2Ascii.java: org.apache.tools.ant.taskdefs.optional KaffeNative2Ascii.java: org.apache.tools.ant.taskdefs.optional.native2ascii 1->2: 16  2->1: 1
Path.java: org.apache.tools.ant.types JavaEnvUtils.java: org.apache.tools.ant.util 1->2: 111  2->1: 3
ClasspathUtils.java: org.apache.tools.ant.util ScriptRunnerHelper.java: org.apache.tools.ant.util 1->2: 4  2->1: 18
Execute.java: org.apache.tools.ant.taskdefs Sync.java: org.apache.tools.ant.taskdefs 1->2: 8  2->1: 38
ProjectHelper.java: org.apache.tools.ant Get.java: org.apache.tools.ant.taskdefs 1->2: 3  2->1: 23
ExecuteWatchdog.java: org.apache.tools.ant.taskdefs Java.java: org.apache.tools.ant.taskdefs 1->2: 10  2->1: 23
Ant.java: org.apache.tools.ant.taskdefs Tokens.java: org.apache.tools.ant.types.resources 1->2: 3  2->1: 27
Task.java: org.apache.tools.ant SOS.java: org.apache.tools.ant.taskdefs.optional.sos 1->2: 14  2->1: 12
AntClassLoader.java: org.apache.tools.ant ClasspathUtils.java: org.apache.tools.ant.util 1->2: 13  2->1: 4
Manifest.java: org.apache.tools.ant.taskdefs Header.java: org.apache.tools.ant.taskdefs.email 1->2: 0  2->1: 41
Target.java: org.apache.tools.ant IgnoreDependenciesExecutor.java: org.apache.tools.ant.helper 1->2: 20  2->1: 0
MatchingTask.java: org.apache.tools.ant.taskdefs JlinkTask.java: org.apache.tools.ant.taskdefs.optional.jlink 1->2: 24  2->1: 0
