outputSpecificationBody; SharedDriveConnector.java; connectors.jcifs.connector.src.main.java.org.apache.manifoldcf.crawler.connectors.sharedrive; MatchMap.java;108; 
outputSpecificationBody; LivelinkConnector.java; connectors.livelink.connector.src.main.java.org.apache.manifoldcf.crawler.connectors.livelink; MatchMap.java;65; 
processSpecificationPost; SharedDriveConnector.java; connectors.jcifs.connector.src.main.java.org.apache.manifoldcf.crawler.connectors.sharedrive; ConfigParams.java;60; 
outputSpecificationBody; RSSConnector.java; connectors.rss.connector.src.main.java.org.apache.manifoldcf.crawler.connectors.rss; MatchMap.java;59; 
processSpecificationPost; RSSConnector.java; connectors.rss.connector.src.main.java.org.apache.manifoldcf.crawler.connectors.rss; ConfigParams.java;56; 
processConfigurationPost; SolrConnector.java; connectors.solr.connector.src.main.java.org.apache.manifoldcf.agents.output.solr; ConfigParams.java;51; 
processConfigurationPost; MeridioAuthority.java; connectors.meridio.connector.src.main.java.org.apache.manifoldcf.crawler.connectors.meridio; ConfigParams.java;49; 
processConfigurationPost; WebcrawlerConnector.java; connectors.webcrawler.connector.src.main.java.org.apache.manifoldcf.crawler.connectors.webcrawler; ConfigurationNode.java;46; 
processSpecificationPost; WebcrawlerConnector.java; connectors.webcrawler.connector.src.main.java.org.apache.manifoldcf.crawler.connectors.webcrawler; ConfigParams.java;45; 
outputSpecificationBody; DCTM.java; connectors.documentum.connector.src.main.java.org.apache.manifoldcf.crawler.connectors.DCTM; MatchMap.java;42; 
