OutputFormat.java: org.apache.xml.serialize IndentPrinter.java: org.apache.xml.serialize 1->2: 16  2->1: 42
QName.java: org.apache.xerces.utils MixedContentModel.java: org.apache.xerces.validators.common 1->2: 68  2->1: 0
DOMParser.java: org.apache.xerces.parsers XMLElementDecl.java: org.apache.xerces.validators.common 1->2: 9  2->1: 62
UCSReader.java: org.apache.xerces.readers XMLCharacterProperties.java: org.apache.xerces.utils 1->2: 0  2->1: 37
SchemaGrammar.java: org.apache.xerces.validators.schema SubstitutionGroupComparator.java: org.apache.xerces.validators.schema 1->2: 11  2->1: 3
SAXParser.java: javax.xml.parsers XMLReader.java: org.xml.sax 1->2: 353  2->1: 104
XMLAttrList.java: org.apache.xerces.framework SAXParser.java: org.apache.xerces.parsers 1->2: 28  2->1: 1
DatatypeValidator.java: org.apache.xerces.validators.datatype UnionDatatypeValidator.java: org.apache.xerces.validators.datatype 1->2: 27  2->1: 3
REUtil.java: org.apache.xerces.utils.regex Token.java: org.apache.xerces.utils.regex 1->2: 25  2->1: 20
ElementState.java: org.apache.xml.serialize TextSerializer.java: org.apache.xml.serialize 1->2: 7  2->1: 7
AbstractCharReader.java: org.apache.xerces.readers XMLCharacterProperties.java: org.apache.xerces.utils 1->2: 0  2->1: 51
QName.java: org.apache.xerces.utils XMLValidator.java: org.apache.xerces.validators.common 1->2: 885  2->1: 2
XMLDocumentScanner.java: org.apache.xerces.framework StringPool.java: org.apache.xerces.utils 1->2: 3  2->1: 93
XMLDTDScanner.java: org.apache.xerces.framework XMLDocumentScanner.java: org.apache.xerces.framework 1->2: 725  2->1: 787
HTMLScriptElementImpl.java: org.apache.html.dom HTMLScriptElement.java: org.w3c.dom.html 1->2: 14  2->1: 16
SAXParser.java: org.apache.xerces.parsers XPathMatcher.java: org.apache.xerces.validators.schema.identity 1->2: 42  2->1: 89
XMLContentSpec.java: org.apache.xerces.framework StringPool.java: org.apache.xerces.utils 1->2: 13  2->1: 21
ListDatatypeValidator.java: org.apache.xerces.validators.datatype DatatypeValidator.java: org.apache.xerces.validators.datatype 1->2: 3  2->1: 36
UTF8CharReader.java: org.apache.xerces.readers CharDataChunk.java: org.apache.xerces.utils 1->2: 0  2->1: 23
AbstractDatatypeValidator.java: org.apache.xerces.validators.datatype DatatypeValidator.java: org.apache.xerces.validators.datatype 1->2: 5  2->1: 10
XMLAttributeDecl.java: org.apache.xerces.validators.common SchemaGrammar.java: org.apache.xerces.validators.schema 1->2: 12  2->1: 0
URI.java: org.apache.xerces.utils Attributes.java: org.xml.sax 1->2: 78  2->1: 0
ParentNode.java: org.apache.xerces.dom ChildNode.java: org.apache.xerces.dom 1->2: 19  2->1: 164
SAXException.java: org.xml.sax DefaultHandler.java: org.xml.sax.helpers 1->2: 128  2->1: 8
XCatalog.java: org.apache.xerces.readers DocumentHandler.java: org.xml.sax 1->2: 0  2->1: 12
XMLContentSpec.java: org.apache.xerces.framework SAXParser.java: org.apache.xerces.parsers 1->2: 79  2->1: 0
XMLEntityReader.java: org.apache.xerces.readers StringReader.java: org.apache.xerces.readers 1->2: 31  2->1: 3
DocumentImpl.java: org.apache.xerces.dom NotationImpl.java: org.apache.xerces.dom 1->2: 7  2->1: 40
XMLAttrList.java: org.apache.xerces.framework DOMParser.java: org.apache.xerces.parsers 1->2: 111  2->1: 2
DOMParser.java: org.apache.xerces.parsers Entity.java: org.w3c.dom 1->2: 0  2->1: 12
NotationImpl.java: org.apache.xerces.dom Notation.java: org.w3c.dom 1->2: 2  2->1: 14
DeferredDocumentImpl.java: org.apache.xerces.dom DeferredEntityImpl.java: org.apache.xerces.dom 1->2: 43  2->1: 10
AttrImpl.java: org.apache.xerces.dom Element.java: org.w3c.dom 1->2: 3  2->1: 11
