traverseElementDecl; TraverseSchema.java; org.apache.xerces.validators.schema;538
validateElementAndAttributes; XMLValidator.java; org.apache.xerces.validators.common;536
scanContent; UTF8Reader.java; org.apache.xerces.readers;439
matchCharacterIterator; RegularExpression.java; org.apache.xerces.utils.regex;419
matchString; RegularExpression.java; org.apache.xerces.utils.regex;419
matchCharArray; RegularExpression.java; org.apache.xerces.utils.regex;414
buildDFA; DFAContentModel.java; org.apache.xerces.validators.common;344
attlistDecl; DOMParser.java; org.apache.xerces.parsers;331
elementDecl; DOMParser.java; org.apache.xerces.parsers;278
scanEntityDecl; XMLDTDScanner.java; org.apache.xerces.framework;268
traverseContents; RangeImpl.java; org.apache.xerces.dom;257
traverseAttributeDecl; TraverseSchema.java; org.apache.xerces.validators.schema;254
scanAttlistDecl; XMLDTDScanner.java; org.apache.xerces.framework;249
dispatchEvent; NodeImpl.java; org.apache.xerces.dom;239
internalInsertBefore; ParentNode.java; org.apache.xerces.dom;233
internalInsertBefore; ChildAndParentNode.java; org.apache.xerces.dom;233
whatCanGoHere; SimpleContentModel.java; org.apache.xerces.validators.common;233
scanContent; AbstractCharReader.java; org.apache.xerces.readers;230
normalizeDuration; TimeDurationDatatypeValidator.java; org.apache.xerces.validators.datatype;213
importNode; DocumentImpl.java; org.apache.xerces.dom;212
scanContent; StreamingCharReader.java; org.apache.xerces.readers;209
recognizeMarkup; UTF8Reader.java; org.apache.xerces.readers;209
scanMatchingName; UTF8Reader.java; org.apache.xerces.readers;209
validateContent; SimpleContentModel.java; org.apache.xerces.validators.common;206
scanXMLDeclOrTextDecl; XMLDocumentScanner.java; org.apache.xerces.framework;206
RecurringDurationDatatypeValidator; RecurringDurationDatatypeValidator.java; org.apache.xerces.validators.datatype;197
scanDecls; XMLDTDScanner.java; org.apache.xerces.framework;190
scanContent; UCSReader.java; org.apache.xerces.readers;182
initialize; URI.java; org.apache.xerces.utils;182
lookingAtValidChar; UTF8Reader.java; org.apache.xerces.readers;181
deleteContents; RangeImpl.java; org.apache.xerces.dom;179
fillCurrentChunk; CharReader.java; org.apache.xerces.readers;176
validateDTDattribute; XMLValidator.java; org.apache.xerces.validators.common;173
bindNamespacesToElementAndAttributes; XMLValidator.java; org.apache.xerces.validators.common;172
traverseGroupDecl; TraverseSchema.java; org.apache.xerces.validators.schema;172
matches; RegularExpression.java; org.apache.xerces.utils.regex;171
initializeRegistry; DatatypeValidatorFactoryImpl.java; org.apache.xerces.validators.datatype;171
fillCurrentChunk; UTF8CharReader.java; org.apache.xerces.readers;171
toString; XMLContentSpec.java; org.apache.xerces.framework;171
checkContent; XMLValidator.java; org.apache.xerces.validators.common;171
matches; RegularExpression.java; org.apache.xerces.utils.regex;170
setFeature; XMLParser.java; org.apache.xerces.framework;170
matches; RegularExpression.java; org.apache.xerces.utils.regex;170
getNodeObject; DeferredDocumentImpl.java; org.apache.xerces.dom;168
getRange; Token.java; org.apache.xerces.utils.regex;168
startElement; HTMLSerializer.java; org.apache.xml.serialize;164
traverseSimpleTypeDecl; TraverseSchema.java; org.apache.xerces.validators.schema;163
QNameDatatypeValidator; QNameDatatypeValidator.java; org.apache.xerces.validators.datatype;158
validateContent; DFAContentModel.java; org.apache.xerces.validators.common;158
StringDatatypeValidator; StringDatatypeValidator.java; org.apache.xerces.validators.datatype;158
compile; RegularExpression.java; org.apache.xerces.utils.regex;157
createChildren; DOMParser.java; org.apache.xerces.parsers;154
callEndElement; XMLValidator.java; org.apache.xerces.validators.common;153
startElement; DOMParser.java; org.apache.xerces.parsers;151
getFeature; XMLParser.java; org.apache.xerces.framework;150
serializeElement; HTMLSerializer.java; org.apache.xml.serialize;148
DecimalDatatypeValidator; DecimalDatatypeValidator.java; org.apache.xerces.validators.datatype;148
parseCharacterClass_old; RegexParser.java; org.apache.xerces.utils.regex;147
scanDefaultAttValue; XMLDTDScanner.java; org.apache.xerces.framework;146
addDTDDefaultAttributes; XMLValidator.java; org.apache.xerces.validators.common;146
scanContent; StringReader.java; org.apache.xerces.readers;145
appendContentSpec; XMLContentSpec.java; org.apache.xerces.framework;144
scanExpectedName; UTF8Reader.java; org.apache.xerces.readers;144
internalRemoveChild; ParentNode.java; org.apache.xerces.dom;143
scanEntityValue; UTF8Reader.java; org.apache.xerces.readers;143
internalRemoveChild; ChildAndParentNode.java; org.apache.xerces.dom;143
serializeNode; BaseMarkupSerializer.java; org.apache.xml.serialize;143
toString; UTF8DataChunk.java; org.apache.xerces.utils;143
handlePartialMultiByteChar; UTF8CharReader.java; org.apache.xerces.readers;140
