KStemmer.java; org.apache.lucene.analysis.en
SynonymFilter.java; org.apache.lucene.analysis.synonym
WikipediaTokenizerImpl.java; org.apache.lucene.analysis.wikipedia
JapaneseTokenizer.java; org.apache.lucene.analysis.ja
HTMLParserTokenManager.java; org.apache.lucene.benchmark.byTask.feeds.demohtml
ReadTask.java; org.apache.lucene.benchmark.byTask.tasks
InstantiatedIndexWriter.java; org.apache.lucene.store.instantiated
UAX29URLEmailTokenizerImpl31.java; org.apache.lucene.analysis.standard.std31
StandardTokenizerImpl31.java; org.apache.lucene.analysis.standard.std31
UAX29URLEmailTokenizerImpl34.java; org.apache.lucene.analysis.standard.std34
ExactPhraseScorer.java; org.apache.lucene.search
FSTEnum.java; org.apache.lucene.util.fst
SlowSynonymFilter.java; org.apache.solr.analysis
WordDelimiterFilter.java; org.apache.solr.analysis
CSVResponseWriter.java; org.apache.solr.response
ConcurrentLRUCache.java; org.apache.solr.util
