StdXMLReader.java: net.n3.nanoxml SVGInputFormat.java: org.jhotdraw.samples.svg.io 1->2: 326  2->1: 539
CompositeColor.java: org.jhotdraw.color ColorSliderModel.java: org.jhotdraw.color 1->2: 8  2->1: 17
ExitAction.java: org.jhotdraw.app.action.app ResourceBundleUtil.java: org.jhotdraw.util 1->2: 0  2->1: 62
DefaultDrawing.java: org.jhotdraw.draw SVGApplet.java: org.jhotdraw.samples.svg 1->2: 87  2->1: 2
AttributeKey.java: org.jhotdraw.draw HandleAttributeKeys.java: org.jhotdraw.draw.handle 1->2: 1056  2->1: 0
Figure.java: org.jhotdraw.draw TextAreaEditingTool.java: org.jhotdraw.draw.tool 1->2: 63  2->1: 43
FontChooserHandler.java: org.jhotdraw.draw.action JFontChooser.java: org.jhotdraw.gui 1->2: 2  2->1: 15
Connector.java: org.jhotdraw.draw.connector ChopRectangleConnector.java: org.jhotdraw.draw.connector 1->2: 15  2->1: 2
Figure.java: org.jhotdraw.draw SelectionColorChooserHandler.java: org.jhotdraw.draw.action 1->2: 54  2->1: 0
GraphicalCompositeFigure.java: org.jhotdraw.draw Geom.java: org.jhotdraw.geom 1->2: 45  2->1: 54
TextHolderFigure.java: org.jhotdraw.draw TextCreationTool.java: org.jhotdraw.draw.tool 1->2: 22  2->1: 3
IXMLParser.java: net.n3.nanoxml StdXMLParser.java: net.n3.nanoxml 1->2: 17  2->1: 12
Figure.java: org.jhotdraw.draw VerticalLayouter.java: org.jhotdraw.draw.layouter 1->2: 68  2->1: 0
GridConstrainer.java: org.jhotdraw.draw EditCanvasPanel.java: org.jhotdraw.draw.action 1->2: 50  2->1: 1
ODGInputFormat.java: org.jhotdraw.samples.odg.io Gradient.java: org.jhotdraw.samples.svg 1->2: 0  2->1: 29
AttributeKey.java: org.jhotdraw.draw SVGOutputFormat.java: org.jhotdraw.samples.svg.io 1->2: 508  2->1: 0
OSXApplication.java: org.jhotdraw.app OSXPaletteHandler.java: org.jhotdraw.app.osx 1->2: 16  2->1: 84
HandleEvent.java: org.jhotdraw.draw.event AbstractHandle.java: org.jhotdraw.draw.handle 1->2: 16  2->1: 7
SVGAttributeKeys.java: org.jhotdraw.samples.svg SVGPathFigure.java: org.jhotdraw.samples.svg.figures 1->2: 11  2->1: 17
GraphicalCompositeFigure.java: org.jhotdraw.draw Handle.java: org.jhotdraw.draw.handle 1->2: 40  2->1: 42
GenericListener.java: org.jhotdraw.gui.event Methods.java: org.jhotdraw.util 1->2: 0  2->1: 46
LoadFileAction.java: org.jhotdraw.app.action.file SheetEvent.java: org.jhotdraw.gui.event 1->2: 1  2->1: 19
IXMLElement.java: net.n3.nanoxml ImageMapOutputFormat.java: org.jhotdraw.samples.svg.io 1->2: 103  2->1: 0
AbstractAttributedDecoratedFigure.java: org.jhotdraw.draw TextAreaFigure.java: org.jhotdraw.draw 1->2: 33  2->1: 17
Tool.java: org.jhotdraw.draw.tool BezierTool.java: org.jhotdraw.draw.tool 1->2: 17  2->1: 23
ToolListener.java: org.jhotdraw.draw.event AbstractTool.java: org.jhotdraw.draw.tool 1->2: 16  2->1: 9
MDIApplication.java: org.jhotdraw.app ReversedList.java: org.jhotdraw.util 1->2: 0  2->1: 77
DrawingAttributeEditorHandler.java: org.jhotdraw.draw.event AbstractAttributeEditorHandler.java: org.jhotdraw.draw.event 1->2: 10  2->1: 6
DefaultDrawingEditor.java: org.jhotdraw.draw SVGDrawingPanel.java: org.jhotdraw.samples.svg 1->2: 44  2->1: 12
TextInputFormat.java: org.jhotdraw.draw.io NetView.java: org.jhotdraw.samples.net 1->2: 15  2->1: 13
AbstractAttributedFigure.java: org.jhotdraw.draw RectangleFigure.java: org.jhotdraw.draw 1->2: 29  2->1: 15
ODGRectRadiusHandle.java: org.jhotdraw.samples.odg.figures ResourceBundleUtil.java: org.jhotdraw.util 1->2: 6  2->1: 12
ExtensionFileFilter.java: org.jhotdraw.gui.filechooser SVGInputFormat.java: org.jhotdraw.samples.svg.io 1->2: 3  2->1: 14
ResizeHandleKit.java: org.jhotdraw.draw.handle SVGTextAreaFigure.java: org.jhotdraw.samples.svg.figures 1->2: 3  2->1: 87
StreamPosTokenizer.java: org.jhotdraw.io SVGInputFormat.java: org.jhotdraw.samples.svg.io 1->2: 719  2->1: 791
DrawingView.java: org.jhotdraw.draw FloatingTextField.java: org.jhotdraw.draw.text 1->2: 17  2->1: 2
BezierNodeHandle.java: org.jhotdraw.draw.handle BezierPath.java: org.jhotdraw.geom 1->2: 0  2->1: 199
ButtonFactory.java: org.jhotdraw.draw.action ArrowTip.java: org.jhotdraw.draw.decoration 1->2: 0  2->1: 28
CurvedLiner.java: org.jhotdraw.draw.liner BezierPath.java: org.jhotdraw.geom 1->2: 9  2->1: 117
BezierPointLocator.java: org.jhotdraw.draw.locator DOMOutput.java: org.jhotdraw.xml 1->2: 2  2->1: 21
AbstractView.java: org.jhotdraw.app PreferencesUtil.java: org.jhotdraw.util.prefs 1->2: 12  2->1: 15
LabeledLineConnectionFigure.java: org.jhotdraw.draw ReversedList.java: org.jhotdraw.util 1->2: 0  2->1: 42
Figure.java: org.jhotdraw.draw DiamondFigure.java: org.jhotdraw.draw 1->2: 48  2->1: 41
DOMStorableInputOutputFormat.java: org.jhotdraw.draw.io NetView.java: org.jhotdraw.samples.net 1->2: 26  2->1: 24
SDIApplication.java: org.jhotdraw.app Application.java: org.jhotdraw.app 1->2: 31  2->1: 110
TriangleFigure.java: org.jhotdraw.draw Figure.java: org.jhotdraw.draw 1->2: 42  2->1: 72
BackdropBorder.java: org.jhotdraw.gui.plaf.palette PaletteLookAndFeel.java: org.jhotdraw.gui.plaf.palette 1->2: 9  2->1: 7
JPopupButton.java: org.jhotdraw.gui VerticalGridLayout.java: org.jhotdraw.gui 1->2: 28  2->1: 14
Drawing.java: org.jhotdraw.draw DefaultSelectAreaTracker.java: org.jhotdraw.draw.tool 1->2: 19  2->1: 69
HarmonicRule.java: org.jhotdraw.color DefaultHarmonicColorModel.java: org.jhotdraw.color 1->2: 12  2->1: 6
AttributeKey.java: org.jhotdraw.draw DrawingOpacityIcon.java: org.jhotdraw.samples.svg.gui 1->2: 75  2->1: 0
SVGInputFormat.java: org.jhotdraw.samples.svg.io CSSParser.java: org.jhotdraw.xml.css 1->2: 0  2->1: 34
AbstractView.java: org.jhotdraw.app DrawView.java: org.jhotdraw.samples.draw 1->2: 19  2->1: 8
JLifeFormattedTextField.java: org.jhotdraw.gui JLifeFormattedTextArea.java: org.jhotdraw.gui 1->2: 15  2->1: 13
Figure.java: org.jhotdraw.draw ODGInputFormat.java: org.jhotdraw.samples.odg.io 1->2: 315  2->1: 0
CreationTool.java: org.jhotdraw.draw.tool ToolsToolBar.java: org.jhotdraw.samples.svg.gui 1->2: 61  2->1: 0
RoundRectangleFigure.java: org.jhotdraw.draw Handle.java: org.jhotdraw.draw.handle 1->2: 4  2->1: 12
Figure.java: org.jhotdraw.draw RoundRectangleRadiusHandle.java: org.jhotdraw.draw.handle 1->2: 63  2->1: 45
