ClusterPartition.java; org.jboss.ha.framework.server;
ManagementViewImpl.java; org.jboss.profileservice.management;
MappedReferenceMetaDataResolverDeployer.java; org.jboss.deployment;
JDBCAbstractQueryCommand.java; org.jboss.ejb.plugins.cmp.jdbc;
EJBQLToSQL92Compiler.java; org.jboss.ejb.plugins.cmp.jdbc;
JDBCEJBQLCompiler.java; org.jboss.ejb.plugins.cmp.jdbc;
JDBCStartCommand.java; org.jboss.ejb.plugins.cmp.jdbc;
JDBCEntityBridge.java; org.jboss.ejb.plugins.cmp.jdbc.bridge;
JDBCCMRFieldBridge.java; org.jboss.ejb.plugins.cmp.jdbc.bridge;
JDBCEntityMetaData.java; org.jboss.ejb.plugins.cmp.jdbc.metadata;
JDBCCMRFieldBridge2.java; org.jboss.ejb.plugins.cmp.jdbc2.bridge;
EntityTable.java; org.jboss.ejb.plugins.cmp.jdbc2.schema;
JBossCacheManager.java; org.jboss.web.tomcat.service.session;
