GenericClusteringException.java; org.jboss.ha.framework.interfaces
ClusteredHTTPSessionBeanCmp11.java; org.jboss.ha.httpsession.beanimpl.ejb
TreeNodeFactory.java; org.jboss.console.plugins.helpers
AttrResultInfo.java; org.jboss.console.plugins.helpers.jmx
RemoteMBeanInvocation.java; org.jboss.console.remote
PrimitiveAnalysis.java; org.jboss.iiop.rmi
Status.java; javax.transaction
XAException.java; javax.transaction.xa
XAResource.java; javax.transaction.xa
Call.java; javax.xml.rpc
NamespaceConstants.java; javax.xml.rpc
Stub.java; javax.xml.rpc
XMLType.java; javax.xml.rpc.encoding
Constants.java; org.apache.axis
WSDDConstants.java; org.apache.axis.deployment.wsdd
MessagesConstants.java; org.apache.axis.i18n
SOAPMonitorConstants.java; org.apache.axis.monitor
HTTPConstants.java; org.apache.axis.transport.http
Parameters.java; org.apache.axis.wsdl.symbolTable
Query.java; javax.management
RoleStatus.java; javax.management.relation
TimeStatistic.java; javax.management.j2ee.statistics
StateManageable.java; org.jboss.management.j2ee
ServerILFactory.java; org.jboss.mq.il
parserval.java; org.jboss.mq.selectors
BasicQueueParameters.java; org.jboss.mq.server
Subsystem.java; org.jboss.remoting
InternalInvocation.java; org.jboss.remoting.invocation
JMSCacheInvalidationBridgeMBean.java; org.jboss.cache.invalidation.bridges
ASTPath.java; org.jboss.ejb.plugins.cmp.ejbql
EJBQLTypes.java; org.jboss.ejb.plugins.cmp.ejbql
JDBCResultSetReader.java; org.jboss.ejb.plugins.cmp.jdbc
Invocation.java; org.jboss.invocation
SubDeployer.java; org.jboss.deployment
ListenerServiceMBean.java; org.jboss.system
ServiceMBean.java; org.jboss.system
OpResultInfo.java; org.jboss.jmx.adaptor.control
NotificationWrapper.java; org.jboss.jmx.adaptor.snmp.agent
Alarm.java; org.jboss.monitor.alarm
