HRegionInfo.java: org.apache.hadoop.hbase MetaRegion.java: org.apache.hadoop.hbase.master 1->2: 23  2->1: 36
BaseScanner.java: org.apache.hadoop.hbase.master HStore.java: org.apache.hadoop.hbase.util.migration.v5 1->2: 0  2->1: 65
ImmutableBytesWritable.java: org.apache.hadoop.hbase.io HLogEdit.java: org.apache.hadoop.hbase.util.migration.v5 1->2: 38  2->1: 8
HRegionInfo.java: org.apache.hadoop.hbase MetaUtils.java: org.apache.hadoop.hbase.util 1->2: 277  2->1: 0
ProcessServerShutdown.java: org.apache.hadoop.hbase.master HLog.java: org.apache.hadoop.hbase.regionserver 1->2: 13  2->1: 13
HLog.java: org.apache.hadoop.hbase.regionserver TransactionalHLogManager.java: org.apache.hadoop.hbase.regionserver.transactional 1->2: 41  2->1: 0
HStore.java: org.apache.hadoop.hbase.regionserver FSUtils.java: org.apache.hadoop.hbase.util 1->2: 34  2->1: 17
ImmutableBytesWritable.java: org.apache.hadoop.hbase.io StoreFileScanner.java: org.apache.hadoop.hbase.util.migration.v5 1->2: 90  2->1: 0
ThriftServer.java: org.apache.hadoop.hbase.thrift TRegionInfo.java: org.apache.hadoop.hbase.thrift.generated 1->2: 0  2->1: 32
HbaseObjectWritable.java: org.apache.hadoop.hbase.io BatchUpdate.java: org.apache.hadoop.hbase.io 1->2: 27  2->1: 90
HTableDescriptor.java: org.apache.hadoop.hbase TestScannerAPI.java: org.apache.hadoop.hbase 1->2: 41  2->1: 0
TransactionalHLogManager.java: org.apache.hadoop.hbase.regionserver.transactional HLog.java: org.apache.hadoop.hbase.util.migration.v5 1->2: 0  2->1: 32
HLogEdit.java: org.apache.hadoop.hbase.regionserver HLogEdit.java: org.apache.hadoop.hbase.util.migration.v5 1->2: 35  2->1: 40
HRegion.java: org.apache.hadoop.hbase.regionserver TestRegionRebalancing.java: org.apache.hadoop.hbase 1->2: 57  2->1: 0
HBaseTestCase.java: org.apache.hadoop.hbase TestDeleteFamily.java: org.apache.hadoop.hbase.regionserver 1->2: 24  2->1: 4
HStore.java: org.apache.hadoop.hbase.regionserver Memcache.java: org.apache.hadoop.hbase.util.migration.v5 1->2: 322  2->1: 284
HTable.java: org.apache.hadoop.hbase.client TestRowFilterOnMultipleFamilies.java: org.apache.hadoop.hbase.filter 1->2: 132  2->1: 0
HRegionServer.java: org.apache.hadoop.hbase.regionserver Key.java: org.onelab.filter 1->2: 4  2->1: 104
HBaseTestCase.java: org.apache.hadoop.hbase TestHRegion.java: org.apache.hadoop.hbase.regionserver 1->2: 10  2->1: 25
BatchUpdate.java: org.apache.hadoop.hbase.io TestDeleteFamily.java: org.apache.hadoop.hbase.regionserver 1->2: 84  2->1: 0
BatchUpdate.java: org.apache.hadoop.hbase.io TestRowFilterOnMultipleFamilies.java: org.apache.hadoop.hbase.filter 1->2: 39  2->1: 0
HTable.java: org.apache.hadoop.hbase.client Key.java: org.onelab.filter 1->2: 24  2->1: 79
HRegionInterface.java: org.apache.hadoop.hbase.ipc RegionManager.java: org.apache.hadoop.hbase.master 1->2: 106  2->1: 3
Memcache.java: org.apache.hadoop.hbase.regionserver HLogEdit.java: org.apache.hadoop.hbase.util.migration.v5 1->2: 26  2->1: 59
HStore.java: org.apache.hadoop.hbase.util.migration.v5 HLogEdit.java: org.apache.hadoop.hbase.util.migration.v5 1->2: 11  2->1: 121
HTableDescriptor.java: org.apache.hadoop.hbase ImmutableBytesWritable.java: org.apache.hadoop.hbase.io 1->2: 15  2->1: 347
HRegion.java: org.apache.hadoop.hbase.util.migration.v5 HLog.java: org.apache.hadoop.hbase.util.migration.v5 1->2: 221  2->1: 111
HRegionServer.java: org.apache.hadoop.hbase.regionserver HStore.java: org.apache.hadoop.hbase.util.migration.v5 1->2: 304  2->1: 264
RowResult.java: org.apache.hadoop.hbase.io HRegionInterface.java: org.apache.hadoop.hbase.ipc 1->2: 35  2->1: 17
TransactionalRegion.java: org.apache.hadoop.hbase.regionserver.transactional HRegionInfo.java: org.apache.hadoop.hbase.util.migration.v5 1->2: 57  2->1: 33
TransactionalRegionServer.java: org.apache.hadoop.hbase.regionserver.transactional StressTestTransactions.java: org.apache.hadoop.hbase.client.transactional 1->2: 110  2->1: 0
HMerge.java: org.apache.hadoop.hbase BatchUpdate.java: org.apache.hadoop.hbase.io 1->2: 0  2->1: 138
HServerInfo.java: org.apache.hadoop.hbase HMaster.java: org.apache.hadoop.hbase.master 1->2: 41  2->1: 0
HRegionInfo.java: org.apache.hadoop.hbase HRegionServer.java: org.apache.hadoop.hbase.regionserver 1->2: 209  2->1: 24
HLogKey.java: org.apache.hadoop.hbase.regionserver HLog.java: org.apache.hadoop.hbase.regionserver 1->2: 77  2->1: 7
Key.java: org.onelab.filter StringKey.java: org.onelab.test 1->2: 35  2->1: 0
BatchUpdate.java: org.apache.hadoop.hbase.io TestGlobalMemcacheLimit.java: org.apache.hadoop.hbase 1->2: 36  2->1: 0
HColumnDescriptor.java: org.apache.hadoop.hbase ImmutableBytesWritable.java: org.apache.hadoop.hbase.io 1->2: 15  2->1: 215
HRegionInfo.java: org.apache.hadoop.hbase Merge.java: org.apache.hadoop.hbase.util 1->2: 211  2->1: 0
HRegionServer.java: org.apache.hadoop.hbase.regionserver Memcache.java: org.apache.hadoop.hbase.util.migration.v5 1->2: 121  2->1: 206
AlreadyExists.java: org.apache.hadoop.hbase.thrift.generated Hbase.java: org.apache.hadoop.hbase.thrift.generated 1->2: 2155  2->1: 0
HRegion.java: org.apache.hadoop.hbase.util.migration.v5 TestMergeTool.java: org.apache.hadoop.hbase.util 1->2: 184  2->1: 0
ProcessServerShutdown.java: org.apache.hadoop.hbase.master MetaRegion.java: org.apache.hadoop.hbase.master 1->2: 4  2->1: 59
FSUtils.java: org.apache.hadoop.hbase.util HRegion.java: org.apache.hadoop.hbase.util.migration.v5 1->2: 6  2->1: 44
HRegionInfo.java: org.apache.hadoop.hbase.util.migration.v5 HLog.java: org.apache.hadoop.hbase.util.migration.v5 1->2: 37  2->1: 0
Bytes.java: org.apache.hadoop.hbase.util HTableDescriptor.java: org.apache.hadoop.hbase.util.migration.v5 1->2: 58  2->1: 16
