SynonymFilter.java; org.apache.lucene.analysis.synonym
WikipediaTokenizerImpl.java; org.apache.lucene.analysis.wikipedia
HTMLParserTokenManager.java; org.apache.lucene.benchmark.byTask.feeds.demohtml
ReadTask.java; org.apache.lucene.benchmark.byTask.tasks
UAX29URLEmailTokenizerImpl31.java; org.apache.lucene.analysis.standard.std31
StandardTokenizerImpl31.java; org.apache.lucene.analysis.standard.std31
ExactPhraseScorer.java; org.apache.lucene.search
FSTEnum.java; org.apache.lucene.util.fst
SlowSynonymFilter.java; org.apache.solr.analysis
WordDelimiterFilter.java; org.apache.solr.analysis
CSVResponseWriter.java; org.apache.solr.response
ConcurrentLRUCache.java; org.apache.solr.common.util
