genFileSinkPlan; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;293
analyzeCreateTable; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;272
processSkewJoin; GenMRSkewJoinProcessor.java; org.apache.hadoop.hive.ql.optimizer.physical;270
execute; ExecDriver.java; org.apache.hadoop.hive.ql.exec;254
serialize; LazyBinarySerDe.java; org.apache.hadoop.hive.serde2.lazybinary;234
genMapRedTasks; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;232
deserialize; BinarySortableSerDe.java; org.apache.hadoop.hive.serde2.binarysortable;226
alterTable; DDLTask.java; org.apache.hadoop.hive.ql.exec;215
genSelectPlan; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;208
genTablePlan; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;189
execute; MoveTask.java; org.apache.hadoop.hive.ql.exec;184
archive; DDLTask.java; org.apache.hadoop.hive.ql.exec;182
unarchive; DDLTask.java; org.apache.hadoop.hive.ql.exec;173
convertMapJoin; MapJoinProcessor.java; org.apache.hadoop.hive.ql.optimizer;172
doPhase1; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;167
Namespace; thrift_grammar.java; org.apache.hadoop.hive.serde2.dynamic_type;163
serialize; BinarySortableSerDe.java; org.apache.hadoop.hive.serde2.binarysortable;161
jjStopStringLiteralDfa_0; thrift_grammarTokenManager.java; org.apache.hadoop.hive.serde2.dynamic_type;160
createTable; DDLTask.java; org.apache.hadoop.hive.ql.exec;158
FieldType; thrift_grammar.java; org.apache.hadoop.hive.serde2.dynamic_type;158
genScriptPlan; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;155
setTaskPlan; GenMapRedUtils.java; org.apache.hadoop.hive.ql.optimizer;153
processOp; MapJoinOperator.java; org.apache.hadoop.hive.ql.exec;152
alterTable; HiveAlterHandler.java; org.apache.hadoop.hive.metastore;150
execute; Driver.java; org.apache.hadoop.hive.ql;148
execute; MapRedTask.java; org.apache.hadoop.hive.ql.exec;146
process; GenMRUnion1.java; org.apache.hadoop.hive.ql.optimizer;144
DefinitionType; thrift_grammar.java; org.apache.hadoop.hive.serde2.dynamic_type;136
genJoinTree; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;136
parseJoinCondition; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;135
describeTable; DDLTask.java; org.apache.hadoop.hive.ql.exec;133
initializeOp; GroupByOperator.java; org.apache.hadoop.hive.ql.exec;133
genBodyPlan; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;131
showJobFailDebugInfo; ExecDriver.java; org.apache.hadoop.hive.ql.exec;130
splitTasks; GenMapRedUtils.java; org.apache.hadoop.hive.ql.optimizer;128
genGroupByPlanGroupByOperator1; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;127
prune; PartitionPruner.java; org.apache.hadoop.hive.ql.optimizer.ppr;127
buildJSONString; SerDeUtils.java; org.apache.hadoop.hive.serde2;123
processFS; GenMRFileSink1.java; org.apache.hadoop.hive.ql.optimizer;122
execute; DDLTask.java; org.apache.hadoop.hive.ql.exec;121
showTableStatus; DDLTask.java; org.apache.hadoop.hive.ql.exec;121
writeFileSystemStats; DDLTask.java; org.apache.hadoop.hive.ql.exec;121
genGroupByPlanReduceSinkOperator; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;121
main; ExecDriver.java; org.apache.hadoop.hive.ql.exec;119
getMetaData; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;119
compare; ObjectInspectorUtils.java; org.apache.hadoop.hive.serde2.objectinspector;118
genConversionSelectOperator; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;118
processOp; ScriptOperator.java; org.apache.hadoop.hive.ql.exec;114
genGroupByPlanMapGroupByOperator; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;113
serialize; LazySimpleSerDe.java; org.apache.hadoop.hive.serde2.lazy;110
genUnionPlan; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;110
