ParseContext; ParseContext.java; org.apache.hadoop.hive.ql.parse;19
MTable; MTable.java; org.apache.hadoop.hive.metastore.model;12
MapredWork; MapredWork.java; org.apache.hadoop.hive.ql.plan;10
MStorageDescriptor; MStorageDescriptor.java; org.apache.hadoop.hive.metastore.model;10
serialize; LazySimpleSerDe.java; org.apache.hadoop.hive.serde2.lazy;9
ReduceSinkDesc; ReduceSinkDesc.java; org.apache.hadoop.hive.ql.plan;9
joinPlan; GenMapRedUtils.java; org.apache.hadoop.hive.ql.optimizer;9
FileSinkDesc; FileSinkDesc.java; org.apache.hadoop.hive.ql.plan;9
GenMRProcContext; GenMRProcContext.java; org.apache.hadoop.hive.ql.optimizer;9
joinPlan; GenMapRedUtils.java; org.apache.hadoop.hive.ql.optimizer;8
genColListRegex; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;8
getReduceSinkDesc; PlanUtils.java; org.apache.hadoop.hive.ql.plan;8
genConvertCol; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;7
splitTasks; GenMapRedUtils.java; org.apache.hadoop.hive.ql.optimizer;7
MPartition; MPartition.java; org.apache.hadoop.hive.metastore.model;7
LazySimpleStructObjectInspector; LazySimpleStructObjectInspector.java; org.apache.hadoop.hive.serde2.lazy.objectinspector;7
MapJoinDesc; MapJoinDesc.java; org.apache.hadoop.hive.ql.plan;7
AlterTableDesc; AlterTableDesc.java; org.apache.hadoop.hive.ql.plan;7
genSamplePredicate; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;7
initMapJoinPlan; GenMapRedUtils.java; org.apache.hadoop.hive.ql.optimizer;7
getLazySimpleStructObjectInspector; LazyObjectInspectorFactory.java; org.apache.hadoop.hive.serde2.lazy.objectinspector;7
joinObjectsRightOuterJoin; CommonJoinOperator.java; org.apache.hadoop.hive.ql.exec;7
getReduceSinkDesc; PlanUtils.java; org.apache.hadoop.hive.ql.plan;7
getLazySimpleMapObjectInspector; LazyObjectInspectorFactory.java; org.apache.hadoop.hive.serde2.lazy.objectinspector;7
addInputPath; ExecDriver.java; org.apache.hadoop.hive.ql.exec;7
init; LazySimpleStructObjectInspector.java; org.apache.hadoop.hive.serde2.lazy.objectinspector;7
joinObjectsFullOuterJoin; CommonJoinOperator.java; org.apache.hadoop.hive.ql.exec;7
TCTLSeparatedProtocol; TCTLSeparatedProtocol.java; org.apache.hadoop.hive.serde2.thrift;7
TokenMgrError; TokenMgrError.java; org.apache.hadoop.hive.serde2.dynamic_type;7
PartitionDesc; PartitionDesc.java; org.apache.hadoop.hive.ql.plan;7
ScriptDesc; ScriptDesc.java; org.apache.hadoop.hive.ql.plan;7
launchTask; Driver.java; org.apache.hadoop.hive.ql;7
createTable; Hive.java; org.apache.hadoop.hive.ql.metadata;7
LazyMapObjectInspector; LazyMapObjectInspector.java; org.apache.hadoop.hive.serde2.lazy.objectinspector;7
writeEscaped; LazyUtils.java; org.apache.hadoop.hive.serde2.lazy;7
createLazyStructInspector; LazyFactory.java; org.apache.hadoop.hive.serde2.lazy;7
