Constraint.java; org.hsqldb; DatabaseInformationFull.java; org.hsqldb.dbinfo; 1->2;1247;  2->1;0
ParserDDL.java; org.hsqldb; Token.java; org.hsqldb.cmdline.sqltool; 1->2;0;  2->1;1897
SqlFile.java; org.hsqldb.util; ValidatingResourceBundle.java; org.hsqldb.util; 1->2;0;  2->1;3367
Parser.java; org.hsqldb; IntValueHashMap.java; org.hsqldb.lib; 1->2;0;  2->1;660
Trace.java; org.hsqldb; HsqlProperties.java; org.hsqldb; 1->2;137;  2->1;21
Trace.java; org.hsqldb; jdbcStatement.java; org.hsqldb; 1->2;483;  2->1;1
Index.java; org.hsqldb; Database.java; org.hsqldb; 1->2;160;  2->1;2
HsqlName.java; org.hsqldb; Database.java; org.hsqldb; 1->2;184;  2->1;0
Trace.java; org.hsqldb; jdbcDatabaseMetaData.java; org.hsqldb; 1->2;1110;  2->1;0
Trace.java; org.hsqldb; Log.java; org.hsqldb; 1->2;254;  2->1;7
Trace.java; org.hsqldb; jdbcDatabaseMetaData.java; org.hsqldb; 1->2;1618;  2->1;0
jdbcPreparedStatement.java; org.hsqldb; Trace.java; org.hsqldb; 1->2;2;  2->1;1046
