Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"/home/christiano/projeto_mestrado/metrics_extraction/softwares/cassandra/src/java/org/apache/cassandra/auth/AllowAllAuthenticator.java",1,1,1,1,4,0,3,0,,,,,1,0,1,3,,3,3,0,3,,0,0,0,3,,46,6,19,9,3,21,,,,7,11,9,2,,,,,,1,1,1,1,,,0,,,,1.11,3,3,3,3
File,"/home/christiano/projeto_mestrado/metrics_extraction/softwares/cassandra/src/java/org/apache/cassandra/auth/AllowAllAuthority.java",1,1,1,1,4,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,39,4,14,7,1,21,,,,5,8,7,1,,,,,,1,1,1,1,,,0,,,,1.50,2,2,2,2
File,"/home/christiano/projeto_mestrado/metrics_extraction/softwares/cassandra/src/java/org/apache/cassandra/auth/AllowAllInternodeAuthenticator.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,36,5,13,6,1,18,,,,4,7,6,1,,,,,,1,1,1,1,,,0,,,,1.38,2,2,2,2
File,"/home/christiano/projeto_mestrado/metrics_extraction/softwares/cassandra/src/java/org/apache/cassandra/auth/AuthenticatedUser.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,52,6,23,10,5,23,,,,10,14,9,5,,,,,,1,1,1,1,,,0,,,,1.00,3,3,3,3
File,"/home/christiano/projeto_mestrado/metrics_extraction/softwares/cassandra/src/java/org/apache/cassandra/auth/IAuthenticator.java",0,0,0,0,0,0,0,0,,,,,1,0,2,0,,3,3,0,3,,0,0,0,3,,45,6,12,10,2,27,,,,9,10,10,0,,,,,,0,0,0,0,,,0,,,,2.25,0,0,0,0
File,"/home/christiano/projeto_mestrado/metrics_extraction/softwares/cassandra/src/java/org/apache/cassandra/auth/IAuthority.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,0,0,0,2,,67,5,9,7,0,53,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,5.89,0,0,0,0
File,"/home/christiano/projeto_mestrado/metrics_extraction/softwares/cassandra/src/java/org/apache/cassandra/auth/IInternodeAuthenticator.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,44,5,8,6,0,31,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,3.88,0,0,0,0
File,"/home/christiano/projeto_mestrado/metrics_extraction/softwares/cassandra/src/java/org/apache/cassandra/auth/Permission.java",1,1,1,1,0,0,0,0,,,,,1,0,2,2,,0,2,2,2,,0,0,0,2,,38,4,9,7,2,25,,,,5,5,5,0,,,,,,1,1,1,1,,,0,,,,2.78,2,2,2,2
File,"/home/christiano/projeto_mestrado/metrics_extraction/softwares/cassandra/src/java/org/apache/cassandra/auth/PermissionDenied.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,34,3,13,5,2,18,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,,1.38,2,2,2,2
File,"/home/christiano/projeto_mestrado/metrics_extraction/softwares/cassandra/src/java/org/apache/cassandra/auth/Resources.java",3,3,3,1,13,0,13,0,,,,,1,1,2,1,,1,0,0,1,,0,0,0,1,,51,5,21,8,10,25,,,,10,15,9,6,,,,,,3,3,3,1,,,2,,,,1.19,3,3,3,1
