PlotPackageTests.java: org.jfree.chart.plot.junit FastScatterPlotTests.java: org.jfree.chart.plot.junit 1->2: 3  2->1: 22
StandardContourToolTipGeneratorTests.java: org.jfree.chart.tooltips.junit TooltipsPackageTests.java: org.jfree.chart.tooltips.junit 1->2: 18  2->1: 3
TimeSeriesDemo6.java: org.jfree.chart.demo TimeSeries.java: org.jfree.data.time 1->2: 20  2->1: 86
TimeSeriesDemo8.java: org.jfree.chart.demo TimeSeriesCollection.java: org.jfree.data.time 1->2: 23  2->1: 13
Week.java: org.jfree.data.time WeekTests.java: org.jfree.data.time.junit 1->2: 180  2->1: 0
HorizontalNumberAxis.java: org.jfree.chart.axis XYPlot.java: org.jfree.chart.plot 1->2: 72  2->1: 45
JFreeChart.java: org.jfree.chart StackedAreaChartDemo.java: org.jfree.chart.demo 1->2: 13  2->1: 3
ValueAxis.java: org.jfree.chart.axis XYBubbleRenderer.java: org.jfree.chart.renderer 1->2: 16  2->1: 0
DefaultDrawingSupplier.java: org.jfree.chart.renderer DefaultDrawingSupplierTests.java: org.jfree.chart.renderer.junit 1->2: 23  2->1: 0
ChartFactory.java: org.jfree.chart DualAxisDemo.java: org.jfree.chart.demo 1->2: 2  2->1: 18
VerticalLogarithmicAxis.java: org.jfree.chart.axis VerticalNumberAxis.java: org.jfree.chart.axis 1->2: 13  2->1: 10
TimeSeriesDemo.java: org.jfree.chart.demo XYPlot.java: org.jfree.chart.plot 1->2: 207  2->1: 11
ChartFactory.java: org.jfree.chart TimeSeriesDemo6.java: org.jfree.chart.demo 1->2: 2  2->1: 18
ChartFactory.java: org.jfree.chart AreaXYChartDemo2.java: org.jfree.chart.demo 1->2: 2  2->1: 18
AbstractTitle.java: org.jfree.chart TitlePropertyEditPanel.java: org.jfree.chart.ui 1->2: 20  2->1: 0
Hour.java: org.jfree.data.time SecondTests.java: org.jfree.data.time.junit 1->2: 27  2->1: 0
OverlaidBarChartDemo.java: org.jfree.chart.demo VerticalBarRenderer.java: org.jfree.chart.renderer 1->2: 9  2->1: 5
VerticalCategoryAxis.java: org.jfree.chart.axis CategoryPlot.java: org.jfree.chart.plot 1->2: 25  2->1: 6
MultiPieChartDemo.java: org.jfree.chart.demo PiePlot.java: org.jfree.chart.plot 1->2: 0  2->1: 13
ValueAxis.java: org.jfree.chart.axis ThermometerPlot.java: org.jfree.chart.plot 1->2: 34  2->1: 18
AxisNotCompatibleException.java: org.jfree.chart.axis ContourPlot.java: org.jfree.chart.plot 1->2: 24  2->1: 0
HorizontalDateAxisTests.java: org.jfree.chart.axis.junit AxisPackageTests.java: org.jfree.chart.axis.junit 1->2: 29  2->1: 3
StatisticalBarChartDemo.java: org.jfree.chart.demo DefaultStatisticalCategoryDataset.java: org.jfree.data 1->2: 0  2->1: 17
PieChartTests.java: org.jfree.chart.junit ChartPackageTests.java: org.jfree.chart.junit 1->2: 18  2->1: 3
Task.java: org.jfree.data TaskSeriesCollection.java: org.jfree.data 1->2: 61  2->1: 7
AbstractRenderer.java: org.jfree.chart.renderer AbstractCategoryItemRenderer.java: org.jfree.chart.renderer 1->2: 15  2->1: 1
CompassDemo.java: org.jfree.chart.demo CompassPlot.java: org.jfree.chart.plot 1->2: 0  2->1: 31
HorizontalCategoryPlot.java: org.jfree.chart.plot HorizontalBarRenderer.java: org.jfree.chart.renderer 1->2: 23  2->1: 7
ImageMapDemo1.java: org.jfree.chart.demo VerticalBarRenderer.java: org.jfree.chart.renderer 1->2: 9  2->1: 10
HorizontalCategoryPlot.java: org.jfree.chart.plot HorizontalShapeRenderer.java: org.jfree.chart.renderer 1->2: 33  2->1: 5
