newResolveOptions; Ivy14.java; org.apache.ivy;11
substitute; IvyPatternHelper.java; org.apache.ivy.core;11
resolve; Ivy14.java; org.apache.ivy;11
substitute; IvyPatternHelper.java; org.apache.ivy.core;10
resolve; Ivy14.java; org.apache.ivy;10
resolve; Ivy14.java; org.apache.ivy;10
resolve; Ivy14.java; org.apache.ivy;10
findResourceUsingPattern; RepositoryResolver.java; org.apache.ivy.plugins.resolver;10
resolve; Ivy14.java; org.apache.ivy;9
install; InstallEngine.java; org.apache.ivy.core.install;9
update; XmlModuleDescriptorUpdater.java; org.apache.ivy.plugins.parser.xml;9
update; XmlModuleDescriptorUpdater.java; org.apache.ivy.plugins.parser.xml;9
retrieve; Ivy14.java; org.apache.ivy;9
update; XmlModuleDescriptorUpdater.java; org.apache.ivy.plugins.parser.xml;9
substitute; IvyPatternHelper.java; org.apache.ivy.core;9
resolve; Ivy14.java; org.apache.ivy;9
install; Ivy.java; org.apache.ivy;9
findDynamicResourceUsingPattern; RepositoryResolver.java; org.apache.ivy.plugins.resolver;9
deliver; Ivy14.java; org.apache.ivy;9
install; Ivy14.java; org.apache.ivy;9
