Rmic.java: org.apache.tools.ant.taskdefs Path.java: org.apache.tools.ant.types 1->2: 0  2->1: 46
Project.java: org.apache.tools.ant VAJBuildInfo.java: org.apache.tools.ant.taskdefs.optional.ide 1->2: 102  2->1: 2
MSVSSCHECKOUT.java: org.apache.tools.ant.taskdefs.optional.vss Commandline.java: org.apache.tools.ant.types 1->2: 1  2->1: 34
BuildException.java: org.apache.tools.ant Get.java: org.apache.tools.ant.taskdefs 1->2: 84  2->1: 0
Java.java: org.apache.tools.ant.taskdefs ExecuteJava.java: org.apache.tools.ant.taskdefs 1->2: 3  2->1: 17
Available.java: org.apache.tools.ant.taskdefs Path.java: org.apache.tools.ant.types 1->2: 0  2->1: 35
InterfaceMethodRefCPInfo.java: org.apache.tools.ant.taskdefs.optional.depend.constantpool ConstantPoolEntry.java: org.apache.tools.ant.taskdefs.optional.depend.constantpool 1->2: 21  2->1: 15
Main.java: org.apache.tools.ant Javah.java: org.apache.tools.ant.taskdefs.optional 1->2: 12  2->1: 4
BuildException.java: org.apache.tools.ant DataType.java: org.apache.tools.ant.types 1->2: 72  2->1: 0
AntClassLoader.java: org.apache.tools.ant Property.java: org.apache.tools.ant.taskdefs 1->2: 18  2->1: 28
Javadoc.java: org.apache.tools.ant.taskdefs EnumeratedAttribute.java: org.apache.tools.ant.types 1->2: 0  2->1: 66
BuildException.java: org.apache.tools.ant Pvcs.java: org.apache.tools.ant.taskdefs.optional.pvcs 1->2: 97  2->1: 0
DataType.java: org.apache.tools.ant.types FileList.java: org.apache.tools.ant.types 1->2: 11  2->1: 5
Project.java: org.apache.tools.ant NetRexxC.java: org.apache.tools.ant.taskdefs.optional 1->2: 163  2->1: 5
BuildListener.java: org.apache.tools.ant AntClassLoader.java: org.apache.tools.ant 1->2: 8  2->1: 8
PathConvert.java: org.apache.tools.ant.taskdefs Reference.java: org.apache.tools.ant.types 1->2: 0  2->1: 18
FileScanner.java: org.apache.tools.ant Zip.java: org.apache.tools.ant.taskdefs 1->2: 43  2->1: 2
Java.java: org.apache.tools.ant.taskdefs WLStop.java: org.apache.tools.ant.taskdefs.optional.ejb 1->2: 16  2->1: 16
FileSet.java: org.apache.tools.ant.types Reference.java: org.apache.tools.ant.types 1->2: 3  2->1: 35
BuildException.java: org.apache.tools.ant JavaCC.java: org.apache.tools.ant.taskdefs.optional.javacc 1->2: 33  2->1: 0
BuildException.java: org.apache.tools.ant CCMCheck.java: org.apache.tools.ant.taskdefs.optional.ccm 1->2: 17  2->1: 0
Ilasm.java: org.apache.tools.ant.taskdefs.optional.dotnet NetCommand.java: org.apache.tools.ant.taskdefs.optional.dotnet 1->2: 3  2->1: 21
Task.java: org.apache.tools.ant WLRun.java: org.apache.tools.ant.taskdefs.optional.ejb 1->2: 222  2->1: 2
AntClassLoader.java: org.apache.tools.ant BuildEvent.java: org.apache.tools.ant 1->2: 12  2->1: 38
Javac.java: org.apache.tools.ant.taskdefs Javah.java: org.apache.tools.ant.taskdefs.optional 1->2: 16  2->1: 19
ConstantPool.java: org.apache.tools.ant.taskdefs.optional.depend.constantpool ClassFile.java: org.apache.tools.ant.taskdefs.optional.sitraka.bytecode 1->2: 20  2->1: 2
Location.java: org.apache.tools.ant BuildException.java: org.apache.tools.ant 1->2: 53  2->1: 2
Task.java: org.apache.tools.ant Untar.java: org.apache.tools.ant.taskdefs 1->2: 15  2->1: 2
Java.java: org.apache.tools.ant.taskdefs WeblogicDeploymentTool.java: org.apache.tools.ant.taskdefs.optional.ejb 1->2: 23  2->1: 1
Execute.java: org.apache.tools.ant.taskdefs MSVSS.java: org.apache.tools.ant.taskdefs.optional.vss 1->2: 17  2->1: 8
Task.java: org.apache.tools.ant Get.java: org.apache.tools.ant.taskdefs 1->2: 21  2->1: 4
TarEntry.java: org.apache.tools.tar TarOutputStream.java: org.apache.tools.tar 1->2: 38  2->1: 3
Task.java: org.apache.tools.ant BorlandGenerateClient.java: org.apache.tools.ant.taskdefs.optional.ejb 1->2: 22  2->1: 2
BuildException.java: org.apache.tools.ant Commandline.java: org.apache.tools.ant.types 1->2: 31  2->1: 6
Project.java: org.apache.tools.ant BuildListener.java: org.apache.tools.ant 1->2: 7  2->1: 23
MethodInfo.java: org.apache.tools.ant.taskdefs.optional.sitraka.bytecode Code.java: org.apache.tools.ant.taskdefs.optional.sitraka.bytecode.attributes 1->2: 18  2->1: 14
Project.java: org.apache.tools.ant VAJExport.java: org.apache.tools.ant.taskdefs.optional.ide 1->2: 17  2->1: 3
Utf8CPInfo.java: org.apache.tools.ant.taskdefs.optional.depend.constantpool StringCPInfo.java: org.apache.tools.ant.taskdefs.optional.depend.constantpool 1->2: 11  2->1: 7
BuildException.java: org.apache.tools.ant GenerateKey.java: org.apache.tools.ant.taskdefs 1->2: 108  2->1: 0
ConstantPool.java: org.apache.tools.ant.taskdefs.optional.depend.constantpool StringCPInfo.java: org.apache.tools.ant.taskdefs.optional.depend.constantpool 1->2: 14  2->1: 8
VAJExport.java: org.apache.tools.ant.taskdefs.optional.ide PatternSet.java: org.apache.tools.ant.types 1->2: 14  2->1: 20
Project.java: org.apache.tools.ant BuildEvent.java: org.apache.tools.ant 1->2: 19  2->1: 85
BuildException.java: org.apache.tools.ant WLStop.java: org.apache.tools.ant.taskdefs.optional.ejb 1->2: 32  2->1: 0
CSharp.java: org.apache.tools.ant.taskdefs.optional.dotnet Path.java: org.apache.tools.ant.types 1->2: 0  2->1: 45
ConstantPoolEntry.java: org.apache.tools.ant.taskdefs.optional.depend.constantpool FloatCPInfo.java: org.apache.tools.ant.taskdefs.optional.depend.constantpool 1->2: 6  2->1: 12
BuildException.java: org.apache.tools.ant CCUnCheckout.java: org.apache.tools.ant.taskdefs.optional.clearcase 1->2: 17  2->1: 0
Project.java: org.apache.tools.ant XmlLogger.java: org.apache.tools.ant 1->2: 32  2->1: 7
Ant.java: org.apache.tools.ant.taskdefs P4Base.java: org.apache.tools.ant.taskdefs.optional.perforce 1->2: 3  2->1: 19
CCMReconfigure.java: org.apache.tools.ant.taskdefs.optional.ccm Commandline.java: org.apache.tools.ant.types 1->2: 1  2->1: 17
BuildException.java: org.apache.tools.ant IPlanetEjbc.java: org.apache.tools.ant.taskdefs.optional.ejb 1->2: 30  2->1: 0
UnrecognizedExtraField.java: org.apache.tools.zip ZipShort.java: org.apache.tools.zip 1->2: 0  2->1: 28
BuildException.java: org.apache.tools.ant Echo.java: org.apache.tools.ant.taskdefs 1->2: 24  2->1: 0
ExecTask.java: org.apache.tools.ant.taskdefs BorlandGenerateClient.java: org.apache.tools.ant.taskdefs.optional.ejb 1->2: 28  2->1: 7
ClassNameReader.java: org.apache.tools.ant.taskdefs.optional.jlink AttributeInfo.java: org.apache.tools.ant.taskdefs.optional.sitraka.bytecode.attributes 1->2: 6  2->1: 10
Jar.java: org.apache.tools.ant.taskdefs War.java: org.apache.tools.ant.taskdefs 1->2: 12  2->1: 17
Task.java: org.apache.tools.ant AntStarTeamCheckOut.java: org.apache.tools.ant.taskdefs.optional.scm 1->2: 45  2->1: 2
Project.java: org.apache.tools.ant Java.java: org.apache.tools.ant.taskdefs 1->2: 48  2->1: 18
Property.java: org.apache.tools.ant.taskdefs Execute.java: org.apache.tools.ant.taskdefs 1->2: 23  2->1: 8
BuildException.java: org.apache.tools.ant JlinkTask.java: org.apache.tools.ant.taskdefs.optional.jlink 1->2: 34  2->1: 0
Jar.java: org.apache.tools.ant.taskdefs BorlandDeploymentTool.java: org.apache.tools.ant.taskdefs.optional.ejb 1->2: 21  2->1: 0
Project.java: org.apache.tools.ant RenameExtensions.java: org.apache.tools.ant.taskdefs.optional 1->2: 55  2->1: 3
Execute.java: org.apache.tools.ant.taskdefs CovMerge.java: org.apache.tools.ant.taskdefs.optional.sitraka 1->2: 13  2->1: 13
BuildException.java: org.apache.tools.ant Property.java: org.apache.tools.ant.taskdefs 1->2: 68  2->1: 4
SoundTask.java: org.apache.tools.ant.taskdefs.optional.sound AntSoundPlayer.java: org.apache.tools.ant.taskdefs.optional.sound 1->2: 0  2->1: 18
Patch.java: org.apache.tools.ant.taskdefs Execute.java: org.apache.tools.ant.taskdefs 1->2: 14  2->1: 24
BuildException.java: org.apache.tools.ant CCCheckin.java: org.apache.tools.ant.taskdefs.optional.clearcase 1->2: 17  2->1: 0
BorlandDeploymentTool.java: org.apache.tools.ant.taskdefs.optional.ejb Commandline.java: org.apache.tools.ant.types 1->2: 0  2->1: 36
WLRmic.java: org.apache.tools.ant.taskdefs.rmic DefaultRmicAdapter.java: org.apache.tools.ant.taskdefs.rmic 1->2: 11  2->1: 9
Ant.java: org.apache.tools.ant.taskdefs AntStructure.java: org.apache.tools.ant.taskdefs 1->2: 9  2->1: 8
