MSVSSGET.java; org.apache.tools.ant.taskdefs.optional.vss; Commandline.java; org.apache.tools.ant.types; 1->2; 1;  2->1; 43;
Rpm.java; org.apache.tools.ant.taskdefs.optional; Commandline.java; org.apache.tools.ant.types; 1->2; 1;  2->1; 19;
Location.java; org.apache.tools.ant; Parallel.java; org.apache.tools.ant.taskdefs; 1->2; 28;  2->1; 0;
CCMReconfigure.java; org.apache.tools.ant.taskdefs.optional.ccm; Commandline.java; org.apache.tools.ant.types; 1->2; 1;  2->1; 17;
BuildEvent.java; org.apache.tools.ant; IContract.java; org.apache.tools.ant.taskdefs.optional; 1->2; 48;  2->1; 0;
Zip.java; org.apache.tools.ant.taskdefs; ZipOutputStream.java; org.apache.tools.zip; 1->2; 1;  2->1; 46;
BuildException.java; org.apache.tools.ant; MAudit.java; org.apache.tools.ant.taskdefs.optional.metamata; 1->2; 43;  2->1; 0;
Project.java; org.apache.tools.ant; Gcj.java; org.apache.tools.ant.taskdefs.compilers; 1->2; 16;  2->1; 3;
Jar.java; org.apache.tools.ant.taskdefs; BorlandDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb; 1->2; 21;  2->1; 0;
DefaultLogger.java; org.apache.tools.ant; BuildException.java; org.apache.tools.ant; 1->2; 0;  2->1; 24;
Project.java; org.apache.tools.ant; Zip.java; org.apache.tools.ant.taskdefs; 1->2; 28;  2->1; 5;
BuildException.java; org.apache.tools.ant; Untar.java; org.apache.tools.ant.taskdefs; 1->2; 50;  2->1; 0;
XmlLogger.java; org.apache.tools.ant; DefaultLogger.java; org.apache.tools.ant; 1->2; 7;  2->1; 13;
DirectoryScanner.java; org.apache.tools.ant; AntStarTeamCheckOut.java; org.apache.tools.ant.taskdefs.optional.scm; 1->2; 58;  2->1; 105;
MParse.java; org.apache.tools.ant.taskdefs.optional.metamata; Commandline.java; org.apache.tools.ant.types; 1->2; 1;  2->1; 27;
NetCommand.java; org.apache.tools.ant.taskdefs.optional.dotnet; Commandline.java; org.apache.tools.ant.types; 1->2; 2;  2->1; 17;
BuildException.java; org.apache.tools.ant; Chmod.java; org.apache.tools.ant.taskdefs; 1->2; 48;  2->1; 0;
