MapredLocalTask.java: org.apache.hadoop.hive.ql.exec TaskFactory.java: org.apache.hadoop.hive.ql.exec 1->2: 4  2->1: 192
WritableBinaryObjectInspector.java: org.apache.hadoop.hive.serde2.objectinspector.primitive SettableBinaryObjectInspector.java: org.apache.hadoop.hive.serde2.objectinspector.primitive 1->2: 8  2->1: 17
NodeProcessor.java: org.apache.hadoop.hive.ql.lib ExprWalkerProcFactory.java: org.apache.hadoop.hive.ql.ppd 1->2: 18  2->1: 0
Type.java: org.apache.hadoop.hive.contrib.util.typedbytes SemanticAnalyzer.java: org.apache.hadoop.hive.ql.parse 1->2: 386  2->1: 0
LazyInteger.java: org.apache.hadoop.hive.serde2.lazy LazyDioInteger.java: org.apache.hadoop.hive.serde2.lazydio 1->2: 15  2->1: 1
ObjectInspectorUtils.java: org.apache.hadoop.hive.serde2.objectinspector AbstractPrimitiveObjectInspector.java: org.apache.hadoop.hive.serde2.objectinspector.primitive 1->2: 2  2->1: 38
HiveConnection.java: org.apache.hadoop.hive.jdbc Hive.java: org.apache.hadoop.hive.ql.metadata 1->2: 7  2->1: 90
GenericUDAFAverage.java: org.apache.hadoop.hive.ql.udf.generic DoubleObjectInspector.java: org.apache.hadoop.hive.serde2.objectinspector.primitive 1->2: 0  2->1: 24
UDFAtan.java: org.apache.hadoop.hive.ql.udf DoubleWritable.java: org.apache.hadoop.hive.serde2.io 1->2: 0  2->1: 16
PcrExprProcFactory.java: org.apache.hadoop.hive.ql.optimizer.pcr Node.java: org.apache.hadoop.hive.serde2.dynamic_type 1->2: 0  2->1: 12
HiveOutputFormat.java: org.apache.hadoop.hive.ql.io Hive.java: org.apache.hadoop.hive.ql.metadata 1->2: 0  2->1: 18
Hive.java: org.apache.hadoop.hive.ql.metadata JsonMetaDataFormatter.java: org.apache.hadoop.hive.ql.metadata.formatting 1->2: 172  2->1: 22
CompactIndexHandler.java: org.apache.hadoop.hive.ql.index.compact VirtualColumn.java: org.apache.hadoop.hive.ql.metadata 1->2: 0  2->1: 23
LazyBinaryMap.java: org.apache.hadoop.hive.serde2.lazybinary MapObjectInspector.java: org.apache.hadoop.hive.serde2.objectinspector 1->2: 7  2->1: 18
HiveAlterHandler.java: org.apache.hadoop.hive.metastore Table.java: org.apache.hadoop.hive.ql.metadata 1->2: 4  2->1: 135
GenericUDTFExplode.java: org.apache.hadoop.hive.ql.udf.generic GenericUDTF.java: org.apache.hadoop.hive.ql.udf.generic 1->2: 6  2->1: 13
ConditionalTask.java: org.apache.hadoop.hive.ql.exec SemanticAnalyzer.java: org.apache.hadoop.hive.ql.parse 1->2: 226  2->1: 2
ExprNodeConstantDesc.java: org.apache.hadoop.hive.ql.plan TypeInfo.java: org.apache.hadoop.hive.serde2.typeinfo 1->2: 1  2->1: 15
AddResourceProcessor.java: org.apache.hadoop.hive.ql.processors SessionState.java: org.apache.hadoop.hive.ql.session 1->2: 2  2->1: 23
