Project.java: org.apache.tools.ant LineContainsRegExp.java: org.apache.tools.ant.filters 1->2: 7  2->1: 84
Expand.java: org.apache.tools.ant.taskdefs ZipEntry.java: org.apache.tools.zip 1->2: 12  2->1: 21
BuildException.java: org.apache.tools.ant JAXPUtils.java: org.apache.tools.ant.util 1->2: 228  2->1: 0
Date.java: org.apache.tools.ant.types.resources.selectors DateSelector.java: org.apache.tools.ant.types.selectors 1->2: 15  2->1: 8
Get.java: org.apache.tools.ant.taskdefs Depend.java: org.apache.tools.ant.taskdefs.optional.depend 1->2: 29  2->1: 2
Java.java: org.apache.tools.ant.taskdefs XMLCatalog.java: org.apache.tools.ant.types 1->2: 195  2->1: 11
Project.java: org.apache.tools.ant AbstractClasspathResource.java: org.apache.tools.ant.types.resources 1->2: 17  2->1: 1
ClearCase.java: org.apache.tools.ant.taskdefs.optional.clearcase Path.java: org.apache.tools.ant.types 1->2: 0  2->1: 29
Target.java: org.apache.tools.ant ProjectHelperImpl.java: org.apache.tools.ant.helper 1->2: 95  2->1: 4
Resource.java: org.apache.tools.ant.types ZipEntry.java: org.apache.tools.zip 1->2: 60  2->1: 22
Patch.java: org.apache.tools.ant.taskdefs Ant.java: org.apache.tools.ant.taskdefs 1->2: 9  2->1: 16
BuildException.java: org.apache.tools.ant Filter.java: org.apache.tools.ant.taskdefs 1->2: 41  2->1: 0
Project.java: org.apache.tools.ant JasperC.java: org.apache.tools.ant.taskdefs.optional.jsp.compilers 1->2: 63  2->1: 14
Execute.java: org.apache.tools.ant.taskdefs Native2Ascii.java: org.apache.tools.ant.taskdefs.optional 1->2: 5  2->1: 54
TailFilter.java: org.apache.tools.ant.filters BaseFilterReader.java: org.apache.tools.ant.filters 1->2: 33  2->1: 39
LocalPropertyStack.java: org.apache.tools.ant.property Copy.java: org.apache.tools.ant.taskdefs 1->2: 73  2->1: 20
IntrospectionHelper.java: org.apache.tools.ant RuntimeConfigurable.java: org.apache.tools.ant 1->2: 26  2->1: 36
Target.java: org.apache.tools.ant Ant.java: org.apache.tools.ant.taskdefs 1->2: 105  2->1: 18
Jar.java: org.apache.tools.ant.taskdefs ZipEntry.java: org.apache.tools.zip 1->2: 0  2->1: 51
DirectoryScanner.java: org.apache.tools.ant Resource.java: org.apache.tools.ant.types 1->2: 0  2->1: 323
Replace.java: org.apache.tools.ant.taskdefs MatchingTask.java: org.apache.tools.ant.taskdefs 1->2: 1  2->1: 17
Task.java: org.apache.tools.ant LeadPipeInputStream.java: org.apache.tools.ant.util 1->2: 43  2->1: 43
UnknownElement.java: org.apache.tools.ant MacroInstance.java: org.apache.tools.ant.taskdefs 1->2: 77  2->1: 15
Javadoc.java: org.apache.tools.ant.taskdefs FTPTaskMirrorImpl.java: org.apache.tools.ant.taskdefs.optional.net 1->2: 26  2->1: 9
Project.java: org.apache.tools.ant Touch.java: org.apache.tools.ant.taskdefs 1->2: 43  2->1: 88
TarFileSet.java: org.apache.tools.ant.types ArchiveFileSet.java: org.apache.tools.ant.types 1->2: 22  2->1: 21
DemuxInputStream.java: org.apache.tools.ant Project.java: org.apache.tools.ant 1->2: 164  2->1: 6
BuildException.java: org.apache.tools.ant ExecuteOn.java: org.apache.tools.ant.taskdefs 1->2: 127  2->1: 0
BuildException.java: org.apache.tools.ant War.java: org.apache.tools.ant.taskdefs 1->2: 32  2->1: 0
ProjectComponent.java: org.apache.tools.ant JavahAdapterFactory.java: org.apache.tools.ant.taskdefs.optional.javah 1->2: 25  2->1: 0
Tar.java: org.apache.tools.ant.taskdefs ResourceUtils.java: org.apache.tools.ant.util 1->2: 56  2->1: 2
AntClassLoader.java: org.apache.tools.ant VectorSet.java: org.apache.tools.ant.util 1->2: 0  2->1: 97
Mapper.java: org.apache.tools.ant.types Reference.java: org.apache.tools.ant.types 1->2: 7  2->1: 57
Main.java: org.apache.tools.ant Cache.java: org.apache.tools.ant.types.selectors.modifiedselector 1->2: 0  2->1: 252
ArchiveResource.java: org.apache.tools.ant.types.resources ZipResource.java: org.apache.tools.ant.types.resources 1->2: 17  2->1: 6
IntrospectionHelper.java: org.apache.tools.ant AntTypeDefinition.java: org.apache.tools.ant 1->2: 0  2->1: 96
Ant.java: org.apache.tools.ant.taskdefs BaseSelectorContainer.java: org.apache.tools.ant.types.selectors 1->2: 3  2->1: 30
SignJar.java: org.apache.tools.ant.taskdefs Resource.java: org.apache.tools.ant.types 1->2: 1  2->1: 116
BuildException.java: org.apache.tools.ant P4Submit.java: org.apache.tools.ant.taskdefs.optional.perforce 1->2: 33  2->1: 0
Untar.java: org.apache.tools.ant.taskdefs Resource.java: org.apache.tools.ant.types 1->2: 0  2->1: 33
Project.java: org.apache.tools.ant DefBase.java: org.apache.tools.ant.taskdefs 1->2: 17  2->1: 39
ProjectHelper.java: org.apache.tools.ant ProjectHelper2.java: org.apache.tools.ant.helper 1->2: 86  2->1: 32
BuildException.java: org.apache.tools.ant Available.java: org.apache.tools.ant.taskdefs 1->2: 60  2->1: 0
BuildException.java: org.apache.tools.ant SQLExec.java: org.apache.tools.ant.taskdefs 1->2: 89  2->1: 0
PatternSet.java: org.apache.tools.ant.types FileSet.java: org.apache.tools.ant.types 1->2: 9  2->1: 18
BuildException.java: org.apache.tools.ant ScriptDefBase.java: org.apache.tools.ant.taskdefs.optional.script 1->2: 56  2->1: 0
Task.java: org.apache.tools.ant UpToDate.java: org.apache.tools.ant.taskdefs 1->2: 20  2->1: 5
JlinkTask.java: org.apache.tools.ant.taskdefs.optional.jlink jlink.java: org.apache.tools.ant.taskdefs.optional.jlink 1->2: 3  2->1: 34
ProjectComponent.java: org.apache.tools.ant LeadPipeInputStream.java: org.apache.tools.ant.util 1->2: 26  2->1: 8
BuildException.java: org.apache.tools.ant BUnzip2.java: org.apache.tools.ant.taskdefs 1->2: 27  2->1: 0
WhichResource.java: org.apache.tools.ant.taskdefs Path.java: org.apache.tools.ant.types 1->2: 0  2->1: 24
DirectoryScanner.java: org.apache.tools.ant FileResource.java: org.apache.tools.ant.types.resources 1->2: 3  2->1: 30
Move.java: org.apache.tools.ant.taskdefs FilterSet.java: org.apache.tools.ant.types 1->2: 0  2->1: 21
BuildException.java: org.apache.tools.ant SunJavah.java: org.apache.tools.ant.taskdefs.optional.javah 1->2: 34  2->1: 0
BuildException.java: org.apache.tools.ant Native2Ascii.java: org.apache.tools.ant.taskdefs.optional 1->2: 97  2->1: 0
AntClassLoader.java: org.apache.tools.ant DefBase.java: org.apache.tools.ant.taskdefs 1->2: 12  2->1: 14
BuildException.java: org.apache.tools.ant ReplaceRegExp.java: org.apache.tools.ant.taskdefs.optional 1->2: 94  2->1: 0
KeySubst.java: org.apache.tools.ant.taskdefs FileUtils.java: org.apache.tools.ant.util 1->2: 14  2->1: 17
Project.java: org.apache.tools.ant ClasspathUtils.java: org.apache.tools.ant.util 1->2: 67  2->1: 6
ExecuteJava.java: org.apache.tools.ant.taskdefs CommandlineJava.java: org.apache.tools.ant.types 1->2: 24  2->1: 17
BuildException.java: org.apache.tools.ant CopyPath.java: org.apache.tools.ant.taskdefs 1->2: 73  2->1: 0
FileUtils.java: org.apache.tools.ant.util ConcatResourceInputStream.java: org.apache.tools.ant.util 1->2: 32  2->1: 76
BuildException.java: org.apache.tools.ant P4Fstat.java: org.apache.tools.ant.taskdefs.optional.perforce 1->2: 48  2->1: 0
Rmic.java: org.apache.tools.ant.taskdefs RmicAdapter.java: org.apache.tools.ant.taskdefs.rmic 1->2: 11  2->1: 14
HotDeploymentTool.java: org.apache.tools.ant.taskdefs.optional.j2ee GenericHotDeploymentTool.java: org.apache.tools.ant.taskdefs.optional.j2ee 1->2: 19  2->1: 9
BuildException.java: org.apache.tools.ant GenericHotDeploymentTool.java: org.apache.tools.ant.taskdefs.optional.j2ee 1->2: 40  2->1: 0
DefaultCompilerAdapter.java: org.apache.tools.ant.taskdefs.compilers Commandline.java: org.apache.tools.ant.types 1->2: 1  2->1: 143
Get.java: org.apache.tools.ant.taskdefs DependencyVisitor.java: org.apache.tools.ant.util.depend.bcel 1->2: 29  2->1: 0
Symlink.java: org.apache.tools.ant.taskdefs.optional.unix FileUtils.java: org.apache.tools.ant.util 1->2: 19  2->1: 43
Parallel.java: org.apache.tools.ant.taskdefs Funtest.java: org.apache.tools.ant.taskdefs.optional.testing 1->2: 27  2->1: 18
ProjectHelperRepository.java: org.apache.tools.ant Resource.java: org.apache.tools.ant.types 1->2: 0  2->1: 108
Zip.java: org.apache.tools.ant.taskdefs Resource.java: org.apache.tools.ant.types 1->2: 1  2->1: 1210
Ant.java: org.apache.tools.ant.taskdefs ContentTransformingResource.java: org.apache.tools.ant.types.resources 1->2: 3  2->1: 104
Tar.java: org.apache.tools.ant.taskdefs SourceFileScanner.java: org.apache.tools.ant.util 1->2: 15  2->1: 6
Ant.java: org.apache.tools.ant.taskdefs UpToDate.java: org.apache.tools.ant.taskdefs 1->2: 11  2->1: 35
DataType.java: org.apache.tools.ant.types ResourceSelectorContainer.java: org.apache.tools.ant.types.resources.selectors 1->2: 41  2->1: 14
BuildException.java: org.apache.tools.ant P4Resolve.java: org.apache.tools.ant.taskdefs.optional.perforce 1->2: 40  2->1: 0
JarLibAvailableTask.java: org.apache.tools.ant.taskdefs.optional.extension Extension.java: org.apache.tools.ant.taskdefs.optional.extension 1->2: 0  2->1: 38
DescriptorHandler.java: org.apache.tools.ant.taskdefs.optional.ejb WebsphereDeploymentTool.java: org.apache.tools.ant.taskdefs.optional.ejb 1->2: 20  2->1: 0
SignJar.java: org.apache.tools.ant.taskdefs FileResource.java: org.apache.tools.ant.types.resources 1->2: 0  2->1: 27
Project.java: org.apache.tools.ant JJTree.java: org.apache.tools.ant.taskdefs.optional.javacc 1->2: 27  2->1: 14
BuildException.java: org.apache.tools.ant ForkingSunRmic.java: org.apache.tools.ant.taskdefs.rmic 1->2: 24  2->1: 0
ArchiveResource.java: org.apache.tools.ant.types.resources FileResource.java: org.apache.tools.ant.types.resources 1->2: 29  2->1: 41
