resolve; Ivy14.java; org.apache.ivy;11
substitute; IvyPatternHelper.java; org.apache.ivy.core;11
newResolveOptions; Ivy14.java; org.apache.ivy;11
update; XmlModuleDescriptorUpdater.java; org.apache.ivy.plugins.parser.xml;11
update; XmlModuleDescriptorUpdater.java; org.apache.ivy.plugins.parser.xml;11
findResourceUsingPattern; RepositoryResolver.java; org.apache.ivy.plugins.resolver;10
resolve; Ivy14.java; org.apache.ivy;10
update; XmlModuleDescriptorUpdater.java; org.apache.ivy.plugins.parser.xml;10
substitute; IvyPatternHelper.java; org.apache.ivy.core;10
resolve; Ivy14.java; org.apache.ivy;10
update; XmlModuleDescriptorUpdater.java; org.apache.ivy.plugins.parser.xml;10
resolve; Ivy14.java; org.apache.ivy;10
retrieve; Ivy14.java; org.apache.ivy;9
deliver; Ivy14.java; org.apache.ivy;9
install; Ivy14.java; org.apache.ivy;9
resolve; Ivy14.java; org.apache.ivy;9
resolve; Ivy14.java; org.apache.ivy;9
findDynamicResourceUsingPattern; RepositoryResolver.java; org.apache.ivy.plugins.resolver;9
substitute; IvyPatternHelper.java; org.apache.ivy.core;9
