receiveStream; Scp.java; org.apache.ivy.plugins.repository.ssh; 101;
getDependency; BasicResolver.java; org.apache.ivy.plugins.resolver; 228;
install; InstallEngine.java; org.apache.ivy.core.install; 119;
loadData; IvyNode.java; org.apache.ivy.core.resolve; 156;
retrieve; RetrieveEngine.java; org.apache.ivy.core.retrieve; 126;
output; LogReportOutputter.java; org.apache.ivy.plugins.report; 120;
doExecute; IvyResolve.java; org.apache.ivy.ant; 134;
doExecute; IvyBuildList.java; org.apache.ivy.ant; 144;
deliver; DeliverEngine.java; org.apache.ivy.core.deliver; 107;
readResponse; VsftpRepository.java; org.apache.ivy.plugins.repository.vsftp; 107;
main; Main.java; org.apache.ivy; 137;
ouputRevision; XmlReportWriter.java; org.apache.ivy.plugins.report; 182;
resolve; ResolveEngine.java; org.apache.ivy.core.resolve; 114;
resolveConflict; ResolveEngine.java; org.apache.ivy.core.resolve; 159;
determineArtifactsToCopy; RetrieveEngine.java; org.apache.ivy.core.retrieve; 111;
prepareAndCheck; IvyPostResolveTask.java; org.apache.ivy.ant; 102;
parseDescriptor; PomModuleDescriptorParser.java; org.apache.ivy.plugins.parser.m2; 114;
testFull; XmlModuleDescriptorParserTest.java; org.apache.ivy.plugins.parser.xml; 267;
getDependencies; ResolveEngine.java; org.apache.ivy.core.resolve; 115;
listTokenValues; ResolverHelper.java; org.apache.ivy.plugins.resolver.util; 125;
doExecute; IvyPublish.java; org.apache.ivy.ant; 111;
cacheModuleDescriptor; DefaultRepositoryCacheManager.java; org.apache.ivy.core.cache; 142;
