GUIUtilities.java; org.gjt.sp.jedit;
View.java; org.gjt.sp.jedit;
EditPane.java; org.gjt.sp.jedit;
PluginJAR.java; org.gjt.sp.jedit;
Macros.java; org.gjt.sp.jedit;
MiscUtilities.java; org.gjt.sp.jedit;
jEdit.java; org.gjt.sp.jedit;
Buffer.java; org.gjt.sp.jedit;
VFSBrowser.java; org.gjt.sp.jedit.browser;
Primitive.java; org.gjt.sp.jedit.bsh;
JEditBuffer.java; org.gjt.sp.jedit.buffer;
DockableWindowManagerImpl.java; org.gjt.sp.jedit.gui;
VFS.java; org.gjt.sp.jedit.io;
SearchDialog.java; org.gjt.sp.jedit.search;
SearchAndReplace.java; org.gjt.sp.jedit.search;
Gutter.java; org.gjt.sp.jedit.textarea;
TextAreaPainter.java; org.gjt.sp.jedit.textarea;
TextArea.java; org.gjt.sp.jedit.textarea;
