getRecordWriter: ParseOutputFormat.java: src.java.org.apache.nutch.parse Diff:68
getDomainName: URLUtil.java: src.java.org.apache.nutch.util Diff:1
renameFile: FsDirectory.java: src.java.org.apache.nutch.indexer Diff:8
runCollector: AnchorFields.java: src.java.org.apache.nutch.indexer.field Diff:2
match: ParserFactory.java: src.java.org.apache.nutch.parse Diff:44
main: LoopReader.java: src.java.org.apache.nutch.scoring.webgraph Diff:6
dumpNodes: NodeDumper.java: src.java.org.apache.nutch.scoring.webgraph Diff:1
getSignature: SignatureFactory.java: src.java.org.apache.nutch.crawl Diff:7
passScoreAfterParsing: TLDScoringFilter.java: src.plugin.tld.src.java.org.apache.nutch.scoring.tld Diff:3
getParse: FeedParser.java: src.plugin.feed.src.java.org.apache.nutch.parse.feed Diff:11
getFetchDate: NutchBean.java: src.java.org.apache.nutch.searcher Diff:12
ping: SolrSearchBean.java: src.java.org.apache.nutch.searcher Diff:50
addEscapes: TokenMgrError.java: src.java.org.apache.nutch.analysis Diff:12
getPluginList: ParsePluginList.java: src.java.org.apache.nutch.parse Diff:1
getDetails: SolrSearchBean.java: src.java.org.apache.nutch.searcher Diff:36
addDomainSuffix: DomainSuffixes.java: src.java.org.apache.nutch.util.domain Diff:2
main: AdaptiveFetchSchedule.java: src.java.org.apache.nutch.crawl Diff:11
main: Generator.java: src.java.org.apache.nutch.crawl Diff:27
toHtml: HitDetails.java: src.java.org.apache.nutch.searcher Diff:9
metadataEquals: CrawlDatum.java: src.java.org.apache.nutch.crawl Diff:8
runFlipper: BasicFields.java: src.java.org.apache.nutch.indexer.field Diff:2
getDetails: DistributedSearchBean.java: src.java.org.apache.nutch.searcher Diff:42
zip: GZIPUtils.java: src.java.org.apache.nutch.util Diff:11
main: Injector.java: src.java.org.apache.nutch.crawl Diff:10
setDescriptor: Extension.java: src.java.org.apache.nutch.plugin Diff:2
reportStatus: OldFetcher.java: src.java.org.apache.nutch.fetcher Diff:1
toHexString: StringUtil.java: src.java.org.apache.nutch.util Diff:4
search: DistributedSearchBean.java: src.java.org.apache.nutch.searcher Diff:29
createSegments: ArcSegmentCreator.java: src.java.org.apache.nutch.tools.arc Diff:56
