StdXMLParser.java: net.n3.nanoxml IXMLReader.java: net.n3.nanoxml 1->2: 1  2->1: 201
HandleAttributeKeys.java: org.jhotdraw.draw Bezier.java: org.jhotdraw.geom 1->2: 0  2->1: 56
AbstractHandle.java: org.jhotdraw.draw SVGPathOutlineHandle.java: org.jhotdraw.samples.svg.figures 1->2: 29  2->1: 13
GridConstrainer.java: org.jhotdraw.draw EditGridAction.java: org.jhotdraw.draw.action 1->2: 16  2->1: 0
DefaultDrawingEditor.java: org.jhotdraw.draw DnDMultiEditorSample.java: org.jhotdraw.samples.mini 1->2: 17  2->1: 0
BezierOutlineHandle.java: org.jhotdraw.draw AbstractHandle.java: org.jhotdraw.draw 1->2: 13  2->1: 29
TextFigure.java: org.jhotdraw.draw DOMOutput.java: org.jhotdraw.xml 1->2: 1  2->1: 21
ConvexHull.java: org.jhotdraw.geom Polygon2D.java: org.jhotdraw.geom 1->2: 0  2->1: 28
Geom.java: org.jhotdraw.geom SVGPathFigure.java: org.jhotdraw.samples.svg.figures 1->2: 35  2->1: 19
DefaultSDIApplication.java: org.jhotdraw.app View.java: org.jhotdraw.app 1->2: 18  2->1: 94
DefaultDrawing.java: org.jhotdraw.draw PertPanel.java: org.jhotdraw.samples.pert 1->2: 37  2->1: 2
LocatorLayouter.java: org.jhotdraw.draw AttributeKey.java: org.jhotdraw.draw 1->2: 0  2->1: 40
SVGGroupFigure.java: org.jhotdraw.samples.svg.figures SVGOutputFormat.java: org.jhotdraw.samples.svg.io 1->2: 220  2->1: 7
Application.java: org.jhotdraw.app OpenRecentAction.java: org.jhotdraw.app.action 1->2: 21  2->1: 1
Gradient.java: org.jhotdraw.samples.svg SVGEllipseFigure.java: org.jhotdraw.samples.svg.figures 1->2: 17  2->1: 2
TextEditingTool.java: org.jhotdraw.draw AbstractTool.java: org.jhotdraw.draw 1->2: 7  2->1: 18
DrawingView.java: org.jhotdraw.draw DrawingComponentRepainter.java: org.jhotdraw.samples.svg.gui 1->2: 20  2->1: 0
ArrowTip.java: org.jhotdraw.draw ButtonFactory.java: org.jhotdraw.draw.action 1->2: 28  2->1: 0
JPopupButton.java: org.jhotdraw.gui NetPanel.java: org.jhotdraw.samples.net 1->2: 236  2->1: 4
DrawingEditor.java: org.jhotdraw.draw DnDMultiEditorSample.java: org.jhotdraw.samples.mini 1->2: 16  2->1: 0
JPopupButton.java: org.jhotdraw.gui StrokeToolBar.java: org.jhotdraw.samples.svg.gui 1->2: 107  2->1: 4
DefaultAppletApplication.java: org.jhotdraw.app View.java: org.jhotdraw.app 1->2: 6  2->1: 13
PaletteLookAndFeel.java: org.jhotdraw.gui.plaf.palette SVGDrawingPanel.java: org.jhotdraw.samples.svg 1->2: 33  2->1: 0
Figure.java: org.jhotdraw.draw SVGInputFormat.java: org.jhotdraw.samples.svg.io 1->2: 106  2->1: 0
Handle.java: org.jhotdraw.draw NullHandle.java: org.jhotdraw.draw 1->2: 8  2->1: 10
Figure.java: org.jhotdraw.draw AbstractHandle.java: org.jhotdraw.draw 1->2: 31  2->1: 30
Figure.java: org.jhotdraw.draw ODGInputFormat.java: org.jhotdraw.samples.odg.io 1->2: 195  2->1: 0
View.java: org.jhotdraw.app TeddyView.java: org.jhotdraw.samples.teddy 1->2: 51  2->1: 37
Figure.java: org.jhotdraw.draw LabeledLineConnectionFigure.java: org.jhotdraw.draw 1->2: 104  2->1: 83
TextOverflowHandle.java: org.jhotdraw.draw AbstractHandle.java: org.jhotdraw.draw 1->2: 14  2->1: 26
ImageInputFormat.java: org.jhotdraw.draw ImageHolderFigure.java: org.jhotdraw.draw 1->2: 8  2->1: 28
PaletteButtonUI.java: org.jhotdraw.gui.plaf.palette FontToolBar.java: org.jhotdraw.samples.svg.gui 1->2: 38  2->1: 0
ButtonFactory.java: org.jhotdraw.draw.action ODGApplicationModel.java: org.jhotdraw.samples.odg 1->2: 67  2->1: 11
TextInputFormat.java: org.jhotdraw.draw ODGView.java: org.jhotdraw.samples.odg 1->2: 30  2->1: 9
IXMLParser.java: net.n3.nanoxml ODGInputFormat.java: org.jhotdraw.samples.odg.io 1->2: 16  2->1: 32
