SubtreeDependencyOrderWalker.java: org.apache.pig.experimental.plan
DoubleExpr.java: org.apache.hadoop.zebra.pig.comparator
PigTextInputFormat.java: org.apache.pig.backend.hadoop.executionengine.mapReduceLayer
FileOutputHandler.java: org.apache.pig.impl.streaming
MergeFilter.java: org.apache.pig.experimental.logical.rules
DependencyOrderLimitedWalker.java: org.apache.pig.pen.util
PigFileInputFormat.java: org.apache.pig.backend.hadoop.executionengine.mapReduceLayer
ProjectionPatcher.java: org.apache.pig.experimental.logical.optimizer
HashFNV2.java: org.apache.pig.piggybank.evaluation.string
BytesExpr.java: org.apache.hadoop.zebra.pig.comparator
RANDOM.java: org.apache.pig.piggybank.evaluation.math
RANDOM.java: org.apache.pig.piggybank.evaluation.math
POStreamLocal.java: org.apache.pig.pen.physicalOperators
SplitFilter.java: org.apache.pig.experimental.logical.rules
FileInputHandler.java: org.apache.pig.impl.streaming
BinStorageOutputFormat.java: org.apache.pig.impl.io
DefaultOutputHandler.java: org.apache.pig.impl.streaming
TupleSize.java: org.apache.pig.builtin
KeyTypeDiscoveryVisitor.java: org.apache.pig.backend.hadoop.executionengine.mapReduceLayer
RINT.java: org.apache.pig.piggybank.evaluation.math
HashFNV1.java: org.apache.pig.piggybank.evaluation.string
WholePlanRule.java: org.apache.pig.experimental.logical.rules
FilterAboveForeach.java: org.apache.pig.experimental.logical.rules
RANDOM.java: org.apache.pig.builtin
RANDOM.java: org.apache.pig.builtin
DefaultInputHandler.java: org.apache.pig.impl.streaming
SchemaPatcher.java: org.apache.pig.experimental.logical.optimizer
EndOfAllInputSetter.java: org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.plans
NullableUnknownWritable.java: org.apache.pig.impl.io
FloatExpr.java: org.apache.hadoop.zebra.pig.comparator
GFAny.java: org.apache.pig.impl.builtin
