compile; RegularExpression.java; org.apache.xerces.utils.regex; Token.java;35; 
scanDecls; XMLDTDScanner.java; org.apache.xerces.framework; StringReader.java;32; 
validate; GeneralAttrCheck.java; org.apache.xerces.validators.schema; XMLContentSpec.java;32; 
scanEntityDecl; XMLDTDScanner.java; org.apache.xerces.framework; DefaultEntityHandler.java;29; 
dumpTree; DFAContentModel.java; org.apache.xerces.validators.common; DeferredDocumentImpl.java;29; 
externalPEDecl; DOMParser.java; org.apache.xerces.parsers; StringReader.java;27; 
createChildren; DOMParser.java; org.apache.xerces.parsers; StringReader.java;27; 
scanDefaultAttValue; XMLDTDScanner.java; org.apache.xerces.framework; StringReader.java;27; 
traverseElementDecl; TraverseSchema.java; org.apache.xerces.validators.schema; XMLContentSpec.java;26; 
printAttributeDecl; XGrammarWriter.java; org.apache.xerces.domx; DeferredDocumentImpl.java;24; 
appendContentSpec; XMLContentSpec.java; org.apache.xerces.framework; StringReader.java;24; 
scanComplexEntityValue; XMLDTDScanner.java; org.apache.xerces.framework; StringReader.java;22; 
printEntityDecl; XGrammarWriter.java; org.apache.xerces.domx; DeferredDocumentImpl.java;22; 
matchCharacterIterator; RegularExpression.java; org.apache.xerces.utils.regex; HTMLOptionElementImpl.java;21; 
traverseSimpleTypeDecl; TraverseSchema.java; org.apache.xerces.validators.schema; XMLContentSpec.java;21; 
serializeElement; HTMLSerializer.java; org.apache.xml.serialize; XGrammarWriter.java;21; 
matchCharacterIterator; RegularExpression.java; org.apache.xerces.utils.regex; HTMLOptionElementImpl.java;21; 
