InstanceChangeEvent.java; org.argouml.model;
ModelMemento.java; org.argouml.model;
AbstractCognitiveTranslator.java; org.argouml.cognitive;
Wizard.java; org.argouml.cognitive.ui;
Profile.java; org.argouml.uml;
ProfileJava.java; org.argouml.uml;
CrClassMustBeAbstract.java; org.argouml.uml.cognitive.critics;
FigGraphEdge.java; org.argouml.uml.diagram.ui;
AbstractSection.java; org.argouml.uml.generator;
ObjectFlowStateTypeNotation.java; org.argouml.uml.notation;
ActionStateNotation.java; org.argouml.uml.notation;
CallStateNotation.java; org.argouml.uml.notation;
TransitionNotation.java; org.argouml.uml.notation;
ObjectNotation.java; org.argouml.uml.notation;
ComponentInstanceNotation.java; org.argouml.uml.notation;
MessageNotation.java; org.argouml.uml.notation;
ClassifierRoleNotation.java; org.argouml.uml.notation;
AssociationRoleNotation.java; org.argouml.uml.notation;
NodeInstanceNotation.java; org.argouml.uml.notation;
StateBodyNotation.java; org.argouml.uml.notation;
ExtensionPointNotation.java; org.argouml.uml.notation;
ObjectFlowStateStateNotation.java; org.argouml.uml.notation;
ImportCommon.java; org.argouml.uml.reveng;
FileImportSupport.java; org.argouml.uml.reveng;
ActionNavigateUpNextDown.java; org.argouml.uml.ui;
ActionNavigateUpPreviousDown.java; org.argouml.uml.ui;
UMLEditableComboBox.java; org.argouml.uml.ui;
UMLList2.java; org.argouml.uml.ui;
