getModuleConfigurations: DefaultDependencyDescriptor.java: package org.apache.ivy.core.module.descriptor [in DefaultDependencyDescriptor.java [in src.java.org.apache.ivy.core.module.descriptor [in <project root> [in ivy_2.0.0beta1]]]]: 3
getEvictedConfs: IvyNodeEviction.java: package org.apache.ivy.core.resolve [in IvyNodeEviction.java [in src.java.org.apache.ivy.core.resolve [in <project root> [in ivy_2.0.0beta1]]]]: 3
checkInterrupted: ResolveEngine.java: package org.apache.ivy.core.resolve [in ResolveEngine.java [in src.java.org.apache.ivy.core.resolve [in <project root> [in ivy_2.0.0beta1]]]]: 3
fireTransferStarted: AbstractRepository.java: package org.apache.ivy.plugins.repository [in AbstractRepository.java [in src.java.org.apache.ivy.plugins.repository [in <project root> [in ivy_2.0.0beta1]]]]: 4
getDefaultIvy: IvyContext.java: package org.apache.ivy.core [in IvyContext.java [in src.java.org.apache.ivy.core [in <project root> [in ivy_2.0.0beta1]]]]: 3
isSorted: ModuleInSort.java: package org.apache.ivy.core.sort [in ModuleInSort.java [in src.java.org.apache.ivy.core.sort [in <project root> [in ivy_2.0.0beta1]]]]: 3
checkInterrupted: AbstractResolver.java: package org.apache.ivy.plugins.resolver [in AbstractResolver.java [in src.java.org.apache.ivy.plugins.resolver [in <project root> [in ivy_2.0.0beta1]]]]: 3
computeRoot: VisitNode.java: package org.apache.ivy.core.resolve [in VisitNode.java [in src.java.org.apache.ivy.core.resolve [in <project root> [in ivy_2.0.0beta1]]]]: 3
resolve: Ivy14.java: package org.apache.ivy [in Ivy14.java [in src.java.org.apache.ivy [in <project root> [in ivy_2.0.0beta1]]]]: 3
getArtifacts: XmlReportParser.java: package org.apache.ivy.plugins.report [in XmlReportParser.java [in src.java.org.apache.ivy.plugins.report [in <project root> [in ivy_2.0.0beta1]]]]: 3
download: ResolveEngine.java: package org.apache.ivy.core.resolve [in ResolveEngine.java [in src.java.org.apache.ivy.core.resolve [in <project root> [in ivy_2.0.0beta1]]]]: 3
getDependencies: Ivy14.java: package org.apache.ivy [in Ivy14.java [in src.java.org.apache.ivy [in <project root> [in ivy_2.0.0beta1]]]]: 3
getPublication: IvyNode.java: package org.apache.ivy.core.resolve [in IvyNode.java [in src.java.org.apache.ivy.core.resolve [in <project root> [in ivy_2.0.0beta1]]]]: 3
isCompletelyEvicted: IvyNodeEviction.java: package org.apache.ivy.core.resolve [in IvyNodeEviction.java [in src.java.org.apache.ivy.core.resolve [in <project root> [in ivy_2.0.0beta1]]]]: 4
getDependencies: Ivy14.java: package org.apache.ivy [in Ivy14.java [in src.java.org.apache.ivy [in <project root> [in ivy_2.0.0beta1]]]]: 3
isTransitive: VisitNode.java: package org.apache.ivy.core.resolve [in VisitNode.java [in src.java.org.apache.ivy.core.resolve [in <project root> [in ivy_2.0.0beta1]]]]: 3
getMessageLogger: IvyContext.java: package org.apache.ivy.core [in IvyContext.java [in src.java.org.apache.ivy.core [in <project root> [in ivy_2.0.0beta1]]]]: 3
dumpSettings: DualResolver.java: package org.apache.ivy.plugins.resolver [in DualResolver.java [in src.java.org.apache.ivy.plugins.resolver [in <project root> [in ivy_2.0.0beta1]]]]: 3
toString: ModuleInSort.java: package org.apache.ivy.core.sort [in ModuleInSort.java [in src.java.org.apache.ivy.core.sort [in <project root> [in ivy_2.0.0beta1]]]]: 3
fireTransferCompleted: AbstractRepository.java: package org.apache.ivy.plugins.repository [in AbstractRepository.java [in src.java.org.apache.ivy.plugins.repository [in <project root> [in ivy_2.0.0beta1]]]]: 5
getDependencies: Ivy14.java: package org.apache.ivy [in Ivy14.java [in src.java.org.apache.ivy [in <project root> [in ivy_2.0.0beta1]]]]: 3
download: RepositoryResolver.java: package org.apache.ivy.plugins.resolver [in RepositoryResolver.java [in src.java.org.apache.ivy.plugins.resolver [in <project root> [in ivy_2.0.0beta1]]]]: 3
isProcessed: ModuleInSort.java: package org.apache.ivy.core.sort [in ModuleInSort.java [in src.java.org.apache.ivy.core.sort [in <project root> [in ivy_2.0.0beta1]]]]: 3
download: Ivy14.java: package org.apache.ivy [in Ivy14.java [in src.java.org.apache.ivy [in <project root> [in ivy_2.0.0beta1]]]]: 4
fireTransferError: AbstractRepository.java: package org.apache.ivy.plugins.repository [in AbstractRepository.java [in src.java.org.apache.ivy.plugins.repository [in <project root> [in ivy_2.0.0beta1]]]]: 3
compareTo: IvyNode.java: package org.apache.ivy.core.resolve [in IvyNode.java [in src.java.org.apache.ivy.core.resolve [in <project root> [in ivy_2.0.0beta1]]]]: 3
getCurrent: StatusManager.java: package org.apache.ivy.core.module.status [in StatusManager.java [in src.java.org.apache.ivy.core.module.status [in <project root> [in ivy_2.0.0beta1]]]]: 3
downloadArtifacts: Ivy14.java: package org.apache.ivy [in Ivy14.java [in src.java.org.apache.ivy [in <project root> [in ivy_2.0.0beta1]]]]: 3
start: RepositoryCopyProgressListener.java: package org.apache.ivy.plugins.repository [in RepositoryCopyProgressListener.java [in src.java.org.apache.ivy.plugins.repository [in <project root> [in ivy_2.0.0beta1]]]]: 5
getRealDependencyRevisionIds: XmlReportParser.java: package org.apache.ivy.plugins.report [in XmlReportParser.java [in src.java.org.apache.ivy.plugins.report [in <project root> [in ivy_2.0.0beta1]]]]: 3
getDependencies: IvyNode.java: package org.apache.ivy.core.resolve [in IvyNode.java [in src.java.org.apache.ivy.core.resolve [in <project root> [in ivy_2.0.0beta1]]]]: 3
getDependencyRevisionIds: XmlReportParser.java: package org.apache.ivy.plugins.report [in XmlReportParser.java [in src.java.org.apache.ivy.plugins.report [in <project root> [in ivy_2.0.0beta1]]]]: 3
getCallers: IvyNodeCallers.java: package org.apache.ivy.core.resolve [in IvyNodeCallers.java [in src.java.org.apache.ivy.core.resolve [in <project root> [in ivy_2.0.0beta1]]]]: 3
