NumberAxis.java: com.jrefinery.chart TickUnits.java: com.jrefinery.chart 1->2: 0  2->1: 74
ChartFactory.java: com.jrefinery.chart Plot.java: com.jrefinery.chart 1->2: 0  2->1: 106
DateUnit.java: com.jrefinery.chart HorizontalDateAxis.java: com.jrefinery.chart 1->2: 16  2->1: 0
NumberAxis.java: com.jrefinery.chart NumberTickUnit.java: com.jrefinery.chart 1->2: 0  2->1: 114
VerticalBarPlot.java: com.jrefinery.chart ValueAxis.java: com.jrefinery.chart 1->2: 15  2->1: 27
HorizontalAxis.java: com.jrefinery.chart Plot.java: com.jrefinery.chart 1->2: 2  2->1: 16
NumberAxis.java: com.jrefinery.chart ChartFactory.java: com.jrefinery.chart 1->2: 54  2->1: 0
CombinedHorizontalDateAxis.java: com.jrefinery.chart.combination CombinedPlot.java: com.jrefinery.chart.combination 1->2: 58  2->1: 39
StandardLegendItemLayout.java: com.jrefinery.chart LegendItemCollection.java: com.jrefinery.chart 1->2: 2  2->1: 15
ChartPropertyEditPanel.java: com.jrefinery.chart.ui LegendPropertyEditPanel.java: com.jrefinery.chart.ui 1->2: 6  2->1: 14
StandardXYItemRenderer.java: com.jrefinery.chart ChartFactory.java: com.jrefinery.chart 1->2: 25  2->1: 0
AbstractTitle.java: com.jrefinery.chart TitleChangeEvent.java: com.jrefinery.chart.event 1->2: 8  2->1: 10
Axis.java: com.jrefinery.chart PlotPropertyEditPanel.java: com.jrefinery.chart.ui 1->2: 71  2->1: 0
HighLow.java: com.jrefinery.chart JFreeChartDemo.java: com.jrefinery.chart.demo 1->2: 91  2->1: 0
CombinedPlot.java: com.jrefinery.chart.combination CombinedHorizontalNumberAxis.java: com.jrefinery.chart.combination 1->2: 39  2->1: 58
Axis.java: com.jrefinery.chart HorizontalNumberAxis.java: com.jrefinery.chart 1->2: 159  2->1: 31
HorizontalDateAxis.java: com.jrefinery.chart OverlaidHorizontalDateAxis.java: com.jrefinery.chart.combination 1->2: 57  2->1: 47
HorizontalNumberAxis.java: com.jrefinery.chart HorizontalBarPlot.java: com.jrefinery.chart 1->2: 31  2->1: 57
Tick.java: com.jrefinery.chart VerticalNumberAxis.java: com.jrefinery.chart 1->2: 93  2->1: 1
Plot.java: com.jrefinery.chart ChartPropertyEditPanel.java: com.jrefinery.chart.ui 1->2: 25  2->1: 1
HorizontalCategoryAxis.java: com.jrefinery.chart ChartFactory.java: com.jrefinery.chart 1->2: 15  2->1: 0
Plot.java: com.jrefinery.chart OverlaidHorizontalNumberAxis.java: com.jrefinery.chart.combination 1->2: 33  2->1: 29
XYPlot.java: com.jrefinery.chart Plot.java: com.jrefinery.chart 1->2: 37  2->1: 108
TextTitle.java: com.jrefinery.chart JFreeChartDemo.java: com.jrefinery.chart.demo 1->2: 156  2->1: 0
VerticalAxis.java: com.jrefinery.chart VerticalNumberAxis.java: com.jrefinery.chart 1->2: 3  2->1: 12
StandardToolTipsCollection.java: com.jrefinery.chart.tooltips ToolTip.java: com.jrefinery.chart.tooltips 1->2: 0  2->1: 17
BarPlot.java: com.jrefinery.chart HorizontalBarPlot.java: com.jrefinery.chart 1->2: 47  2->1: 21
Axis.java: com.jrefinery.chart ValueAxis.java: com.jrefinery.chart 1->2: 131  2->1: 3
ValueAxis.java: com.jrefinery.chart Plot.java: com.jrefinery.chart 1->2: 20  2->1: 29
DrawInfo.java: com.jrefinery.chart PeriodMarkerPlot.java: com.jrefinery.chart 1->2: 3  2->1: 11
LinePlot.java: com.jrefinery.chart JFreeChartDemo.java: com.jrefinery.chart.demo 1->2: 9  2->1: 5
VerticalAxis.java: com.jrefinery.chart OverlaidVerticalNumberAxis.java: com.jrefinery.chart.combination 1->2: 8  2->1: 12
Plot.java: com.jrefinery.chart JFreeChartServletDemo.java: com.jrefinery.chart.demo 1->2: 123  2->1: 0
AbstractTitle.java: com.jrefinery.chart DateTitle.java: com.jrefinery.chart 1->2: 24  2->1: 0
Axis.java: com.jrefinery.chart DateAxis.java: com.jrefinery.chart 1->2: 67  2->1: 0
ChartPropertyEditPanel.java: com.jrefinery.chart.ui PlotPropertyEditPanel.java: com.jrefinery.chart.ui 1->2: 4  2->1: 12
CategoryPlot.java: com.jrefinery.chart LinePlot.java: com.jrefinery.chart 1->2: 14  2->1: 10
Axis.java: com.jrefinery.chart WindAxis.java: com.jrefinery.chart 1->2: 39  2->1: 0
LegendItem.java: com.jrefinery.chart StandardLegend.java: com.jrefinery.chart 1->2: 83  2->1: 2
NumberAxis.java: com.jrefinery.chart VerticalNumberAxis3D.java: com.jrefinery.chart 1->2: 29  2->1: 5
ChartFactory.java: com.jrefinery.chart ValueAxis.java: com.jrefinery.chart 1->2: 0  2->1: 72
HorizontalNumberAxis.java: com.jrefinery.chart NumberTickUnit.java: com.jrefinery.chart 1->2: 0  2->1: 14
Legend.java: com.jrefinery.chart JFreeChart.java: com.jrefinery.chart 1->2: 70  2->1: 18
AbstractTitle.java: com.jrefinery.chart TitlePropertyEditPanel.java: com.jrefinery.chart.ui 1->2: 14  2->1: 0
JFreeChart.java: com.jrefinery.chart CombinedPlot.java: com.jrefinery.chart.combination 1->2: 45  2->1: 59
HorizontalAxis.java: com.jrefinery.chart OverlaidVerticalNumberAxis.java: com.jrefinery.chart.combination 1->2: 3  2->1: 11
PiePlot.java: com.jrefinery.chart PlotChangeEvent.java: com.jrefinery.chart.event 1->2: 0  2->1: 14
DrawInfo.java: com.jrefinery.chart VerticalBarPlot.java: com.jrefinery.chart 1->2: 14  2->1: 11
Legend.java: com.jrefinery.chart StandardLegend.java: com.jrefinery.chart 1->2: 51  2->1: 14
LinePlot.java: com.jrefinery.chart Plot.java: com.jrefinery.chart 1->2: 34  2->1: 94
DrawInfo.java: com.jrefinery.chart PiePlot.java: com.jrefinery.chart 1->2: 5  2->1: 11
CombinedChart.java: com.jrefinery.chart.combination JFreeChartDemo.java: com.jrefinery.chart.demo 1->2: 28  2->1: 5
PeriodMarkerPlot.java: com.jrefinery.chart HorizontalNumberAxis.java: com.jrefinery.chart 1->2: 57  2->1: 31
PlotFitAlgorithm.java: com.jrefinery.chart.data PlotFit.java: com.jrefinery.chart.data 1->2: 8  2->1: 9
Tick.java: com.jrefinery.chart HorizontalDateAxis.java: com.jrefinery.chart 1->2: 125  2->1: 1
HighLow.java: com.jrefinery.chart HighLowRenderer.java: com.jrefinery.chart 1->2: 23  2->1: 0
DrawInfo.java: com.jrefinery.chart XYPlot.java: com.jrefinery.chart 1->2: 11  2->1: 11
ValueAxis.java: com.jrefinery.chart AxisChangeEvent.java: com.jrefinery.chart.event 1->2: 0  2->1: 28
JFreeChart.java: com.jrefinery.chart JFreeChartDemo3.java: com.jrefinery.chart.demo 1->2: 13  2->1: 2
HorizontalCategoryAxis.java: com.jrefinery.chart CategoryAxis.java: com.jrefinery.chart 1->2: 3  2->1: 15
Plot.java: com.jrefinery.chart CombinedHorizontalNumberAxis.java: com.jrefinery.chart.combination 1->2: 40  2->1: 29
Axis.java: com.jrefinery.chart CombinedVerticalNumberAxis.java: com.jrefinery.chart.combination 1->2: 111  2->1: 26
CategoryPlot.java: com.jrefinery.chart BarPlot.java: com.jrefinery.chart 1->2: 6  2->1: 8
PiePlot.java: com.jrefinery.chart JFreeChartDemo.java: com.jrefinery.chart.demo 1->2: 19  2->1: 1
ValueAxis.java: com.jrefinery.chart LinePlot.java: com.jrefinery.chart 1->2: 12  2->1: 15
Axis.java: com.jrefinery.chart JFreeChartDemo.java: com.jrefinery.chart.demo 1->2: 490  2->1: 2
Tick.java: com.jrefinery.chart AxisPropertyEditPanel.java: com.jrefinery.chart.ui 1->2: 85  2->1: 0
VerticalAxis.java: com.jrefinery.chart Plot.java: com.jrefinery.chart 1->2: 2  2->1: 16
CombinedPlot.java: com.jrefinery.chart.combination OverlaidHorizontalDateAxis.java: com.jrefinery.chart.combination 1->2: 34  2->1: 40
Axis.java: com.jrefinery.chart OverlaidVerticalNumberAxis.java: com.jrefinery.chart.combination 1->2: 75  2->1: 26
Axis.java: com.jrefinery.chart OverlaidHorizontalDateAxis.java: com.jrefinery.chart.combination 1->2: 77  2->1: 26
CombinedHorizontalDateAxis.java: com.jrefinery.chart.combination OverlaidHorizontalDateAxis.java: com.jrefinery.chart.combination 1->2: 33  2->1: 33
TickUnit.java: com.jrefinery.chart TickUnits.java: com.jrefinery.chart 1->2: 18  2->1: 1
Axis.java: com.jrefinery.chart JFreeChartServletDemo.java: com.jrefinery.chart.demo 1->2: 132  2->1: 0
HorizontalBarPlot.java: com.jrefinery.chart Plot.java: com.jrefinery.chart 1->2: 41  2->1: 90
XYPlot.java: com.jrefinery.chart HorizontalDateAxis.java: com.jrefinery.chart 1->2: 50  2->1: 48
Axis.java: com.jrefinery.chart CombinedPlot.java: com.jrefinery.chart.combination 1->2: 362  2->1: 30
Axis.java: com.jrefinery.chart VerticalNumberAxis.java: com.jrefinery.chart 1->2: 165  2->1: 31
HorizontalNumberAxis.java: com.jrefinery.chart OverlaidHorizontalNumberAxis.java: com.jrefinery.chart.combination 1->2: 48  2->1: 57
VerticalNumberAxis.java: com.jrefinery.chart LinePlot.java: com.jrefinery.chart 1->2: 26  2->1: 60
AbstractTitle.java: com.jrefinery.chart Spacer.java: com.jrefinery.chart 1->2: 0  2->1: 15
HorizontalNumberAxis.java: com.jrefinery.chart CombinedPlot.java: com.jrefinery.chart.combination 1->2: 51  2->1: 59
Axis.java: com.jrefinery.chart ChartFactory.java: com.jrefinery.chart 1->2: 456  2->1: 0
ValueAxis.java: com.jrefinery.chart DateAxis.java: com.jrefinery.chart 1->2: 27  2->1: 5
AxisPropertyEditPanel.java: com.jrefinery.chart.ui NumberAxisPropertyEditPanel.java: com.jrefinery.chart.ui 1->2: 9  2->1: 6
VerticalNumberAxis.java: com.jrefinery.chart CombinedPlot.java: com.jrefinery.chart.combination 1->2: 62  2->1: 62
NumberAxis.java: com.jrefinery.chart Axis.java: com.jrefinery.chart 1->2: 0  2->1: 125
