validateElementAndAttributes; XMLValidator.java; org.apache.xerces.validators.common;554
traverseElementDecl; TraverseSchema.java; org.apache.xerces.validators.schema;541
scanContent; UTF8Reader.java; org.apache.xerces.readers;439
matchString; RegularExpression.java; org.apache.xerces.utils.regex;419
matchCharacterIterator; RegularExpression.java; org.apache.xerces.utils.regex;419
matchCharArray; RegularExpression.java; org.apache.xerces.utils.regex;414
attlistDecl; DOMParser.java; org.apache.xerces.parsers;344
buildDFA; DFAContentModel.java; org.apache.xerces.validators.common;344
elementDecl; DOMParser.java; org.apache.xerces.parsers;278
scanEntityDecl; XMLDTDScanner.java; org.apache.xerces.framework;268
traverseAttributeDecl; TraverseSchema.java; org.apache.xerces.validators.schema;257
scanAttlistDecl; XMLDTDScanner.java; org.apache.xerces.framework;248
dispatchEvent; NodeImpl.java; org.apache.xerces.dom;239
whatCanGoHere; SimpleContentModel.java; org.apache.xerces.validators.common;233
internalInsertBefore; ParentNode.java; org.apache.xerces.dom;232
internalInsertBefore; ChildAndParentNode.java; org.apache.xerces.dom;231
scanContent; AbstractCharReader.java; org.apache.xerces.readers;230
validateDTDattribute; XMLValidator.java; org.apache.xerces.validators.common;221
normalizeDuration; TimeDurationDatatypeValidator.java; org.apache.xerces.validators.datatype;213
importNode; DocumentImpl.java; org.apache.xerces.dom;212
scanContent; StreamingCharReader.java; org.apache.xerces.readers;209
recognizeMarkup; UTF8Reader.java; org.apache.xerces.readers;209
scanMatchingName; UTF8Reader.java; org.apache.xerces.readers;209
validateContent; SimpleContentModel.java; org.apache.xerces.validators.common;206
scanXMLDeclOrTextDecl; XMLDocumentScanner.java; org.apache.xerces.framework;206
scanDecls; XMLDTDScanner.java; org.apache.xerces.framework;190
RecurringDurationDatatypeValidator; RecurringDurationDatatypeValidator.java; org.apache.xerces.validators.datatype;187
setFeature; XMLParser.java; org.apache.xerces.framework;183
lookingAtValidChar; UTF8Reader.java; org.apache.xerces.readers;183
initialize; URI.java; org.apache.xerces.utils;183
scanContent; UCSReader.java; org.apache.xerces.readers;182
fillCurrentChunk; CharReader.java; org.apache.xerces.readers;176
expandRegistryToFullSchemaSet; DatatypeValidatorFactoryImpl.java; org.apache.xerces.validators.datatype;175
traverseGroupDecl; TraverseSchema.java; org.apache.xerces.validators.schema;174
bindNamespacesToElementAndAttributes; XMLValidator.java; org.apache.xerces.validators.common;172
fillCurrentChunk; UTF8CharReader.java; org.apache.xerces.readers;171
matches; RegularExpression.java; org.apache.xerces.utils.regex;171
checkContent; XMLValidator.java; org.apache.xerces.validators.common;171
matches; RegularExpression.java; org.apache.xerces.utils.regex;170
matches; RegularExpression.java; org.apache.xerces.utils.regex;170
validateContent; DFAContentModel.java; org.apache.xerces.validators.common;168
getRange; Token.java; org.apache.xerces.utils.regex;168
getNodeObject; DeferredDocumentImpl.java; org.apache.xerces.dom;168
toString; XMLContentSpec.java; org.apache.xerces.framework;165
startElement; HTMLSerializer.java; org.apache.xml.serialize;164
traverseSimpleTypeDecl; TraverseSchema.java; org.apache.xerces.validators.schema;161
compile; RegularExpression.java; org.apache.xerces.utils.regex;157
getFeature; XMLParser.java; org.apache.xerces.framework;156
createChildren; DOMParser.java; org.apache.xerces.parsers;154
callEndElement; XMLValidator.java; org.apache.xerces.validators.common;153
startElement; DOMParser.java; org.apache.xerces.parsers;149
serializeElement; HTMLSerializer.java; org.apache.xml.serialize;148
doTraverseSchema; TraverseSchema.java; org.apache.xerces.validators.schema;148
parseCharacterClass_old; RegexParser.java; org.apache.xerces.utils.regex;147
addDTDDefaultAttributes; XMLValidator.java; org.apache.xerces.validators.common;146
scanContent; StringReader.java; org.apache.xerces.readers;145
scanExpectedName; UTF8Reader.java; org.apache.xerces.readers;144
appendContentSpec; XMLContentSpec.java; org.apache.xerces.framework;144
toString; UTF8DataChunk.java; org.apache.xerces.utils;143
serializeNode; BaseMarkupSerializer.java; org.apache.xml.serialize;143
scanEntityValue; UTF8Reader.java; org.apache.xerces.readers;143
internalRemoveChild; ChildAndParentNode.java; org.apache.xerces.dom;142
internalRemoveChild; ParentNode.java; org.apache.xerces.dom;142
DecimalDatatypeValidator; DecimalDatatypeValidator.java; org.apache.xerces.validators.datatype;141
whatCanGoHere; DFAContentModel.java; org.apache.xerces.validators.common;140
handlePartialMultiByteChar; UTF8CharReader.java; org.apache.xerces.readers;140
validateContent; MixedContentModel.java; org.apache.xerces.validators.common;139
validateContentSpecial; SimpleContentModel.java; org.apache.xerces.validators.common;138
startElement; XMLSerializer.java; org.apache.xml.serialize;137
scanAttValue; XMLDocumentScanner.java; org.apache.xerces.framework;136
scanTextDecl; XMLDTDScanner.java; org.apache.xerces.framework;136
parseCharacterClass; ParserForXMLSchema.java; org.apache.xerces.utils.regex;131
scanDefaultAttValue; XMLDTDScanner.java; org.apache.xerces.framework;129
checkForFacetConsistency; DecimalDatatypeValidator.java; org.apache.xerces.validators.datatype;126
analyzeFirstCharacter; Token.java; org.apache.xerces.utils.regex;126
next; RegexParser.java; org.apache.xerces.utils.regex;125
expandContentModel; TraverseSchema.java; org.apache.xerces.validators.schema;123
TimeDurationDatatypeValidator; TimeDurationDatatypeValidator.java; org.apache.xerces.validators.datatype;123
startReadingFromExternalEntity; DefaultEntityHandler.java; org.apache.xerces.readers;122
addDefaultAttributes; XMLValidator.java; org.apache.xerces.validators.common;122
scanComplexEntityValue; XMLDTDScanner.java; org.apache.xerces.framework;122
parseCharacterClass; RegexParser.java; org.apache.xerces.utils.regex;121
scanName; UTF8Reader.java; org.apache.xerces.readers;121
traverseGroupDeclFromAnotherSchema; TraverseSchema.java; org.apache.xerces.validators.schema;117
createChildren; DOMParser.java; org.apache.xerces.parsers;115
print; DeferredDocumentImpl.java; org.apache.xerces.dom;115
scanElementDecl; XMLDTDScanner.java; org.apache.xerces.framework;114
setFeature; DOMParser.java; org.apache.xerces.parsers;114
normalizeDefaultAttValue; XMLDTDScanner.java; org.apache.xerces.framework;113
validateContentSpecial; DFAContentModel.java; org.apache.xerces.validators.common;113
endOfInput; XMLDTDScanner.java; org.apache.xerces.framework;113
startElement; HTMLSerializer.java; org.apache.xml.serialize;113
addSymbolToCache; SymbolCache.java; org.apache.xerces.utils;113
FloatDatatypeValidator; FloatDatatypeValidator.java; org.apache.xerces.validators.datatype;112
setDeclHandler; SAXParser.java; org.apache.xerces.parsers;112
compareBoundaryPoints; RangeImpl.java; org.apache.xerces.dom;112
serializeElement; XMLSerializer.java; org.apache.xml.serialize;110
dumpTree; DFAContentModel.java; org.apache.xerces.validators.common;110
traverseContents; RangeImpl.java; org.apache.xerces.dom;108
DoubleDatatypeValidator; DoubleDatatypeValidator.java; org.apache.xerces.validators.datatype;108
scanQName; AbstractCharReader.java; org.apache.xerces.readers;108
scanQName; UTF8Reader.java; org.apache.xerces.readers;107
