,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,project,is_god_class
564,Public Class,org.apache.cassandra.auth.AllowAllAuthenticator,1.0,1.0,1.0,1.0,4.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,,0.0,1.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,,19,3,15,5,3,1,,,,3,7,5,2,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.07,3,3,3,3,cassandra,False
568,Public Class,org.apache.cassandra.auth.AllowAllAuthority,1.0,1.0,1.0,1.0,4.0,0.0,3.0,0.0,2.0,3.0,3.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,11,1,9,3,1,1,,,,1,4,3,1,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.11,2,2,2,2,cassandra,False
571,Public Class,org.apache.cassandra.auth.AllowAllInternodeAuthenticator,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,11,1,10,3,1,0,,,,1,4,3,1,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,2,2,2,2,cassandra,False
574,Public Class,org.apache.cassandra.auth.AuthenticatedUser,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,3.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,,26,3,20,7,5,3,,,,7,11,6,5,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.15,3,3,3,3,cassandra,False
591,Public Class,org.apache.cassandra.auth.PermissionDenied,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,30,1,11,3,2,18,,,,2,5,3,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,1.64,2,2,2,2,cassandra,False
594,Public Class,org.apache.cassandra.auth.Resources,3.0,3.0,3.0,1.0,13.0,0.0,13.0,0.0,1.0,1.0,1.0,0.0,,1.0,2.0,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,24,1,18,5,10,5,,,,7,12,6,6,,,,,,3.0,3.0,3.0,1.0,,1.0,2,,0.0,0.0,0.28,3,3,3,1,cassandra,False
601,Public Class,org.apache.cassandra.cache.AutoSavingCache.Writer,3.0,3.0,3.0,1.0,18.0,2.0,15.0,0.0,1.0,12.0,12.0,0.0,,0.0,0.0,,,,6.0,4.0,6.0,9.0,0.0,2.0,1.0,3.0,,124,22,100,24,56,3,,,,40,65,28,37,,,,,,7.0,7.0,8.0,1.0,,2.0,4,,62.0,62.0,0.03,19,19,22,6,cassandra,False
646,Public Class,org.apache.cassandra.cache.ConcurrentLinkedHashCacheProvider,1.0,1.0,1.0,1.0,9.0,0.0,8.0,0.0,2.0,3.0,3.0,0.0,,1.0,0.0,,,,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,,22,2,20,3,8,0,,,,4,8,5,3,,,,,,2.0,2.0,2.0,1.0,,1.0,0,,0.0,0.0,0.0,3,3,3,2,cassandra,False
651,Public Class,org.apache.cassandra.cache.FreeableMemory,2.0,2.0,2.0,1.0,7.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,4.0,1.0,4.0,13.0,0.0,0.0,0.0,4.0,,39,4,30,8,12,5,,,,8,17,7,10,,,,,,4.0,4.0,4.0,4.0,,2.0,2,,50.0,50.0,0.17,8,8,8,7,cassandra,False
700,Public Class,org.apache.cassandra.cache.KeyCacheKey,1.0,1.0,2.0,1.0,5.0,0.0,5.0,0.0,2.0,4.0,4.0,0.0,,0.0,0.0,,,,7.0,2.0,7.0,7.0,0.0,0.0,0.0,7.0,,71,9,43,14,15,19,,,,17,28,12,16,,,,,,5.0,5.0,6.0,4.0,,1.0,1,,21.0,21.0,0.44,13,13,14,10,cassandra,False
