Watchdog.java; org.jbossmx.cluster.watchdog.mbean;
HttpContext.java; org.mortbay.http;
HttpConnection.java; org.mortbay.http;
WebApplicationContext.java; org.mortbay.jetty.servlet;
NamingContext.java; org.jnp.interfaces;
JDBCUtil.java; org.jboss.ejb.plugins.cmp.jdbc;
JDBCEJBQLCompiler.java; org.jboss.ejb.plugins.cmp.jdbc;
JDBCEntityBridge.java; org.jboss.ejb.plugins.cmp.jdbc.bridge;
JDBCCMRFieldBridge.java; org.jboss.ejb.plugins.cmp.jdbc.bridge;
JDBCEntityMetaData.java; org.jboss.ejb.plugins.cmp.jdbc.metadata;
EJBVerifier20.java; org.jboss.verifier.strategy;
AbstractVerifier.java; org.jboss.verifier.strategy;
AbstractWebContainer.java; org.jboss.web;
